Created,Message,Status
2026-02-01 00:21:52.081,"+RESP:GTPDP,500700,868574042918495,,20260201002142,766D$",0x2B524553503A47545044502C3530303730302C3836383537343034323931383439352C2C32303236303230313030323134322C3736364424
2026-02-01 00:51:49.437,"+RESP:GTFRI,500700,868574042918495,,,10,1,1,0.0,342,342.3,-74.884147,4.149431,20260201005001,0732,0101,1C25,67EF567,04,8,22985.1,01161:33:10,,,100,110000,,,,20260201005149,766E$",0x2B524553503A47544652492C3530303730302C3836383537343034323931383439352C2C2C31302C312C312C302E302C3334322C3334322E332C2D37342E3838343134372C342E3134393433312C32303236303230313030353030312C303733322C303130312C314332352C363745463536372C30342C382C32323938352E312C30313136313A33333A31302C2C2C3130302C3131303030302C2C2C2C32303236303230313030353134392C3736364524
2026-02-01 01:27:27.125,"+RESP:GTPDP,500700,868574042918495,,20260201012659,766F$",0x2B524553503A47545044502C3530303730302C3836383537343034323931383439352C2C32303236303230313031323635392C3736364624
2026-02-01 01:51:57.020,"+RESP:GTFRI,500700,868574042918495,,,10,1,1,0.0,342,342.3,-74.884147,4.149431,20260201014956,0732,0101,1C25,67EF567,04,10,22985.1,01161:33:10,,,100,110000,,,,20260201015159,7670$",0x2B524553503A47544652492C3530303730302C3836383537343034323931383439352C2C2C31302C312C312C302E302C3334322C3334322E332C2D37342E3838343134372C342E3134393433312C32303236303230313031343935362C303733322C303130312C314332352C363745463536372C30342C31302C32323938352E312C30313136313A33333A31302C2C2C3130302C3131303030302C2C2C2C32303236303230313031353135392C3736373024
2026-02-01 02:22:47.186,"+RESP:GTPDP,500700,868574042918495,,20260201022202,7671$",0x2B524553503A47545044502C3530303730302C3836383537343034323931383439352C2C32303236303230313032323230322C3736373124
2026-02-01 02:51:30.129,"+RESP:GTFRI,500700,868574042918495,,,10,1,1,0.0,342,342.3,-74.884147,4.149431,20260201024955,0732,0101,1C25,67EF567,04,9,22985.1,01161:33:10,,,100,110000,,,,20260201025208,7672$",0x2B524553503A47544652492C3530303730302C3836383537343034323931383439352C2C2C31302C312C312C302E302C3334322C3334322E332C2D37342E3838343134372C342E3134393433312C32303236303230313032343935352C303733322C303130312C314332352C363745463536372C30342C392C32323938352E312C30313136313A33333A31302C2C2C3130302C3131303030302C2C2C2C32303236303230313032353230382C3736373224
2026-02-01 03:21:58.372,"+RESP:GTPDP,500700,868574042918495,,20260201032211,7673$",0x2B524553503A47545044502C3530303730302C3836383537343034323931383439352C2C32303236303230313033323231312C3736373324
2026-02-01 03:52:14.437,"+RESP:GTPDP,500700,868574042918495,,20260201035239,7674$",0x2B524553503A47545044502C3530303730302C3836383537343034323931383439352C2C32303236303230313033353233392C3736373424
2026-02-01 04:22:55.714,"+RESP:GTPDP,500700,868574042918495,,20260201042255,7675$",0x2B524553503A47545044502C3530303730302C3836383537343034323931383439352C2C32303236303230313034323235352C3736373524
2026-02-01 04:52:12.465,"+RESP:GTFRI,500700,868574042918495,,,10,1,1,0.0,342,342.3,-74.884147,4.149431,20260201045021,0732,0101,1C25,67EF567,04,8,22985.1,01161:33:10,,,100,110000,,,,20260201045227,7676$",0x2B524553503A47544652492C3530303730302C3836383537343034323931383439352C2C2C31302C312C312C302E302C3334322C3334322E332C2D37342E3838343134372C342E3134393433312C32303236303230313034353032312C303733322C303130312C314332352C363745463536372C30342C382C32323938352E312C30313136313A33333A31302C2C2C3130302C3131303030302C2C2C2C32303236303230313034353232372C3736373624
2026-02-01 05:22:30.494,"+RESP:GTPDP,500700,868574042918495,,20260201052230,7677$",0x2B524553503A47545044502C3530303730302C3836383537343034323931383439352C2C32303236303230313035323233302C3736373724
2026-02-01 05:52:21.962,"+RESP:GTFRI,500700,868574042918495,,,10,1,1,0.0,342,342.3,-74.884147,4.149431,20260201055038,0732,0101,1C25,67EF567,04,8,22985.1,01161:33:10,,,100,110000,,,,20260201055237,7678$",0x2B524553503A47544652492C3530303730302C3836383537343034323931383439352C2C2C31302C312C312C302E302C3334322C3334322E332C2D37342E3838343134372C342E3134393433312C32303236303230313035353033382C303733322C303130312C314332352C363745463536372C30342C382C32323938352E312C30313136313A33333A31302C2C2C3130302C3131303030302C2C2C2C32303236303230313035353233372C3736373824
2026-02-01 06:22:42.191,"+RESP:GTPDP,500700,868574042918495,,20260201062239,7679$",0x2B524553503A47545044502C3530303730302C3836383537343034323931383439352C2C32303236303230313036323233392C3736373924
