,Unidad,Distancia (km) 2025,Distancia (km) 2026
0,GRN401,1031.0700000000002,2897.39
1,GRN410,1027.16,1902.91
2,GRN614,0.0,885.49
3,GRN635,1763.58,599.1
4,GRO193,5468.6900000000005,1228.29
5,GRQ307,0.0,2646.19
6,HFM821,2823.9700000000003,545.0799999999999
7,HGM913,0.0,191.98999999999998
8,JVK853,392.06,1375.66
9,LKR561,1457.01,1930.83
10,LKT384,0.0,3214.5
11,LKT429,2080.11,1376.74
12,LKT466,3380.97,726.76
13,LKT963,2376.26,2260.5299999999997
14,LKT998,2516.45,821.69
15,MXU940,209.28,930.75
16,MXU949,0.0,922.65
17,MXV226,775.58,663.1899999999999
18,PZF286,1452.93,2118.5299999999997
19,PZF457,0.0,652.64
20,PZF739,0.0,343.59
21,PZG365,1816.84,0.0
22,URY277,924.91,27.35
23,URY381,0.0,917.21
24,URY400,665.94,896.42
25,URY723,1209.95,644.42
26,ZAO200,649.32,59.07
27,ZAO309,0.0,855.8000000000001
28,ZAP339,748.64,0.0
29,ZAP392,353.57,1.81
