Created,Message,Status
2026-06-01 00:17:45.387,"+RESP:GTPDP,500700,868574042950357,,20260601001733,69B9$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313030313733332C3639423924
2026-06-01 00:48:22.772,"+RESP:GTPDP,500700,868574042950357,,20260601004751,69BA$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313030343735312C3639424124
2026-06-01 01:19:19.228,"+RESP:GTPDP,500700,868574042950357,,20260601011828,69BB$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313031313832382C3639424224
2026-06-01 01:49:35.515,"+RESP:GTPDP,500700,868574042950357,,20260601014925,69BC$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313031343932352C3639424324
2026-06-01 02:18:43.565,"+RESP:GTPDP,500700,868574042950357,,20260601021942,69BD$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313032313934322C3639424424
2026-06-01 02:48:56.142,"+RESP:GTPDP,500700,868574042950357,,20260601025000,69BE$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313032353030302C3639424524
2026-06-01 03:19:14.002,"+RESP:GTPDP,500700,868574042950357,,20260601032016,69BF$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313033323031362C3639424624
2026-06-01 03:49:33.938,"+RESP:GTPDP,500700,868574042950357,,20260601035033,69C0$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313033353033332C3639433024
2026-06-01 04:19:52.049,"+RESP:GTPDP,500700,868574042950357,,20260601042049,69C1$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313034323034392C3639433124
2026-06-01 05:06:17.895,"+RESP:GTPDP,500700,868574042950357,,20260601050709,69C2$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313035303730392C3639433224
2026-06-01 05:36:31.627,"+RESP:GTPDP,500700,868574042950357,,20260601053734,69C3$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313035333733342C3639433324
2026-06-01 06:06:51.905,"+RESP:GTPDP,500700,868574042950357,,20260601060751,69C4$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313036303735312C3639433424
2026-06-01 06:37:05.720,"+RESP:GTPDP,500700,868574042950357,,20260601063807,69C5$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313036333830372C3639433524
2026-06-01 07:15:30.921,"+RESP:GTPDP,500700,868574042950357,,20260601071620,69C6$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313037313632302C3639433624
2026-06-01 07:45:47.233,"+RESP:GTPDP,500700,868574042950357,,20260601074646,69C7$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313037343634362C3639433724
2026-06-01 08:16:05.314,"+RESP:GTPDP,500700,868574042950357,,20260601081703,69C8$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313038313730332C3639433824
2026-06-01 08:46:21.505,"+RESP:GTPDP,500700,868574042950357,,20260601084720,69C9$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313038343732302C3639433924
2026-06-01 09:16:35.078,"+RESP:GTPDP,500700,868574042950357,,20260601091737,69CA$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313039313733372C3639434124
2026-06-01 09:46:55.631,"+RESP:GTPDP,500700,868574042950357,,20260601094755,69CB$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313039343735352C3639434224
2026-06-01 10:17:13.576,"+RESP:GTPDP,500700,868574042950357,,20260601101811,69CC$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313130313831312C3639434324
2026-06-01 11:10:43.559,"+RESP:GTPDP,500700,868574042950357,,20260601111109,69CD$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313131313130392C3639434424
2026-06-01 11:40:56.852,"+RESP:GTPDP,500700,868574042950357,,20260601114159,69CE$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313131343135392C3639434524
2026-06-01 12:12:27.970,"+RESP:GTPDP,500700,868574042950357,,20260601121216,69CF$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313132313231362C3639434624
2026-06-01 12:44:46.008,"+RESP:GTPDP,500700,868574042950357,,20260601124353,69D0$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313132343335332C3639443024
2026-06-01 12:46:28.477,"+RESP:GTFRI,500700,868574042950357,,,10,1,1,0.0,13,1023.9,-76.296998,3.532795,20260601124429,0732,0101,2EE9,93586BC,04,10,23694.8,01805:09:10,,,100,110000,,,,20260601124630,69D1$",0x2B524553503A47544652492C3530303730302C3836383537343034323935303335372C2C2C31302C312C312C302E302C31332C313032332E392C2D37362E3239363939382C332E3533323739352C32303236303630313132343432392C303733322C303130312C324545392C393335383642432C30342C31302C32333639342E382C30313830353A30393A31302C2C2C3130302C3131303030302C2C2C2C32303236303630313132343633302C3639443124
2026-06-01 13:17:07.524,"+RESP:GTPDP,500700,868574042950357,,20260601131632,69D2$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313133313633322C3639443224
2026-06-01 13:46:38.227,"+RESP:GTFRI,500700,868574042950357,,,10,1,1,0.0,13,1023.9,-76.296998,3.532795,20260601134448,0732,0101,2EE9,93586BC,04,8,23694.8,01805:09:10,,,100,110000,,,,20260601134639,69D3$",0x2B524553503A47544652492C3530303730302C3836383537343034323935303335372C2C2C31302C312C312C302E302C31332C313032332E392C2D37362E3239363939382C332E3533323739352C32303236303630313133343434382C303733322C303130312C324545392C393335383642432C30342C382C32333639342E382C30313830353A30393A31302C2C2C3130302C3131303030302C2C2C2C32303236303630313133343633392C3639443324
2026-06-01 14:16:25.587,"+RESP:GTPDP,500700,868574042950357,,20260601141642,69D4$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313134313634322C3639443424
2026-06-01 14:46:46.286,"+RESP:GTFRI,500700,868574042950357,,,10,1,1,0.0,13,1023.9,-76.296998,3.532795,20260601144437,0732,0101,2EE9,93586BC,04,11,23694.8,01805:09:10,,,100,110000,,,,20260601144649,69D5$",0x2B524553503A47544652492C3530303730302C3836383537343034323935303335372C2C2C31302C312C312C302E302C31332C313032332E392C2D37362E3239363939382C332E3533323739352C32303236303630313134343433372C303733322C303130312C324545392C393335383642432C30342C31312C32333639342E382C30313830353A30393A31302C2C2C3130302C3131303030302C2C2C2C32303236303630313134343634392C3639443524
2026-06-01 15:16:00.245,"+RESP:GTPDP,500700,868574042950357,,20260601151651,69D6$",0x2B524553503A47545044502C3530303730302C3836383537343034323935303335372C2C32303236303630313135313635312C3639443624
2026-06-01 15:30:28.182,"+RESP:GTIGN,500700,868574042950357,,154286,0,0.0,13,1023.9,-76.296998,3.532795,20260601144437,0732,0101,2EE9,93586BC,06,210100,11,01805:09:10,23694.8,20260601153141,69D7$",0x2B524553503A475449474E2C3530303730302C3836383537343034323935303335372C2C3135343238362C302C302E302C31332C313032332E392C2D37362E3239363939382C332E3533323739352C32303236303630313134343433372C303733322C303130312C324545392C393335383642432C30362C3231303130302C31312C30313830353A30393A31302C32333639342E382C32303236303630313135333134312C3639443724
2026-06-01 15:30:29.744,"+RESP:GTSTT,500700,868574042950357,,21,0,0.0,13,1023.9,-76.296998,3.532795,20260601144437,0732,0101,2EE9,93586BC,06,210100,11,20260601153141,69D8$",0x2B524553503A47545354542C3530303730302C3836383537343034323935303335372C2C32312C302C302E302C31332C313032332E392C2D37362E3239363939382C332E3533323739352C32303236303630313134343433372C303733322C303130312C324545392C393335383642432C30362C3231303130302C31312C32303236303630313135333134312C3639443824
2026-06-01 15:30:50.229,"+RESP:GTIGL,500700,868574042950357,,,01,1,1,0.5,13,1037.1,-76.297069,3.532930,20260601153200,0732,0101,2EE9,93586BC,04,11,23694.8,20260601153203,69D9$",0x2B524553503A475449474C2C3530303730302C3836383537343034323935303335372C2C2C30312C312C312C302E352C31332C313033372E312C2D37362E3239373036392C332E3533323933302C32303236303630313135333230302C303733322C303130312C324545392C393335383642432C30342C31312C32333639342E382C32303236303630313135333230332C3639443924
2026-06-01 15:30:51.031,"+RESP:GTFRI,500700,868574042950357,,,10,1,1,0.5,13,1037.1,-76.297069,3.532930,20260601153200,0732,0101,2EE9,93586BC,04,11,23694.8,01805:09:30,,,100,210100,,,,20260601153203,69DA$",0x2B524553503A47544652492C3530303730302C3836383537343034323935303335372C2C2C31302C312C312C302E352C31332C313033372E312C2D37362E3239373036392C332E3533323933302C32303236303630313135333230302C303733322C303130312C324545392C393335383642432C30342C31312C32333639342E382C30313830353A30393A33302C2C2C3130302C3231303130302C2C2C2C32303236303630313135333230332C3639444124
2026-06-01 15:31:48.579,"+RESP:GTFRI,500700,868574042950357,,,10,1,1,0.0,56,1037.3,-76.297051,3.532977,20260601153255,0732,0101,2EE9,93586BC,04,12,23694.8,01805:10:30,,,100,210100,,,,20260601153301,69DB$",0x2B524553503A47544652492C3530303730302C3836383537343034323935303335372C2C2C31302C312C312C302E302C35362C313033372E332C2D37362E3239373035312C332E3533323937372C32303236303630313135333235352C303733322C303130312C324545392C393335383642432C30342C31322C32333639342E382C30313830353A31303A33302C2C2C3130302C3231303130302C2C2C2C32303236303630313135333330312C3639444224
2026-06-01 15:32:15.817,"+RESP:GTIGF,500700,868574042950357,,107,0,0.0,56,1037.3,-76.297051,3.532977,20260601153325,0732,0101,2EE9,93586BC,06,110000,12,01805:10:57,23694.8,20260601153328,69DC$",0x2B524553503A47544947462C3530303730302C3836383537343034323935303335372C2C3130372C302C302E302C35362C313033372E332C2D37362E3239373035312C332E3533323937372C32303236303630313135333332352C303733322C303130312C324545392C393335383642432C30362C3131303030302C31322C30313830353A31303A35372C32333639342E382C32303236303630313135333332382C3639444324
2026-06-01 15:32:16.638,"+RESP:GTSTT,500700,868574042950357,,11,0,0.0,56,1037.3,-76.297051,3.532977,20260601153325,0732,0101,2EE9,93586BC,06,110000,12,20260601153328,69DD$",0x2B524553503A47545354542C3530303730302C3836383537343034323935303335372C2C31312C302C302E302C35362C313033372E332C2D37362E3239373035312C332E3533323937372C32303236303630313135333332352C303733322C303130312C324545392C393335383642432C30362C3131303030302C31322C32303236303630313135333332382C3639444424
2026-06-01 15:32:20.185,"+RESP:GTIGL,500700,868574042950357,,,00,1,1,0.0,56,1034.8,-76.296997,3.533374,20260601153330,0732,0101,2EE9,93586BC,04,12,23694.8,20260601153333,69DE$",0x2B524553503A475449474C2C3530303730302C3836383537343034323935303335372C2C2C30302C312C312C302E302C35362C313033342E382C2D37362E3239363939372C332E3533333337342C32303236303630313135333333302C303733322C303130312C324545392C393335383642432C30342C31322C32333639342E382C32303236303630313135333333332C3639444524
2026-06-01 15:32:20.912,"+RESP:GTFRI,500700,868574042950357,,,10,1,1,0.0,56,1034.8,-76.296997,3.533374,20260601153330,0732,0101,2EE9,93586BC,04,12,23694.8,01805:10:57,,,100,110000,,,,20260601153333,69DF$",0x2B524553503A47544652492C3530303730302C3836383537343034323935303335372C2C2C31302C312C312C302E302C35362C313033342E382C2D37362E3239363939372C332E3533333337342C32303236303630313135333333302C303733322C303130312C324545392C393335383642432C30342C31322C32333639342E382C30313830353A31303A35372C2C2C3130302C3131303030302C2C2C2C32303236303630313135333333332C3639444624
2026-06-01 15:41:08.406,"+RESP:GTIGN,500700,868574042950357,,463,0,0.0,56,1034.8,-76.296997,3.533374,20260601153330,0732,0101,2EE9,93586BC,06,220100,12,01805:10:57,23694.8,20260601154111,69E0$",0x2B524553503A475449474E2C3530303730302C3836383537343034323935303335372C2C3436332C302C302E302C35362C313033342E382C2D37362E3239363939372C332E3533333337342C32303236303630313135333333302C303733322C303130312C324545392C393335383642432C30362C3232303130302C31322C30313830353A31303A35372C32333639342E382C32303236303630313135343131312C3639453024
2026-06-01 15:41:08.946,"+RESP:GTSTT,500700,868574042950357,,22,0,0.0,56,1034.8,-76.296997,3.533374,20260601153330,0732,0101,2EE9,93586BC,06,220100,12,20260601154111,69E1$",0x2B524553503A47545354542C3530303730302C3836383537343034323935303335372C2C32322C302C302E302C35362C313033342E382C2D37362E3239363939372C332E3533333337342C32303236303630313135333333302C303733322C303130312C324545392C393335383642432C30362C3232303130302C31322C32303236303630313135343131312C3639453124
2026-06-01 15:41:23.630,"+RESP:GTIGL,500700,868574042950357,,,01,1,1,23.6,8,1033.6,-76.296947,3.533739,20260601154123,0732,0101,2EE9,93586BC,04,12,23694.9,20260601154126,69E2$",0x2B524553503A475449474C2C3530303730302C3836383537343034323935303335372C2C2C30312C312C312C32332E362C382C313033332E362C2D37362E3239363934372C332E3533333733392C32303236303630313135343132332C303733322C303130312C324545392C393335383642432C30342C31322C32333639342E392C32303236303630313135343132362C3639453224
2026-06-01 15:41:25.058,"+RESP:GTFRI,500700,868574042950357,,,10,1,1,23.6,8,1033.6,-76.296947,3.533739,20260601154123,0732,0101,2EE9,93586BC,04,12,23694.9,01805:11:07,,,100,220100,,,,20260601154126,69E3$",0x2B524553503A47544652492C3530303730302C3836383537343034323935303335372C2C2C31302C312C312C32332E362C382C313033332E362C2D37362E3239363934372C332E3533333733392C32303236303630313135343132332C303733322C303130312C324545392C393335383642432C30342C31322C32333639342E392C30313830353A31313A30372C2C2C3130302C3232303130302C2C2C2C32303236303630313135343132362C3639453324
2026-06-01 15:41:43.302,"+RESP:GTFRI,500700,868574042950357,,,11,1,1,25.2,73,1026.8,-76.296586,3.534619,20260601154143,0732,0101,2EE9,93586BC,04,12,23695.0,01805:11:27,,,100,220100,,,,20260601154146,69E4$",0x2B524553503A47544652492C3530303730302C3836383537343034323935303335372C2C2C31312C312C312C32352E322C37332C313032362E382C2D37362E3239363538362C332E3533343631392C32303236303630313135343134332C303733322C303130312C324545392C393335383642432C30342C31322C32333639352E302C30313830353A31313A32372C2C2C3130302C3232303130302C2C2C2C32303236303630313135343134362C3639453424
2026-06-01 15:42:02.090,"+RESP:GTFRI,500700,868574042950357,,,11,1,1,17.3,156,1022.7,-76.295984,3.534392,20260601154201,0732,0101,2EE9,93586BC,04,12,23695.1,01805:11:47,,,100,220100,,,,20260601154204,69E5$",0x2B524553503A47544652492C3530303730302C3836383537343034323935303335372C2C2C31312C312C312C31372E332C3135362C313032322E372C2D37362E3239353938342C332E3533343339322C32303236303630313135343230312C303733322C303130312C324545392C393335383642432C30342C31322C32333639352E312C30313830353A31313A34372C2C2C3130302C3232303130302C2C2C2C32303236303630313135343230342C3639453524
2026-06-01 15:42:19.774,"+RESP:GTFRI,500700,868574042950357,,,10,1,1,24.2,188,1018.3,-76.296133,3.533495,20260601154216,0732,0101,2EE9,93586BC,04,12,23695.2,01805:12:07,,,100,220100,,,,20260601154222,69E6$",0x2B524553503A47544652492C3530303730302C3836383537343034323935303335372C2C2C31302C312C312C32342E322C3138382C313031382E332C2D37362E3239363133332C332E3533333439352C32303236303630313135343231362C303733322C303130312C324545392C393335383642432C30342C31322C32333639352E322C30313830353A31323A30372C2C2C3130302C3232303130302C2C2C2C32303236303630313135343232322C3639453624
2026-06-01 15:42:55.634,"+RESP:GTFRI,500700,868574042950357,,,11,1,1,13.3,219,1010.2,-76.296535,3.531768,20260601154255,0732,0101,2EE9,93586BC,04,12,23695.4,01805:12:42,,,100,220100,,,,20260601154258,69E7$",0x2B524553503A47544652492C3530303730302C3836383537343034323935303335372C2C2C31312C312C312C31332E332C3231392C313031302E322C2D37362E3239363533352C332E3533313736382C32303236303630313135343235352C303733322C303130312C324545392C393335383642432C30342C31322C32333639352E342C30313830353A31323A34322C2C2C3130302C3232303130302C2C2C2C32303236303630313135343235382C3639453724
2026-06-01 15:43:01.468,"+RESP:GTFRI,500700,868574042950357,,,11,1,1,22.5,270,1011.8,-76.296823,3.531804,20260601154301,0732,0101,2EE9,93586BC,04,12,23695.4,01805:12:47,,,100,220100,,,,20260601154304,69E8$",0x2B524553503A47544652492C3530303730302C3836383537343034323935303335372C2C2C31312C312C312C32322E352C3237302C313031312E382C2D37362E3239363832332C332E3533313830342C32303236303630313135343330312C303733322C303130312C324545392C393335383642432C30342C31322C32333639352E342C30313830353A31323A34372C2C2C3130302C3232303130302C2C2C2C32303236303630313135343330342C3639453824
2026-06-01 15:43:25.997,"+RESP:GTFRI,500700,868574042950357,,,10,1,1,11.4,300,1013.2,-76.297217,3.531888,20260601154316,0732,0101,2EE9,935042B,04,12,23695.5,01805:13:07,,,100,220100,,,,20260601154322,69E9$",0x2B524553503A47544652492C3530303730302C3836383537343034323935303335372C2C2C31302C312C312C31312E342C3330302C313031332E322C2D37362E3239373231372C332E3533313838382C32303236303630313135343331362C303733322C303130312C324545392C393335303432422C30342C31322C32333639352E352C30313830353A31333A30372C2C2C3130302C3232303130302C2C2C2C32303236303630313135343332322C3639453924
2026-06-01 15:43:26.615,"+RESP:GTFRI,500700,868574042950357,,,11,1,1,19.4,340,1015.0,-76.297201,3.532007,20260601154319,0732,0101,2EE9,935042B,04,12,23695.5,01805:13:07,,,100,220100,,,,20260601154322,69EA$",0x2B524553503A47544652492C3530303730302C3836383537343034323935303335372C2C2C31312C312C312C31392E342C3334302C313031352E302C2D37362E3239373230312C332E3533323030372C32303236303630313135343331392C303733322C303130312C324545392C393335303432422C30342C31322C32333639352E352C30313830353A31333A30372C2C2C3130302C3232303130302C2C2C2C32303236303630313135343332322C3639454124
2026-06-01 15:44:26.370,"+RESP:GTIGF,500700,868574042950357,,198,0,1.2,6,1022.5,-76.297075,3.532846,20260601154425,0732,0101,2EE9,93586BC,06,120000,12,01805:14:15,23695.5,20260601154429,69EB$",0x2B524553503A47544947462C3530303730302C3836383537343034323935303335372C2C3139382C302C312E322C362C313032322E352C2D37362E3239373037352C332E3533323834362C32303236303630313135343432352C303733322C303130312C324545392C393335383642432C30362C3132303030302C31322C30313830353A31343A31352C32333639352E352C32303236303630313135343432392C3639454224
2026-06-01 15:44:26.964,"+RESP:GTSTT,500700,868574042950357,,12,0,1.2,6,1022.5,-76.297075,3.532846,20260601154425,0732,0101,2EE9,93586BC,06,120000,12,20260601154429,69EC$",0x2B524553503A47545354542C3530303730302C3836383537343034323935303335372C2C31322C302C312E322C362C313032322E352C2D37362E3239373037352C332E3533323834362C32303236303630313135343432352C303733322C303130312C324545392C393335383642432C30362C3132303030302C31322C32303236303630313135343432392C3639454324
2026-06-01 15:44:28.091,"+RESP:GTSTT,500700,868574042950357,,11,0,1.2,6,1022.5,-76.297075,3.532846,20260601154425,0732,0101,2EE9,93586BC,06,110000,12,20260601154431,69ED$",0x2B524553503A47545354542C3530303730302C3836383537343034323935303335372C2C31312C302C312E322C362C313032322E352C2D37362E3239373037352C332E3533323834362C32303236303630313135343432352C303733322C303130312C324545392C393335383642432C30362C3131303030302C31322C32303236303630313135343433312C3639454424
2026-06-01 15:44:29.990,"+RESP:GTIGL,500700,868574042950357,,,00,1,1,0.0,6,1022.8,-76.297070,3.532850,20260601154430,0732,0101,2EE9,93586BC,04,12,23695.5,20260601154433,69EE$",0x2B524553503A475449474C2C3530303730302C3836383537343034323935303335372C2C2C30302C312C312C302E302C362C313032322E382C2D37362E3239373037302C332E3533323835302C32303236303630313135343433302C303733322C303130312C324545392C393335383642432C30342C31322C32333639352E352C32303236303630313135343433332C3639454524
2026-06-01 15:44:31.598,"+RESP:GTFRI,500700,868574042950357,,,10,1,1,0.0,6,1022.8,-76.297070,3.532850,20260601154430,0732,0101,2EE9,93586BC,04,12,23695.5,01805:14:15,,,100,110000,,,,20260601154433,69EF$",0x2B524553503A47544652492C3530303730302C3836383537343034323935303335372C2C2C31302C312C312C302E302C362C313032322E382C2D37362E3239373037302C332E3533323835302C32303236303630313135343433302C303733322C303130312C324545392C393335383642432C30342C31322C32333639352E352C30313830353A31343A31352C2C2C3130302C3131303030302C2C2C2C32303236303630313135343433332C3639454624
2026-06-01 15:45:05.848,"+RESP:GTIGN,500700,868574042950357,,40,0,0.0,6,1022.8,-76.297070,3.532850,20260601154430,0732,0101,2EE9,93586BC,06,210100,12,01805:14:15,23695.5,20260601154509,69F0$",0x2B524553503A475449474E2C3530303730302C3836383537343034323935303335372C2C34302C302C302E302C362C313032322E382C2D37362E3239373037302C332E3533323835302C32303236303630313135343433302C303733322C303130312C324545392C393335383642432C30362C3231303130302C31322C30313830353A31343A31352C32333639352E352C32303236303630313135343530392C3639463024
