Created,Message,Status
2026-06-01 00:33:12.978,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675145"",""SerialNo"":41436,""Mileage"":11713811,""Date"":""2026-06-01T00:34:18Z"",""IopIgnition"":false,""Latitude"":11.208187103271484,""Longitude"":-74.163162231445313,""Altitude"":52.099998474121094,""ExternalPowerVoltage"":12.73,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":17,""Azimuth"":255,""BatteryLevel"":98,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x2525130059A1DC0869487061675145003C0E102D000000415100000007000020000000FFFFFFFFFFFFFFFFFFFF00D500B2BD1398260601003418666650428A5394C2BC543341000000FF03891273FFFFFF0000250000FFFFFF
2026-06-01 01:33:09.197,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675145"",""SerialNo"":41437,""Mileage"":11713811,""Date"":""2026-06-01T01:34:18Z"",""IopIgnition"":false,""Latitude"":11.208187103271484,""Longitude"":-74.163162231445313,""Altitude"":52.099998474121094,""ExternalPowerVoltage"":12.72,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":12,""Azimuth"":255,""BatteryLevel"":98,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x2525130059A1DD0869487061675145003C0E102D000000484C00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500B2BD1398260601013418666650428A5394C2BC543341000000FF03891272FFFFFF0000240000FFFFFF
2026-06-01 02:33:12.717,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675145"",""SerialNo"":41438,""Mileage"":11713811,""Date"":""2026-06-01T02:34:17Z"",""IopIgnition"":false,""Latitude"":11.208187103271484,""Longitude"":-74.163162231445313,""Altitude"":52.099998474121094,""ExternalPowerVoltage"":12.71,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":17,""Azimuth"":255,""BatteryLevel"":98,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x2525130059A1DE0869487061675145003C0E102D000000415100000007000020000000FFFFFFFFFFFFFFFFFFFF00D500B2BD1398260601023417666650428A5394C2BC543341000000FF03891271FFFFFF0000240000FFFFFF
2026-06-01 03:33:09.790,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675145"",""SerialNo"":41439,""Mileage"":11713811,""Date"":""2026-06-01T03:34:18Z"",""IopIgnition"":false,""Latitude"":11.208187103271484,""Longitude"":-74.163162231445313,""Altitude"":52.099998474121094,""ExternalPowerVoltage"":12.71,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":17,""Azimuth"":255,""BatteryLevel"":98,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x2525130059A1DF0869487061675145003C0E102D000000415100000007000020000000FFFFFFFFFFFFFFFFFFFF00D500B2BD1398260601033418666650428A5394C2BC543341000000FF03891271FFFFFF0000220000FFFFFF
2026-06-01 04:33:09.567,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675145"",""SerialNo"":41440,""Mileage"":11713811,""Date"":""2026-06-01T04:34:18Z"",""IopIgnition"":false,""Latitude"":11.208187103271484,""Longitude"":-74.163162231445313,""Altitude"":52.099998474121094,""ExternalPowerVoltage"":12.71,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":255,""BatteryLevel"":97,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x2525130059A1E00869487061675145003C0E102D0000003A4F00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500B2BD1397260601043418666650428A5394C2BC543341000000FF03891271FFFFFF0000210000FFFFFF
2026-06-01 05:33:13.340,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675145"",""SerialNo"":41441,""Mileage"":11713811,""Date"":""2026-06-01T05:34:18Z"",""IopIgnition"":false,""Latitude"":11.208187103271484,""Longitude"":-74.163162231445313,""Altitude"":52.099998474121094,""ExternalPowerVoltage"":12.71,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":255,""BatteryLevel"":97,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x2525130059A1E10869487061675145003C0E102D000000374F00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500B2BD1397260601053418666650428A5394C2BC543341000000FF03891271FFFFFF0000210000FFFFFF
2026-06-01 06:33:09.306,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675145"",""SerialNo"":41442,""Mileage"":11713811,""Date"":""2026-06-01T06:34:18Z"",""IopIgnition"":false,""Latitude"":11.208187103271484,""Longitude"":-74.163162231445313,""Altitude"":52.099998474121094,""ExternalPowerVoltage"":12.7,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":14,""Azimuth"":255,""BatteryLevel"":97,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x2525130059A1E20869487061675145003C0E102D000000374E00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500B2BD1397260601063418666650428A5394C2BC543341000000FF03891270FFFFFF0000210000FFFFFF
2026-06-01 07:33:13.191,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675145"",""SerialNo"":41443,""Mileage"":11713811,""Date"":""2026-06-01T07:34:18Z"",""IopIgnition"":false,""Latitude"":11.208187103271484,""Longitude"":-74.163162231445313,""Altitude"":52.099998474121094,""ExternalPowerVoltage"":12.7,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":255,""BatteryLevel"":97,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x2525130059A1E30869487061675145003C0E102D000000334F00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500B2BD1397260601073418666650428A5394C2BC543341000000FF03891270FFFFFF0000210000FFFFFF
2026-06-01 08:33:08.903,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675145"",""SerialNo"":41444,""Mileage"":11713811,""Date"":""2026-06-01T08:34:17Z"",""IopIgnition"":false,""Latitude"":11.208187103271484,""Longitude"":-74.163162231445313,""Altitude"":52.099998474121094,""ExternalPowerVoltage"":12.69,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":255,""BatteryLevel"":97,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x2525130059A1E40869487061675145003C0E102D000000374F00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500B2BD1397260601083417666650428A5394C2BC543341000000FF03891269FFFFFF0000200000FFFFFF
2026-06-01 09:33:09.687,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675145"",""SerialNo"":41445,""Mileage"":11713811,""Date"":""2026-06-01T09:34:18Z"",""IopIgnition"":false,""Latitude"":11.208187103271484,""Longitude"":-74.163162231445313,""Altitude"":52.099998474121094,""ExternalPowerVoltage"":12.69,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":17,""Azimuth"":255,""BatteryLevel"":97,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x2525130059A1E50869487061675145003C0E102D000000335100000007000020000000FFFFFFFFFFFFFFFFFFFF00D500B2BD1397260601093418666650428A5394C2BC543341000000FF03891269FFFFFF0000200000FFFFFF
2026-06-01 10:33:09.478,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675145"",""SerialNo"":41446,""Mileage"":11713811,""Date"":""2026-06-01T10:34:18Z"",""IopIgnition"":false,""Latitude"":11.208187103271484,""Longitude"":-74.163162231445313,""Altitude"":52.099998474121094,""ExternalPowerVoltage"":12.69,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":14,""Azimuth"":255,""BatteryLevel"":97,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x2525130059A1E60869487061675145003C0E102D000000374E00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500B2BD1397260601103418666650428A5394C2BC543341000000FF03891269FFFFFF0000200000FFFFFF
2026-06-01 11:33:09.265,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675145"",""SerialNo"":41447,""Mileage"":11713811,""Date"":""2026-06-01T11:34:18Z"",""IopIgnition"":false,""Latitude"":11.208187103271484,""Longitude"":-74.163162231445313,""Altitude"":52.099998474121094,""ExternalPowerVoltage"":12.69,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":255,""BatteryLevel"":97,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x2525130059A1E70869487061675145003C0E102D000000415000000007000020000000FFFFFFFFFFFFFFFFFFFF00D500B2BD1397260601113418666650428A5394C2BC543341000000FF03891269FFFFFF0000210000FFFFFF
2026-06-01 12:33:13.615,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675145"",""SerialNo"":41448,""Mileage"":11713811,""Date"":""2026-06-01T12:34:18Z"",""IopIgnition"":false,""Latitude"":11.208187103271484,""Longitude"":-74.163162231445313,""Altitude"":52.099998474121094,""ExternalPowerVoltage"":12.66,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":255,""BatteryLevel"":97,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x2525130059A1E80869487061675145003C0E102D0000003A4F00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500B2BD1397260601123418666650428A5394C2BC543341000000FF03891266FFFFFF0000230000FFFFFF
2026-06-01 12:33:24.282,"[{""Protocol"":""0x2525"",""MessageType"":""LocationAlarmMessage"",""ProtocolHeadType"":20,""Imei"":""869487061675145"",""SerialNo"":2814,""Mileage"":11713811,""Date"":""2026-06-01T12:34:28Z"",""IopIgnition"":true,""Latitude"":11.208187103271484,""Longitude"":-74.163162231445313,""Altitude"":52.099998474121094,""ExternalPowerVoltage"":12.66,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":14,""Azimuth"":255,""OriginalAlarmCode"":22,""Input1"":1,""Input2"":0,""Input3"":0,""Input4"":0,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""AccumulatingFuelConsumption"":0,""RemainFuelRate"":0,""ThrottlePosition"":0}]",0x25251400590AFE0869487061675145003C0E102D0000003A4E00000007000061000000FFFFFFFFFFFFFFFFFFFF16D500B2BD1397260601123428666650428A5394C2BC543341000000FF03891266FFFFFF0000240000FFFFFF
2026-06-01 12:34:49.287,"[{""Protocol"":""0x2525"",""MessageType"":""LocationAlarmMessage"",""ProtocolHeadType"":20,""Imei"":""869487061675145"",""SerialNo"":2815,""Mileage"":11713811,""Date"":""2026-06-01T12:35:53Z"",""IopIgnition"":false,""Latitude"":11.208187103271484,""Longitude"":-74.163162231445313,""Altitude"":52.099998474121094,""ExternalPowerVoltage"":11.8,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":14,""Azimuth"":255,""OriginalAlarmCode"":23,""Input1"":1,""Input2"":0,""Input3"":0,""Input4"":0,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""AccumulatingFuelConsumption"":0,""RemainFuelRate"":0,""ThrottlePosition"":0}]",0x25251400590AFF0869487061675145003C0E102D0000003A4E00000007000020000000FFFFFFFFFFFFFFFFFFFF17D500B2BD1397260601123553666650428A5394C2BC543341000000FF03891180FFFFFF0000230000FFFFFF
