GroupName,UnitID,UnitName1,MaxSpeed,MilesDriven,TravelTimeSecs,Textbox3,IdleTimeSecs,Textbox6,IdleTimeSecs2,Textbox11,Textbox15,Textbox16,Textbox17,Textbox18,Textbox19,Textbox22,Textbox23
,1BYW,A1 CHN0177 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,19JO,A1 LUL 144,76,"27,36",0H:52M:2S,"0,87",0H:36M:26S,"0,61",1H:28M:28S,"1,47","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1BIL,CHN0177,79,"87,11",3H:7M:49S,"3,13",1H:21M:37S,"1,36",4H:29M:26S,"4,49","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1BGJ,IBZ301,47,"36,11",1H:58M:26S,"1,97",1H:16M:48S,"1,28",3H:15M:14S,"3,25","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1BY0,IBZ301 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1CTQ,LQK053,61,"66,50",3H:32M:14S,"3,54",4H:38M:32S,"4,64",8H:10M:46S,"8,18","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1C04,LQK053 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1CU6,LQK054,56,"56,55",3H:18M:9S,"3,30",5H:26M:51S,"5,45",8H:45M:0S,"8,75","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1BQO,LQK054 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1CM2,LUL144,79,"27,76",1H:0M:50S,"1,01",0H:46M:20S,"0,77",1H:47M:10S,"1,79","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
