GroupName,UnitID,UnitName1,MaxSpeed,MilesDriven,TravelTimeSecs,Textbox3,IdleTimeSecs,Textbox6,IdleTimeSecs2,Textbox11,Textbox15,Textbox16,Textbox17,Textbox18,Textbox19,Textbox22,Textbox23
,1BYW,A1 CHN0177 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,19JO,A1 LUL 144,85,"154,50",4H:45M:39S,"4,76",2H:23M:29S,"2,39",7H:9M:8S,"7,15","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1BIL,CHN0177,79,"87,11",3H:7M:49S,"3,13",1H:21M:37S,"1,36",4H:29M:26S,"4,49","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1BGJ,IBZ301,76,"56,31",2H:31M:57S,"2,53",1H:20M:22S,"1,34",3H:52M:19S,"3,87","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1BY0,IBZ301 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1CTQ,LQK053,68,"76,78",4H:0M:0S,"4,00",5H:38M:47S,"5,65",9H:38M:47S,"9,65","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1C04,LQK053 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1CU6,LQK054,76,"272,57",12H:35M:40S,"12,59",17H:30M:53S,"17,51",1D:6H:6M:33S,"30,11","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1BQO,LQK054 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1CM2,LUL144,87,"160,76",5H:4M:0S,"5,07",6H:26M:22S,"6,44",11H:30M:22S,"11,51","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1BW4,LUL144 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1CWQ,LUM169,89,"417,46",8H:52M:52S,"8,88",4H:17M:59S,"4,30",13H:10M:51S,"13,18","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1BN8,LUM169 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1BP0,LUM169 AIR2.,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1CPT,NOY423,76,"313,29",11H:48M:9S,"11,80",15H:33M:54S,"15,57",1D:3H:22M:3S,"27,37","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1BQ8,NOY423 VF,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1CX6,NOY424,76,"428,42",16H:15M:20S,"16,26",15H:6M:31S,"15,11",1D:7H:21M:51S,"31,36","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1A6X,NOY424 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1CTA,NUW693,82,"565,22",14H:12M:6S,"14,20",4H:40M:29S,"4,67",18H:52M:35S,"18,88","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
