,Message,Message Type,Protocole,IMEI,Serial,Mileage,Date,Ignition,Latitude,Longitude,Altitude,External Power,RPM,Speed,Satellite Number,Azimuth,Bettery level
1257,"[{""Protocol"":""0x2525""","MessageType:""LocationAlarmMessage""",ProtocolHeadType:20,"Imei:""869487064468670""",SerialNo:143,Mileage:946293,"Date:""2026-03-03T04:05:25Z""",IopIgnition:true,Latitude:4.6294965744018555,Longitude:-74.111129760742188,Altitude:2585.39990234375,ExternalPowerVoltage:12.68,Rpm:-999,Speed:0.0,SatelliteNumber:16,Azimuth:37,OriginalAlarmCode:22}]
1258,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064468670""",SerialNo:2482,Mileage:946293,"Date:""2026-03-03T04:06:25Z""",IopIgnition:true,Latitude:4.6294965744018555,Longitude:-74.111129760742188,Altitude:2585.39990234375,ExternalPowerVoltage:12.56,Rpm:-999,Speed:0.0,SatelliteNumber:16,Azimuth:37,BatteryLevel:82}]
1259,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064468670""",SerialNo:2483,Mileage:946293,"Date:""2026-03-03T04:07:25Z""",IopIgnition:true,Latitude:4.6294965744018555,Longitude:-74.111129760742188,Altitude:2585.39990234375,ExternalPowerVoltage:12.62,Rpm:-999,Speed:0.0,SatelliteNumber:14,Azimuth:37,BatteryLevel:83}]
1260,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064468670""",SerialNo:2484,Mileage:946293,"Date:""2026-03-03T04:08:26Z""",IopIgnition:true,Latitude:4.6294965744018555,Longitude:-74.111129760742188,Altitude:2585.39990234375,ExternalPowerVoltage:12.56,Rpm:-999,Speed:0.0,SatelliteNumber:15,Azimuth:37,BatteryLevel:82}]
1261,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064468670""",SerialNo:2485,Mileage:946293,"Date:""2026-03-03T04:09:26Z""",IopIgnition:true,Latitude:4.6294965744018555,Longitude:-74.111129760742188,Altitude:2585.39990234375,ExternalPowerVoltage:12.59,Rpm:-999,Speed:0.0,SatelliteNumber:15,Azimuth:37,BatteryLevel:83}]
1262,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064468670""",SerialNo:2486,Mileage:946293,"Date:""2026-03-03T04:10:26Z""",IopIgnition:true,Latitude:4.6294965744018555,Longitude:-74.111129760742188,Altitude:2585.39990234375,ExternalPowerVoltage:12.6,Rpm:-999,Speed:0.0,SatelliteNumber:14,Azimuth:37,BatteryLevel:82}]
1263,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064468670""",SerialNo:2487,Mileage:946293,"Date:""2026-03-03T04:11:26Z""",IopIgnition:true,Latitude:4.6294965744018555,Longitude:-74.111129760742188,Altitude:2585.39990234375,ExternalPowerVoltage:12.62,Rpm:-999,Speed:0.0,SatelliteNumber:15,Azimuth:37,BatteryLevel:83}]
1264,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064468670""",SerialNo:2488,Mileage:946293,"Date:""2026-03-03T04:12:26Z""",IopIgnition:true,Latitude:4.6294965744018555,Longitude:-74.111129760742188,Altitude:2585.39990234375,ExternalPowerVoltage:12.6,Rpm:-999,Speed:0.0,SatelliteNumber:16,Azimuth:37,BatteryLevel:83}]
1265,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064468670""",SerialNo:2489,Mileage:946293,"Date:""2026-03-03T04:13:26Z""",IopIgnition:true,Latitude:4.6294965744018555,Longitude:-74.111129760742188,Altitude:2585.39990234375,ExternalPowerVoltage:12.59,Rpm:-999,Speed:0.0,SatelliteNumber:15,Azimuth:37,BatteryLevel:83}]
1266,"[{""Protocol"":""0x2525""","MessageType:""LocationInfoMessage""",ProtocolHeadType:19,"Imei:""869487064468670""",SerialNo:2490,Mileage:946293,"Date:""2026-03-03T04:14:25Z""",IopIgnition:true,Latitude:4.6294965744018555,Longitude:-74.111129760742188,Altitude:2585.39990234375,ExternalPowerVoltage:12.59,Rpm:-999,Speed:0.0,SatelliteNumber:15,Azimuth:37,BatteryLevel:83}]
