Hora de Inicio,,Tiempo Viajado,Distancia Conducida,Vel. Máxima,Hora de Parada,Evento de Parada,,,,Tiempo Detenido,Dirección
19/02/2026 12:00 a.m.,,00h:00m:00s,0.00,40,19/02/2026 5:36:4.m.,Denido/Ralenti,,,,06h:01m:36s,"Zona Logística Itagüí
32148 3286 322-32148 Carrera 41 Carrera 41 Carrera 41 "
19/02/2026 6:01 a.m.,,00h:00m:00s,0.00,0,19/02/2026 6:01:4.m.,Denido/Ralenti,,,,00h:55m:25s,"Zona Logística Itagüí
32148 3286 322-32148 Carrera 41 Carrera 41 Carrera 41 "
19/02/2026 6:46 a.m.,,00h:00m:00s,0.00,0,19/02/2026 6:46:4.m.,Denido/Ralenti,,,,00h:00m:00s,"ZONA LOGISTICA
32148 3262 322-32148 Carrera 41 Carrera 41 Carrera 41 "
19/02/2026 6:47 a.m.,,00h:00m:39s,0.00,11,19/02/2026 6:47:4.m.,Ralenti,,,,00h:02m:49s,"ZONA LOGISTICA
32148 3262 322-32148 Carrera 41 Carrera 41 Carrera 41 "
19/02/2026 6:50 a.m.,,00h:00m:27s,1.01,1,19/02/2026 6:51:0.m.,Ralenti,,,,00h:14m:41s,"ZONA LOGISTICA
32148 3262 322-32148 Carrera 41 Carrera 41 Carrera 41 "
19/02/2026 7:05 a.m.,,00h:03m:59s,2.78,83,19/02/2026 7:09:4.m.,Ralenti,,,,00h:00m:40s,"Kr44 45-95, Itagui, Antioquia"
19/02/2026 7:10 a.m.,,00h:01m:45s,2.06,20,19/02/2026 7:12:0.m.,Ralenti/Ign Apagada,,,,00h:04m:53s,"Av Autosur 32, Itagui, Antioquia"
19/02/2026 7:16 a.m.,,00h:00m:00s,0.00,0,19/02/2026 7:16:2.m.,Denido/Ralenti,,,,00h:13m:58s,"Av Autosur 32, Itagui, Antioquia"
19/02/2026 7:25 a.m.,,00h:00m:00s,0.00,0,19/02/2026 7:25:2.m.,Denido/Ralenti,,,,01h:13m:37s,"Av Autosur 32, Itagui, Antioquia"
19/02/2026 8:35 a.m.,,00h:00m:00s,0.00,0,19/02/2026 8:35:3.m.,Denido/Ralenti,,,,00h:02m:40s,"Av Autosur 32, Itagui, Antioquia"
19/02/2026 8:38 a.m.,,00h:01m:20s,0.40,18,19/02/2026 8:40:0.m.,Ralenti,,,,00h:00m:37s,"Cl33 38a-29, Itagui, Antioquia, Colombia"
19/02/2026 8:40 a.m.,,00h:02m:02s,0.68,14,19/02/2026 8:42:4.m.,Ralenti,,,,00h:00m:29s,"Dg45 48-11, Itagui, Antioquia"
19/02/2026 8:43 a.m.,,00h:00m:11s,0.23,6,19/02/2026 8:43:2.m.,Ralenti,,,,00h:00m:10s,"Kr47 49-14, Itagui, Antioquia"
19/02/2026 8:43 a.m.,,00h:00m:29s,0.08,6,19/02/2026 8:44:0.m.,Ralenti,,,,00h:00m:01s,"Kr47 49-70, Itagui, Antioquia"
19/02/2026 8:44 a.m.,,00h:01m:18s,0.24,12,19/02/2026 8:45:2.m.,Ralenti,,,,00h:00m:33s,"Cl50 43-58, Itagui, Antioquia"
19/02/2026 8:45 a.m.,,00h:01m:59s,1.08,23,19/02/2026 8:47:5.m.,Ralenti,,,,00h:00m:09s,"Entrada A La Regional-9, Sabaneta, Antioquia"
19/02/2026 8:48 a.m.,,00h:08m:20s,5.25,33,19/02/2026 8:56:2.m.,Ralenti,,,,00h:00m:18s,"Regional-46, Medellin, Antioquia"
19/02/2026 8:56 a.m.,,00h:00m:40s,0.11,12,19/02/2026 8:57:2.m.,Ralenti,,,,00h:00m:40s,"Regional-65, Medellin, Antioquia"
19/02/2026 8:58 a.m.,,00h:00m:35s,0.43,15,19/02/2026 8:58:3.m.,Ralenti,,,,00h:00m:45s,"Regional 1-11, Medellin, Antioquia"
19/02/2026 8:59 a.m.,,00h:01m:20s,0.00,26,19/02/2026 9:00:4.m.,Ralenti,,,,00h:01m:19s,"Regional 6-47, Medellin, Antioquia"
19/02/2026 9:02 a.m.,,00h:00m:40s,0.71,7,19/02/2026 9:02:4.m.,Ralenti,,,,00h:00m:40s,"Regional 7-73, Medellin, Antioquia"
19/02/2026 9:03 a.m.,,00h:00m:22s,0.29,8,19/02/2026 9:03:4.m.,Ralenti,,,,00h:00m:58s,"Monte Rey
10-45 10-45 48115 Carrera 49 Carrera 49 Carrera 50 Carrera 48 "
19/02/2026 9:04 a.m.,,00h:00m:40s,0.00,7,19/02/2026 9:05:2.m.,Ralenti,,,,00h:01m:59s,"Monte Rey
10-45 10-45 48115 Carrera 49 Carrera 49 Carrera 50 Carrera 48 "
19/02/2026 9:07 a.m.,,00h:01m:15s,0.37,13,19/02/2026 9:08:3.m.,Ralenti,,,,00h:27m:20s,"Monte Rey
10-45 10-45 48115 Carrera 49 Carrera 49 Carrera 50 Carrera 48 "
19/02/2026 9:35 a.m.,,00h:00m:40s,0.00,9,19/02/2026 9:36:3.m.,Ralenti,,,,00h:03m:55s,"Monte Rey
10-45 10-45 48115 Carrera 49 Carrera 49 Carrera 50 Carrera 48 "
19/02/2026 9:40 a.m.,,00h:01m:24s,0.97,24,19/02/2026 9:41:5.m.,Ralenti,,,,00h:00m:40s,"Kr52-26, Medellin, Antioquia"
19/02/2026 9:42 a.m.,,00h:05m:59s,2.32,29,19/02/2026 9:48:3.m.,Ralenti,,,,00h:00m:40s,"Kr57 42-64, Medellin, Antioquia"
19/02/2026 9:49 a.m.,,00h:01m:11s,1.53,21,19/02/2026 9:50:2.m.,Ralenti,,,,00h:00m:08s,"Av San Juan 52-41, Medellin, Antioquia"
19/02/2026 9:50 a.m.,,00h:01m:20s,0.06,18,19/02/2026 9:51:5.m.,Ralenti,,,,00h:00m:40s,"Av San Juan 45-20, Medellin, Antioquia"
19/02/2026 9:52 a.m.,,00h:01m:20s,0.50,14,19/02/2026 9:53:5.m.,Ralenti,,,,00h:00m:40s,"Av San Juan 41-28, Medellin, Antioquia"
19/02/2026 9:54 a.m.,,00h:01m:19s,0.69,35,19/02/2026 9:55:5.m.,Ralenti,,,,00h:00m:37s,"Cl41 36b-27, Medellin, Antioquia"
19/02/2026 9:56 a.m.,,00h:01m:06s,0.42,14,19/02/2026 9:57:3.m.,Ralenti,,,,00h:00m:57s,"Kr36a 40-12, Medellin, Antioquia"
19/02/2026 9:58 a.m.,,00h:00m:40s,0.13,6,19/02/2026 9:59:1.m.,Ralenti,,,,00h:20m:29s,"Cl39 36-23, Medellin, Antioquia"
19/02/2026 10:19 a.m.,,00h:00m:07s,1.21,41,19/02/2026 10:19:4.m.,Ralenti,,,,00h:13m:57s,"Kr36 39-53, Medellin, Antioquia"
19/02/2026 10:33 a.m.,,00h:00m:40s,2.43,8,19/02/2026 10:34:2.m.,Ralenti,,,,00h:00m:40s,"Cl40 35a-45, Medellin, Antioquia"
19/02/2026 10:35 a.m.,,00h:01m:20s,1.64,14,19/02/2026 10:36:2.m.,Ralenti,,,,00h:01m:53s,"Kr36 43-50, Medellin, Antioquia"
19/02/2026 10:38 a.m.,,00h:02m:37s,1.34,16,19/02/2026 10:40:5.m.,Ralenti,,,,00h:00m:09s,"Cl45 24-10, Medellin, Antioquia"
19/02/2026 10:41 a.m.,,00h:00m:27s,0.13,9,19/02/2026 10:41:3.m.,Ralenti,,,,00h:00m:08s,"Cl46 24-37, Medellin, Antioquia"
19/02/2026 10:41 a.m.,,00h:01m:28s,0.11,47,19/02/2026 10:43:0.m.,Ignición Apagada,,,,00h:05m:51s,"Cl46 24-96, Medellin, Antioquia, Colombia"
19/02/2026 10:47 a.m.,,00h:00m:00s,0.00,0,19/02/2026 10:47:5.m.,Denido/Ralenti,,,,00h:25m:27s,"Cl46 24-90, Medellin, Antioquia"
19/02/2026 11:11 a.m.,,00h:00m:00s,0.00,0,19/02/2026 11:11:0.m.,Denido/Ralenti,,,,00h:00m:00s,"Cl46 24-90, Medellin, Antioquia"
19/02/2026 11:11 a.m.,,00h:00m:24s,0.05,6,19/02/2026 11:12:0.m.,Ignición Apagada,,,,00h:01m:36s,"Kr27 45-56, Medellin, Antioquia"
19/02/2026 11:13 a.m.,,00h:00m:00s,0.00,0,19/02/2026 11:13:4.m.,Denido/Ralenti,,,,00h:00m:40s,"Kr27 45-56, Medellin, Antioquia"
19/02/2026 11:14 a.m.,,00h:00m:24s,0.21,14,19/02/2026 11:14:5.m.,Ralenti,,,,00h:00m:16s,"Kr24 45-15, Medellin, Antioquia"
19/02/2026 11:15 a.m.,,00h:03m:19s,11.56,106,19/02/2026 11:18:3.m.,Ralenti,,,,00h:00m:32s,"Kr30 45-46, Medellin, Antioquia"
19/02/2026 11:19 a.m.,,00h:00m:48s,0.19,15,19/02/2026 11:19:5.m.,Ralenti,,,,00h:01m:10s,"Calle 42 # 30-1 a 30-99, Medellín, Antioquia, Colombia"
19/02/2026 11:21 a.m.,,00h:02m:49s,1.06,24,19/02/2026 11:23:4.m.,Ralenti,,,,00h:00m:35s,"Kr32 32b-24, Medellin, Antioquia"
19/02/2026 11:24 a.m.,,00h:13m:16s,7.81,33,19/02/2026 11:37:4.m.,Ralenti,,,,00h:01m:27s,"Kr36 10-18, Medellin, Antioquia"
19/02/2026 11:39 a.m.,,00h:01m:19s,0.37,14,19/02/2026 11:40:2.m.,Ralenti/Ign Apagada,,,,00h:39m:48s,"Calle 7 # 35-2 a 35-100, Medellín, Antioquia, Colombia"
19/02/2026 12:08 p.m.,,00h:00m:00s,0.00,0,19/02/2026 12:08:0.m.,Denido/Ralenti,,,,00h:03m:20s,"Cl7 34-47, Medellin, Antioquia"
19/02/2026 12:11 p.m.,,00h:01m:52s,1.08,22,19/02/2026 12:13:3.m.,Ralenti,,,,00h:00m:41s,"Kr35 4as-70, Medellin, Antioquia"
19/02/2026 12:14 p.m.,,00h:05m:25s,2.35,39,19/02/2026 12:19:4.m.,Ralenti,,,,00h:00m:40s,"Av Las Vegas 17as-63, Medellin, Antioquia"
19/02/2026 12:20 p.m.,,00h:00m:40s,0.89,29,19/02/2026 12:21:0.m.,Ralenti,,,,00h:01m:01s,"Av Las Vegas 25aas-64, Envigado, Antioquia"
19/02/2026 12:22 p.m.,,00h:04m:18s,2.29,31,19/02/2026 12:26:2.m.,Ralenti,,,,00h:00m:40s,"Av Las Vegas 44s-67, Envigado, Antioquia"
19/02/2026 12:27 p.m.,,00h:02m:39s,4.12,45,19/02/2026 12:29:4.m.,Ralenti,,,,00h:01m:14s,"Cl48cs 46-62, Envigado, Antioquia, Colombia"
19/02/2026 12:30 p.m.,,00h:02m:06s,1.51,54,19/02/2026 12:33:0.m.,Ralenti,,,,00h:01m:42s,"Kr44 53s-31, Sabaneta, Antioquia, Colombia"
19/02/2026 12:34 p.m.,,00h:02m:17s,0.13,22,19/02/2026 12:37:0.m.,Ralenti,,,,00h:00m:40s,"Av Las Vegas 66bs-96, Sabaneta, Antioquia"
19/02/2026 12:37 p.m.,,00h:01m:20s,0.90,12,19/02/2026 12:39:0.m.,Ralenti,,,,00h:17m:08s,"Cl69s 45-74, Sabaneta, Antioquia"
19/02/2026 12:56 p.m.,,00h:01m:20s,6.73,69,19/02/2026 12:57:2.m.,Ralenti,,,,00h:01m:28s,"Cl68s 46a-36, Sabaneta, Antioquia"
19/02/2026 12:58 p.m.,,00h:03m:51s,1.93,27,19/02/2026 1:02:4.m.,Ralenti,,,,00h:00m:43s,"Av Autosur-50, La Estrella, Antioquia"
19/02/2026 1:03 p.m.,,00h:13m:23s,8.69,36,19/02/2026 1:16:5.m.,Ralenti,,,,00h:02m:40s,"Cl134s 46-35, Caldas, Antioquia"
19/02/2026 1:19 p.m.,,00h:00m:40s,0.37,58,19/02/2026 1:20:1.m.,Ralenti,,,,00h:39m:12s,"Cl. 135a Sur #47-1 a 47-83, Caldas, Antioquia, Colombia"
19/02/2026 1:59 p.m.,,00h:01m:07s,1.19,9,19/02/2026 2:00:3.m.,Ralenti,,,,00h:00m:53s,"Cl138cs 47a-36, Caldas, Antioquia, Colombia"
19/02/2026 2:01 p.m.,,00h:00m:22s,0.16,7,19/02/2026 2:01:4.m.,Ralenti,,,,00h:23m:59s,"Cra. 47 #138c Sur-2 a 138c Sur-52, Caldas, Antioquia, Colombia"
19/02/2026 2:25 p.m.,,00h:00m:54s,0.45,19,19/02/2026 2:26:4.m.,Ralenti,,,,00h:00m:40s,"Cl. 140 Sur #45c-51, Caldas, Antioquia, Colombia"
19/02/2026 2:27 p.m.,,00h:04m:50s,1.45,15,19/02/2026 2:32:1.m.,Ralenti,,,,00h:00m:21s,"Kr50, Caldas, Antioquia"
19/02/2026 2:32 p.m.,,00h:01m:39s,0.76,21,19/02/2026 2:34:1.m.,Ralenti,,,,00h:01m:09s,"Kr50, Caldas, Antioquia"
19/02/2026 2:35 p.m.,,00h:01m:02s,5.57,15,19/02/2026 2:36:2.m.,Ralenti/Ign Apagada,,,,00h:14m:39s,"Av 25, Caldas, Antioquia, Colombia"
19/02/2026 2:49 p.m.,,00h:00m:00s,0.00,0,19/02/2026 2:49:5.m.,Denido/Ralenti,,,,00h:00m:40s,"Av 25, Caldas, Antioquia, Colombia"
19/02/2026 2:50 p.m.,,00h:23m:16s,15.87,36,19/02/2026 3:13:5.m.,Ralenti,,,,00h:01m:04s,"Cl37s 48-12, Envigado, Antioquia"
19/02/2026 3:14 p.m.,,00h:00m:15s,0.31,9,19/02/2026 3:15:1.m.,Ralenti,,,,00h:00m:28s,"Av Las Vegas 37s-60, Envigado, Antioquia"
19/02/2026 3:15 p.m.,,00h:00m:52s,0.16,6,19/02/2026 3:16:3.m.,Ralenti,,,,00h:00m:20s,"Kr47a 38bs-66, Envigado, Antioquia, Colombia"
19/02/2026 3:16 p.m.,,00h:01m:00s,0.05,16,19/02/2026 3:17:5.m.,Ralenti,,,,00h:00m:40s,"Kr45 38as-75, Envigado, Antioquia, Colombia"
