Created,Message,Status
2026-05-12 10:21:12.718,"[{""Protocol"":""0x2525"",""MessageType"":""SignInMessage"",""ProtocolHeadType"":0,""Imei"":""869487064475709"",""SerialNo"":1,""Firmware"":""V1.0.1.9"",""Model"":0,""ObdBootVersion"":null,""ObdDataVersion"":null,""ObdHareware"":null,""ObdSoftware"":null,""Platform"":null,""Software"":""V0.0.0""}]",0x2525010017000108694870644757090000030502101912
2026-05-12 10:21:12.955,"[{""Protocol"":""0x2525"",""MessageType"":""NetworkInfoMessage"",""ProtocolHeadType"":0,""Imei"":""869487064475709"",""SerialNo"":1,""AccessTechnology"":""CAT-1"",""Band"":""CAT-1 28"",""Date"":""2026-05-12T10:22:42Z"",""Iccid"":""89571017025023248935"",""Imsi"":""732101725324891"",""NetworkOperator"":""LaSeleNosLlama""}]",0x2525110066000108694870644757092605121022421C4C006100530065006C0065004E006F0073004C006C0061006D006100054341542D31084341542D312032380F373332313031373235333234383931143839353731303137303235303233323438393335
2026-05-12 10:21:13.118,"[{""Protocol"":""0x2525"",""MessageType"":""LocationAlarmMessage"",""ProtocolHeadType"":20,""Imei"":""869487064475709"",""SerialNo"":7862,""Mileage"":2661578,""Date"":""2000-01-01T00:00:04Z"",""IopIgnition"":true,""Latitude"":6.25055456161499,""Longitude"":-75.547920227050781,""Altitude"":1665.0,""ExternalPowerVoltage"":14.07,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":17,""Azimuth"":355,""OriginalAlarmCode"":22,""Input1"":1,""Input2"":0,""Input3"":0,""Input4"":0}]",0x25251400591EB60869487064475709003C38402D00000000F100000007000061000000FFFFFFFFFFFFFFFFFFFF168000289CCA000001010000040020D044891897C28B04C8400000016303951407FFFFFF000016FFFFFFFFFF
2026-05-12 10:22:15.953,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064475709"",""SerialNo"":22368,""Mileage"":2661578,""Date"":""2026-05-12T10:23:44Z"",""IopIgnition"":true,""Latitude"":6.25055456161499,""Longitude"":-75.547920227050781,""Altitude"":1665.0,""ExternalPowerVoltage"":14.34,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":11,""Azimuth"":355,""BatteryLevel"":100}]",0x252513005957600869487064475709003C38402D000000644B00000007000061000000FFFFFFFFFFFFFFFFFFFF00D500289CCA002605121023440020D044891897C28B04C8400000016303951434FFFFFF0000150001FFFFFF
2026-05-12 10:23:16.718,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064475709"",""SerialNo"":22369,""Mileage"":2661578,""Date"":""2026-05-12T10:24:45Z"",""IopIgnition"":true,""Latitude"":6.25055456161499,""Longitude"":-75.547920227050781,""Altitude"":1665.0,""ExternalPowerVoltage"":14.3,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":11,""Azimuth"":355,""BatteryLevel"":100}]",0x252513005957610869487064475709003C38402D000000644B00000007000061000000FFFFFFFFFFFFFFFFFFFF00D500289CCA002605121024450020D044891897C28B04C8400000016303941430FFFFFF0000160001FFFFFF
2026-05-12 10:24:16.945,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064475709"",""SerialNo"":22370,""Mileage"":2661578,""Date"":""2026-05-12T10:25:45Z"",""IopIgnition"":true,""Latitude"":6.25055456161499,""Longitude"":-75.547920227050781,""Altitude"":1665.0,""ExternalPowerVoltage"":14.3,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":14,""Azimuth"":355,""BatteryLevel"":100}]",0x252513005957620869487064475709003C38402D000000644E00000007000061000000FFFFFFFFFFFFFFFFFFFF00D500289CCA002605121025450020D044891897C28B04C8400000016303941430FFFFFF0000160001FFFFFF
2026-05-12 10:25:16.748,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064475709"",""SerialNo"":22371,""Mileage"":2661578,""Date"":""2026-05-12T10:26:45Z"",""IopIgnition"":true,""Latitude"":6.25055456161499,""Longitude"":-75.547920227050781,""Altitude"":1665.0,""ExternalPowerVoltage"":14.26,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":355,""BatteryLevel"":100}]",0x252513005957630869487064475709003C38402D000000644F00000007000061000000FFFFFFFFFFFFFFFFFFFF00D500289CCA002605121026450020D044891897C28B04C8400000016303941426FFFFFF0000170000FFFFFF
2026-05-12 10:26:01.084,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064475709"",""SerialNo"":22372,""Mileage"":2661589,""Date"":""2026-05-12T10:27:30Z"",""IopIgnition"":true,""Latitude"":6.250460147857666,""Longitude"":-75.547882080078125,""Altitude"":1662.699951171875,""ExternalPowerVoltage"":14.21,""Rpm"":-999,""Speed"":15.0,""SatelliteNumber"":15,""Azimuth"":254,""BatteryLevel"":100}]",0x252513005957640869487064475709003C38402D000000644F00000007000061000000FFFFFFFFFFFFFFFFFFFF00D500289CD50026051210273066D6CF44841897C2C503C840015000FE03941421FFFFFF0000160001FFFFFF
2026-05-12 10:26:01.304,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064475709"",""SerialNo"":22373,""Mileage"":2661589,""Date"":""2026-05-12T10:27:30Z"",""IopIgnition"":true,""Latitude"":6.250460147857666,""Longitude"":-75.547882080078125,""Altitude"":1662.699951171875,""ExternalPowerVoltage"":14.21,""Rpm"":-999,""Speed"":15.0,""SatelliteNumber"":15,""Azimuth"":254,""BatteryLevel"":100}]",0x252513005957650869487064475709003C38402D00000064CF00000007000061000000FFFFFFFFFFFFFFFFFFFF00D500289CD50026051210273066D6CF44841897C2C503C840015000FE03941421FFFFFF0000160001FFFFFF
2026-05-12 10:26:13.014,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064475709"",""SerialNo"":22374,""Mileage"":2661640,""Date"":""2026-05-12T10:27:42Z"",""IopIgnition"":true,""Latitude"":6.2504968643188477,""Longitude"":-75.5483169555664,""Altitude"":1657.800048828125,""ExternalPowerVoltage"":14.23,""Rpm"":-999,""Speed"":5.0,""SatelliteNumber"":15,""Azimuth"":26,""BatteryLevel"":100}]",0x252513005957660869487064475709003C38402D000000644F00000007000061000000FFFFFFFFFFFFFFFFFFFF00D500289D08002605121027429A39CF44BD1897C21204C8400050001A03941423FFFFFF0000190001FFFFFF
