GroupName,UnitID,UnitName1,MaxSpeed,MilesDriven,TravelTimeSecs,Textbox3,IdleTimeSecs,Textbox6,IdleTimeSecs2,Textbox11,Textbox15,Textbox16,Textbox17,Textbox18,Textbox19,Textbox22,Textbox23
,1BYW,A1 CHN0177 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,19JO,A1 LUL 144,87,"336,35",11H:42M:44S,"11,71",1H:36M:54S,"1,62",13H:19M:38S,"13,33","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1BIL,CHN0177,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1BGJ,IBZ301,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1BY0,IBZ301 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1CTQ,LQK053,68,"36,19",1H:6M:20S,"1,11",0H:44M:13S,"0,74",1H:50M:33S,"1,84","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1C04,LQK053 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1CU6,LQK054,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1BQO,LQK054 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1CM2,LUL144,89,"479,81",11H:26M:21S,"11,44",3H:35M:25S,"3,59",15H:1M:46S,"15,03","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
