GroupName,UnitID,UnitName1,MaxSpeed,MilesDriven,TravelTimeSecs,Textbox3,IdleTimeSecs,Textbox6,IdleTimeSecs2,Textbox11,Textbox20,Textbox21,Textbox24,Textbox25,Textbox26,Textbox27,Textbox28
,1BYW,A1 CHN0177 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,19JO,A1 LUL 144,77,"28,97",0H:44M:39S,"0,74",0H:35M:28S,"0,59",1H:20M:7S,"1,34","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1BIL,CHN0177,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1BGJ,IBZ301,0,"0,00",0H:0M:0S,"0,00",0H:3M:53S,"0,06",0H:3M:53S,"0,06","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1BY0,IBZ301 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1CTQ,LQK053,72,"153,48",4H:38M:44S,"4,65",5H:56M:51S,"5,95",10H:35M:35S,"10,59","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1C04,LQK053 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1CU6,LQK054,72,"70,14",2H:22M:9S,"2,37",3H:55M:20S,"3,92",6H:17M:29S,"6,29","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1BQO,LQK054 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1CM2,LUL144,66,"30,13",0H:44M:3S,"0,73",0H:58M:6S,"0,97",1H:42M:9S,"1,70","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1BW4,LUL144 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1CWQ,LUM169,87,"342,00",7H:39M:15S,"7,65",9H:13M:29S,"9,22",16H:52M:44S,"16,88","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1BN8,LUM169 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1BP0,LUM169 AIR2.,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1CPT,NOY423,68,"134,85",4H:5M:35S,"4,09",4H:22M:45S,"4,38",8H:28M:20S,"8,47","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1BQ8,NOY423 VF,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1CX6,NOY424,80,"147,03",5H:6M:16S,"5,10",7H:18M:9S,"7,30",12H:24M:25S,"12,41","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1A6X,NOY424 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1CTA,NUW693,84,"131,21",3H:21M:57S,"3,37",3H:17M:18S,"3,29",6H:39M:15S,"6,65","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1BO4,NUW693 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1BWK,NUW693 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1COX,QJX175,85,"81,53",2H:8M:53S,"2,15",4H:10M:13S,"4,17",6H:19M:6S,"6,32","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1A3E,QJX175 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1BS0,QJX175 AIR2.,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1CVU,QJY339,72,"60,41",1H:36M:29S,"1,61",5H:28M:2S,"5,47",7H:4M:31S,"7,08","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
,1BR4,QJY339 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.056,67",2D:9H:46M:20S,"57,77",3D:3H:1M:32S,"75,03",5D:12H:47M:52S,"132,80"
