,Unit,PM Distance,TSO Distance,PM Duration,TSO TravelTimeSecs
0,LUL144,27.27,"27,76","1 hr, 11 min, 52 sec",1H:0M:50S
1,NUW693,348.74,"339,06","5 hr, 8 min, 49 sec",7H:47M:15S
2,QJX175,319.63,"297,17","7 hr, 8 min, 52 sec",5H:45M:8S
3,IBZ301,35.2,"36,11","2 hr, 0 min, 50 sec",1H:58M:26S
4,SXZ756,0.0,"0,00","0 min, 0 sec",0H:0M:19S
5,TDL796,252.77,"253,70","3 hr, 16 min, 14 sec",5H:24M:44S
6,LQK053,77.8,"66,50","5 hr, 57 min, 28 sec",3H:32M:14S
7,LQK054,57.7,"56,55","7 hr, 25 min, 18 sec",3H:18M:9S
8,NOY423,102.71,"107,05","6 hr, 28 min, 11 sec",4H:5M:47S
9,NOY424,106.37,"107,23","2 hr, 32 min, 46 sec",4H:38M:35S
10,SMR391,63.12,"63,97","7 hr, 4 min, 12 sec",3H:35M:37S
11,TDL795,74.75,"75,14","3 hr, 2 min, 14 sec",3H:50M:6S
12,WFL149,37.86,"35,89","0 min, 0 sec",1H:20M:58S
13,SMR198,0.0,"41,15","0 min, 0 sec",2H:7M:27S
14,SXY625,37.2,"37,74","2 hr, 35 min, 56 sec",2H:5M:6S
15,TDL797,105.97,"109,85","1 hr, 9 min, 56 sec",5H:12M:51S
