,GroupName,UnitID,UnitName1,MaxSpeed,MilesDriven,TravelTimeSecs,Textbox3,IdleTimeSecs,Textbox6,IdleTimeSecs2,Textbox11,Textbox15,Textbox16,Textbox17,Textbox18,Textbox19,Textbox22,Textbox23,MilesDriven_in_Miles,MilesDriven_dec,ACTION
0,0.0,1BYW,A1 CHN0177 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
1,0.0,19JO,A1 LUL 144,76.0,"27,36",0H:52M:2S,"0,87",0H:36M:26S,"0,61",1H:28M:28S,"1,47","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",17.000710559999998,27.36,Keep
2,0.0,1BIL,CHN0177,79.0,"87,11",3H:7M:49S,"3,13",1H:21M:37S,"1,36",4H:29M:26S,"4,49","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",54.12762781,87.11,Keep
4,0.0,1BY0,IBZ301 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
6,0.0,1C04,LQK053 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
8,0.0,1BQO,LQK054 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
10,0.0,1BW4,LUL144 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
11,0.0,1CWQ,LUM169,0.0,"0,00",0H:0M:0S,"0,00",0H:14M:22S,"0,24",0H:14M:22S,"0,24","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
12,0.0,1BN8,LUM169 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
13,0.0,1BP0,LUM169 AIR2.,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26",0.0,0.00,Keep
