,GroupName,UnitID,UnitName1,MaxSpeed,MilesDriven,TravelTimeSecs,Textbox3,IdleTimeSecs,Textbox6,IdleTimeSecs2,Textbox11,Textbox15,Textbox16,Textbox17,Textbox18,Textbox19,Textbox22,Textbox23,MilesDriven_in_Miles,MilesDriven_dec,ACTION
0,0.0,1BYW,A1 CHN0177 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
1,0.0,19JO,A1 LUL 144,87.0,"336,35",11H:42M:44S,"11,71",1H:36M:54S,"1,62",13H:19M:38S,"13,33","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",208.99813585,336.35,Keep
2,0.0,1BIL,CHN0177,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
4,0.0,1BY0,IBZ301 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
6,0.0,1C04,LQK053 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
8,0.0,1BQO,LQK054 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
10,0.0,1BW4,LUL144 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
11,0.0,1CWQ,LUM169,92.0,"513,04",13H:19M:45S,"13,33",1H:54M:32S,"1,91",15H:14M:17S,"15,24","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",318.78817784,513.04,Keep
12,0.0,1BN8,LUM169 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
13,0.0,1BP0,LUM169 AIR2.,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
15,0.0,1BQ8,NOY423 VF,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
17,0.0,1A6X,NOY424 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
19,0.0,1BO4,NUW693 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
20,0.0,1BWK,NUW693 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
22,0.0,1A3E,QJX175 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
23,0.0,1BS0,QJX175 AIR2.,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
24,0.0,1CVU,QJY339,93.0,"630,99",14H:52M:59S,"14,88",6H:55M:4S,"6,92",21H:48M:3S,"21,80","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",392.07888729,630.99,Keep
25,0.0,1BR4,QJY339 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
26,0.0,1BRK,QJY339 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
28,0.0,1BPH,SMR198 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
30,0.0,1BNO,SMR391 VF,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
32,0.0,1BXS,SXY625 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
34,0.0,1BOK,SXZ756 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
36,0.0,1BX0,TDL795 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
38,0.0,1BXK,TDL796 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
40,0.0,1BXC,TDL797 VF,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
42,0.0,1A8E,WFL149 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28",0.0,0.00,Keep
