UnitID,EventCode,UTC_DateTime,Address,Latitude,Longitude
EQZ355,Stop,1/06/2026 12:00:00 a.m.,"Cra. 14 No 29 - 74 Barrio Belen, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,078927","-77,61282"
EQZ355,Drive,1/06/2026 7:50:15 a.m.,"Km 30 de la vía Pedregal - Tuquerres, , Nariño, Colombia   ","1,07899","-77,61313"
EQZ355,Drive,1/06/2026 7:51:15 a.m.,"Km 30 de la vía Pedregal - Tuquerres, , Nariño, Colombia   ","1,081387","-77,61519"
EQZ355,Drive,1/06/2026 7:52:15 a.m.,"Cra. 14 #22-1 a 22-83, Túquerres, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,083903","-77,6166"
EQZ355,Idle-Stop,1/06/2026 7:53:15 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,084294","-77,61683"
EQZ355,Drive,1/06/2026 7:53:34 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,084304","-77,61707"
EQZ355,Drive,1/06/2026 7:54:15 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,084078","-77,61764"
EQZ355,Drive,1/06/2026 7:54:49 a.m.,"Cra. 11 #21-1 a 21-117, Túquerres, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,083619","-77,61874"
EQZ355,Drive,1/06/2026 7:55:15 a.m.,"Cl. 21 #11-1 a 11-125, Túquerres, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,084419","-77,61905"
EQZ355,Drive,1/06/2026 7:55:16 a.m.,"Cl. 21 #11-2 a 11-126, Túquerres, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,084512","-77,61886"
EQZ355,Idle-Stop,1/06/2026 7:56:15 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,085028","-77,61761"
EQZ355,Drive,1/06/2026 7:59:58 a.m.,"Túquerres-Imués #13-1 a 13-115, Túquerres, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,085058","-77,61758"
EQZ355,Drive,1/06/2026 8:00:15 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,085541","-77,61764"
EQZ355,Drive,1/06/2026 8:01:15 a.m.,"Av 10, Pasto, Narino, COLOMBIA   ","1,088051","-77,61887"
EQZ355,Drive,1/06/2026 8:02:08 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,090208","-77,61963"
EQZ355,Drive,1/06/2026 8:02:15 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,090265","-77,61949"
EQZ355,Drive,1/06/2026 8:02:43 a.m.,"Cra. 16 #12-2 a 12-76, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,090926","-77,61859"
EQZ355,Idle-Stop,1/06/2026 8:03:15 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,091068","-77,61866"
EQZ355,Drive,1/06/2026 8:03:31 a.m.,"Cl. 12 #15-25, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,091313","-77,61894"
EQZ355,Drive,1/06/2026 8:04:15 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,090795","-77,62069"
EQZ355,Drive,1/06/2026 8:05:15 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,089849","-77,62302"
EQZ355,Idle-Stop,1/06/2026 8:06:15 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,089673","-77,62341"
EQZ355,Drive,1/06/2026 8:12:51 a.m.,"Cra. 9 #12-28, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,089548","-77,62353"
EQZ355,Drive,1/06/2026 8:12:57 a.m.,"Cra. 9 #12-28, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,089305","-77,62345"
EQZ355,Drive,1/06/2026 8:13:03 a.m.,"Cra. 9 #12-28, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,089234","-77,6233"
EQZ355,Drive,1/06/2026 8:13:16 a.m.,"Cra. 9 #12-28, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,08905","-77,62308"
EQZ355,Drive,1/06/2026 8:13:27 a.m.,"Cl. 13 #9-67, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,088705","-77,62273"
EQZ355,Drive,1/06/2026 8:14:16 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,089537","-77,62103"
EQZ355,Drive,1/06/2026 8:14:39 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,089789","-77,62032"
EQZ355,Idle-Stop,1/06/2026 8:15:16 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,089188","-77,62009"
EQZ355,Stop,1/06/2026 8:15:32 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,089188","-77,62009"
EQZ355,Drive,1/06/2026 8:24:11 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,086984","-77,61905"
EQZ355,Drive,1/06/2026 8:25:07 a.m.,"Túquerres-Imués #20-1 a 20-103, Túquerres, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,085431","-77,61842"
EQZ355,Drive,1/06/2026 8:25:21 a.m.,"Av 10, Pasto, Narino  Nar ","1,084887","-77,61806"
EQZ355,Drive,1/06/2026 8:25:41 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,084985","-77,61733"
EQZ355,Drive,1/06/2026 8:26:07 a.m.,"South America, Túquerres, Nariño Túquerres  ","1,084282","-77,61691"
EQZ355,Drive,1/06/2026 8:26:59 a.m.,"Cra. 14 #25-2 a 25-114, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,082966","-77,61608"
EQZ355,Drive,1/06/2026 8:27:07 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,083001","-77,61602"
EQZ355,Idle-Stop,1/06/2026 8:28:07 a.m.,"Cl. 25 #14-31, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,083297","-77,61564"
EQZ355,Drive,27/06/2026 10:49:14 a.m.," Km 1 de la vía Tuquerres - Tumaco, , Nariño, Colombia   ","1,079544","-77,63756"
EQZ355,Drive,27/06/2026 10:49:30 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,07972","-77,63509"
EQZ355,Drive,27/06/2026 10:50:14 a.m.,"El Espino-Túquerres, Túquerres, Nariño, Colombia Túquerres Nariño 525528","1,084571","-77,63114"
EQZ355,Drive,27/06/2026 10:50:15 a.m.,"Km 0 de la vía Tuquerres - Tumaco, , Nariño   ","1,084598","-77,63076"
EQZ355,Drive,27/06/2026 10:50:30 a.m.,"Km 0 de la vía Tuquerres - Tumaco, , Nariño   ","1,084221","-77,62904"
EQZ355,Drive,27/06/2026 10:50:36 a.m.,"Km 0 de la vía Tuquerres - Tumaco, , Nariño   ","1,084873","-77,62876"
EQZ355,Drive,27/06/2026 10:50:51 a.m.," Km 0 de la vía Tuquerres - Tumaco, , Nariño, Colombia   ","1,08667","-77,62886"
EQZ355,Drive,27/06/2026 10:51:03 a.m.,"Av 10, Pasto, Narino  Nar ","1,087233","-77,62778"
EQZ355,Drive,27/06/2026 10:51:14 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,086546","-77,62701"
EQZ355,Drive,27/06/2026 10:51:18 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,086529","-77,62635"
EQZ355,Drive,27/06/2026 10:51:33 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,087017","-77,62481"
EQZ355,Drive,27/06/2026 10:51:48 a.m.,"El Espino-Túquerres #8-1 a 8-465, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,08609","-77,624"
EQZ355,Drive,27/06/2026 10:52:03 a.m.,"Av 10, Pasto, Narino, COLOMBIA   ","1,086028","-77,62308"
EQZ355,Drive,27/06/2026 10:52:14 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,086447","-77,62256"
EQZ355,Drive,27/06/2026 10:52:43 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,08732","-77,62074"
EQZ355,Drive,27/06/2026 10:52:55 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,087113","-77,62059"
EQZ355,Drive,27/06/2026 10:53:14 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,08676","-77,62039"
EQZ355,Drive,27/06/2026 10:54:14 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,085025","-77,6194"
EQZ355,Drive,27/06/2026 10:55:04 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,083593","-77,61864"
EQZ355,Drive,27/06/2026 10:55:14 a.m.,"Cl. 22 #11-34, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,083693","-77,61844"
EQZ355,Drive,27/06/2026 10:55:16 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,083793","-77,61829"
EQZ355,Drive,27/06/2026 10:55:40 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,083773","-77,61814"
EQZ355,Drive,27/06/2026 10:55:49 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,083516","-77,61813"
EQZ355,Idle-Stop,27/06/2026 10:56:14 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,083445","-77,6181"
EQZ355,Drive,27/06/2026 10:58:34 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,083426","-77,6181"
EQZ355,Drive,27/06/2026 10:58:49 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,083188","-77,61785"
EQZ355,Drive,27/06/2026 10:59:01 a.m.,"Cra. 13b #23-2 a 23-76, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,08306","-77,61752"
EQZ355,Drive,27/06/2026 10:59:14 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,082806","-77,61732"
EQZ355,Drive,5/06/2026 10:15:47 a.m.,"Cra. 14 #19-1 a 19-119, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,08644","-77,61813"
EQZ355,Drive,5/06/2026 10:16:47 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,088991","-77,61925"
EQZ355,Drive,5/06/2026 10:17:00 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,089496","-77,61953"
EQZ355,Drive,5/06/2026 10:17:05 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,089381","-77,61977"
EQZ355,Idle-Stop,5/06/2026 10:17:47 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,088826","-77,62097"
EQZ355,Drive,5/06/2026 10:18:47 a.m.,"South America, Túquerres, Nariño Túquerres  ","1,087968","-77,62382"
EQZ355,Drive,5/06/2026 10:19:30 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,089167","-77,62569"
EQZ355,Drive,5/06/2026 10:19:42 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,089558","-77,62575"
EQZ355,Drive,5/06/2026 10:19:47 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,089609","-77,62565"
EQZ355,Drive,5/06/2026 10:20:03 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,089965","-77,6253"
EQZ355,Drive,5/06/2026 10:20:14 a.m.,"Cra. 9 #11-2, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,090123","-77,62541"
EQZ355,Drive,5/06/2026 10:20:47 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,090583","-77,62579"
EQZ355,Idle-Stop,5/06/2026 10:21:47 a.m.,"Cra. 9 #10-22, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,09123","-77,6264"
EQZ355,Drive,5/06/2026 10:41:25 a.m.,"Cra. 9 #10 a 226, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,091492","-77,62666"
EQZ355,Drive,5/06/2026 10:41:33 a.m.,"Mz B &, Cra. 9, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,091728","-77,62647"
EQZ355,Drive,5/06/2026 10:41:48 a.m.,"Cra. 9 #1029, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,091805","-77,62623"
EQZ355,Drive,5/06/2026 10:42:26 a.m.,"Cra. 9 #10-27, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,090872","-77,62444"
EQZ355,Drive,5/06/2026 10:43:26 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,091044","-77,62148"
EQZ355,Drive,5/06/2026 10:44:05 a.m.,"Cl. 11 #14-48, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,09143","-77,61949"
EQZ355,Drive,5/06/2026 10:44:11 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,091245","-77,61945"
EQZ355,Drive,5/06/2026 10:44:17 a.m.,"Cl. 12 #15-25, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,091235","-77,61929"
EQZ355,Drive,5/06/2026 10:44:26 a.m.,"Cl. 12 #15-25, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,091325","-77,61897"
EQZ355,Drive,5/06/2026 10:44:32 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,09122","-77,61873"
EQZ355,Stop,5/06/2026 10:44:43 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,091061","-77,61863"
EQZ355,Drive,5/06/2026 10:59:29 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,090018","-77,61813"
EQZ355,Idle-Stop,5/06/2026 11:00:27 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,089357","-77,61781"
EQZ355,Drive,5/06/2026 11:01:27 a.m.,"Cra. 16 #1170, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,08808","-77,61721"
EQZ355,Drive,5/06/2026 11:01:35 a.m.,"Cl. 19 #17-73, Túquerres, Nariño, Colombia Túquerres Nariño 525520","1,087657","-77,6172"
EQZ355,Drive,5/06/2026 11:01:59 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,087437","-77,61745"
EQZ355,Drive,5/06/2026 11:02:05 a.m.,"South America, Túquerres, Nariño Túquerres  ","1,087336","-77,61721"
EQZ355,Drive,5/06/2026 11:02:20 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,087015","-77,61702"
EQZ355,Drive,5/06/2026 11:02:27 a.m.,"Av 10, Pasto, Narino, COLOMBIA   ","1,086891","-77,61709"
EQZ355,Drive,5/06/2026 11:02:32 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,086485","-77,61703"
EQZ355,Drive,5/06/2026 11:02:56 a.m.,"Av 10, Pasto, Narino  Nar ","1,085697","-77,61668"
EQZ355,Drive,5/06/2026 11:03:17 a.m.,"Av 10, Pasto, Narino, Colombia   ","1,085134","-77,61735"
