Created;Message;Status
2026-02-01 00:28:41.393;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675582"",""SerialNo"":50944,""Mileage"":12535482,""Date"":""2026-02-01T00:29:16Z"",""IopIgnition"":false,""Latitude"":1.8670226335525513,""Longitude"":-76.044204711914063,""Altitude"":1284.0,""ExternalPowerVoltage"":12.56,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":284,""BatteryLevel"":93}]";0x2525130059C7000869487061675582003C0E102D000000525000000007000020000000FFFFFFFFFFFFFFFFFFFF00D500BF46BA932602010029160080A044A21698C299FAEE3F0000011C03881256FFFFFF0000200000FFFFFF
2026-02-01 01:28:41.209;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675582"",""SerialNo"":50945,""Mileage"":12535482,""Date"":""2026-02-01T01:29:16Z"",""IopIgnition"":false,""Latitude"":1.8670226335525513,""Longitude"":-76.044204711914063,""Altitude"":1284.0,""ExternalPowerVoltage"":12.56,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":14,""Azimuth"":284,""BatteryLevel"":92}]";0x2525130059C7010869487061675582003C0E102D000000524E00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500BF46BA922602010129160080A044A21698C299FAEE3F0000011C03871256FFFFFF00001C0000FFFFFF
2026-02-01 02:29:04.343;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675582"",""SerialNo"":50946,""Mileage"":12535482,""Date"":""2026-02-01T02:29:15Z"",""IopIgnition"":false,""Latitude"":1.8670226335525513,""Longitude"":-76.044204711914063,""Altitude"":1284.0,""ExternalPowerVoltage"":12.56,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":284,""BatteryLevel"":90}]";0x2525130059C7020869487061675582003C0E102D0000004F4F00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500BF46BA902602010229150080A044A21698C299FAEE3F0000011C03871256FFFFFF00001A0000FFFFFF
2026-02-01 03:28:41.871;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675582"",""SerialNo"":50947,""Mileage"":12535482,""Date"":""2026-02-01T03:29:16Z"",""IopIgnition"":false,""Latitude"":1.8670226335525513,""Longitude"":-76.044204711914063,""Altitude"":1284.0,""ExternalPowerVoltage"":12.55,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":14,""Azimuth"":284,""BatteryLevel"":90}]";0x2525130059C7030869487061675582003C0E102D0000004B4E00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500BF46BA902602010329160080A044A21698C299FAEE3F0000011C03871255FFFFFF0000180000FFFFFF
2026-02-01 04:28:41.713;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675582"",""SerialNo"":50948,""Mileage"":12535482,""Date"":""2026-02-01T04:29:16Z"",""IopIgnition"":false,""Latitude"":1.8670226335525513,""Longitude"":-76.044204711914063,""Altitude"":1284.0,""ExternalPowerVoltage"":12.54,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":14,""Azimuth"":284,""BatteryLevel"":90}]";0x2525130059C7040869487061675582003C0E102D000000524E00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500BF46BA902602010429160080A044A21698C299FAEE3F0000011C03871254FFFFFF0000170000FFFFFF
2026-02-01 05:29:05.000;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675582"",""SerialNo"":50949,""Mileage"":12535482,""Date"":""2026-02-01T05:29:16Z"",""IopIgnition"":false,""Latitude"":1.8670226335525513,""Longitude"":-76.044204711914063,""Altitude"":1284.0,""ExternalPowerVoltage"":12.54,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":284,""BatteryLevel"":90}]";0x2525130059C7050869487061675582003C0E102D0000004B4F00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500BF46BA902602010529160080A044A21698C299FAEE3F0000011C03871254FFFFFF0000160000FFFFFF
2026-02-01 06:29:04.805;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675582"",""SerialNo"":50950,""Mileage"":12535482,""Date"":""2026-02-01T06:29:16Z"",""IopIgnition"":false,""Latitude"":1.8670226335525513,""Longitude"":-76.044204711914063,""Altitude"":1284.0,""ExternalPowerVoltage"":12.54,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":17,""Azimuth"":284,""BatteryLevel"":89}]";0x2525130059C7060869487061675582003C0E102D000000445100000007000020000000FFFFFFFFFFFFFFFFFFFF00D500BF46BA892602010629160080A044A21698C299FAEE3F0000011C03871254FFFFFF0000160000FFFFFF
2026-02-01 07:28:41.273;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675582"",""SerialNo"":50951,""Mileage"":12535482,""Date"":""2026-02-01T07:29:16Z"",""IopIgnition"":false,""Latitude"":1.8670226335525513,""Longitude"":-76.044204711914063,""Altitude"":1284.0,""ExternalPowerVoltage"":12.54,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":17,""Azimuth"":284,""BatteryLevel"":89}]";0x2525130059C7070869487061675582003C0E102D000000485100000007000020000000FFFFFFFFFFFFFFFFFFFF00D500BF46BA892602010729160080A044A21698C299FAEE3F0000011C03871254FFFFFF0000160000FFFFFF
2026-02-01 08:28:41.081;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675582"",""SerialNo"":50952,""Mileage"":12535482,""Date"":""2026-02-01T08:29:16Z"",""IopIgnition"":false,""Latitude"":1.8670226335525513,""Longitude"":-76.044204711914063,""Altitude"":1284.0,""ExternalPowerVoltage"":12.54,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":284,""BatteryLevel"":89}]";0x2525130059C7080869487061675582003C0E102D0000004B4F00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500BF46BA892602010829160080A044A21698C299FAEE3F0000011C03871254FFFFFF0000150000FFFFFF
2026-02-01 09:29:04.488;"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675582"",""SerialNo"":50953,""Mileage"":12535482,""Date"":""2026-02-01T09:29:15Z"",""IopIgnition"":false,""Latitude"":1.8670226335525513,""Longitude"":-76.044204711914063,""Altitude"":1284.0,""ExternalPowerVoltage"":12.54,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":284,""BatteryLevel"":89}]";0x2525130059C7090869487061675582003C0E102D000000444F00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500BF46BA892602010929150080A044A21698C299FAEE3F0000011C03871254FFFFFF0000150000FFFFFF
