Created,Message,Status
2026-01-02 00:53:53.023,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675582"",""SerialNo"":43950,""Mileage"":11124654,""Date"":""2026-01-02T00:54:00Z"",""IopIgnition"":false,""Latitude"":1.8669836521148682,""Longitude"":-76.044143676757813,""Altitude"":1270.5999755859375,""ExternalPowerVoltage"":12.54,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":327,""BatteryLevel"":93}]",0x2525130059ABAE0869487061675582003C0E102D000000485000000007000020000000FFFFFFFFFFFFFFFFFFFF00D500A9BFAE9326010200540033D39E449A1698C252F9EE3F0000014703881254FFFFFF00001E0000FFFFFF
2026-01-02 01:53:52.925,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675582"",""SerialNo"":43951,""Mileage"":11124654,""Date"":""2026-01-02T01:54:00Z"",""IopIgnition"":false,""Latitude"":1.8669836521148682,""Longitude"":-76.044143676757813,""Altitude"":1270.5999755859375,""ExternalPowerVoltage"":12.54,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":17,""Azimuth"":327,""BatteryLevel"":91}]",0x2525130059ABAF0869487061675582003C0E102D0000004B5100000007000020000000FFFFFFFFFFFFFFFFFFFF00D500A9BFAE9126010201540033D39E449A1698C252F9EE3F0000014703871254FFFFFF00001B0000FFFFFF
2026-01-02 02:53:59.339,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675582"",""SerialNo"":43952,""Mileage"":11124654,""Date"":""2026-01-02T02:53:59Z"",""IopIgnition"":false,""Latitude"":1.8669836521148682,""Longitude"":-76.044143676757813,""Altitude"":1270.5999755859375,""ExternalPowerVoltage"":12.54,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":14,""Azimuth"":327,""BatteryLevel"":91}]",0x2525130059ABB00869487061675582003C0E102D0000004B4E00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500A9BFAE9126010202535933D39E449A1698C252F9EE3F0000014703871254FFFFFF0000190000FFFFFF
2026-01-02 03:54:00.265,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675582"",""SerialNo"":43953,""Mileage"":11124654,""Date"":""2026-01-02T03:54:00Z"",""IopIgnition"":false,""Latitude"":1.8669836521148682,""Longitude"":-76.044143676757813,""Altitude"":1270.5999755859375,""ExternalPowerVoltage"":12.54,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":327,""BatteryLevel"":90}]",0x2525130059ABB10869487061675582003C0E102D0000004B4F00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500A9BFAE9026010203540033D39E449A1698C252F9EE3F0000014703871254FFFFFF0000170000FFFFFF
2026-01-02 04:54:00.103,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675582"",""SerialNo"":43954,""Mileage"":11124654,""Date"":""2026-01-02T04:54:00Z"",""IopIgnition"":false,""Latitude"":1.8669836521148682,""Longitude"":-76.044143676757813,""Altitude"":1270.5999755859375,""ExternalPowerVoltage"":12.53,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":327,""BatteryLevel"":89}]",0x2525130059ABB20869487061675582003C0E102D000000444F00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500A9BFAE8926010204540033D39E449A1698C252F9EE3F0000014703871253FFFFFF0000160000FFFFFF
2026-01-02 05:53:53.299,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675582"",""SerialNo"":43955,""Mileage"":11124654,""Date"":""2026-01-02T05:54:00Z"",""IopIgnition"":false,""Latitude"":1.8669836521148682,""Longitude"":-76.044143676757813,""Altitude"":1270.5999755859375,""ExternalPowerVoltage"":12.53,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":327,""BatteryLevel"":89}]",0x2525130059ABB30869487061675582003C0E102D000000485000000007000020000000FFFFFFFFFFFFFFFFFFFF00D500A9BFAE8926010205540033D39E449A1698C252F9EE3F0000014703871253FFFFFF0000150000FFFFFF
2026-01-02 06:53:53.067,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675582"",""SerialNo"":43956,""Mileage"":11124654,""Date"":""2026-01-02T06:54:00Z"",""IopIgnition"":false,""Latitude"":1.8669836521148682,""Longitude"":-76.044143676757813,""Altitude"":1270.5999755859375,""ExternalPowerVoltage"":12.52,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":327,""BatteryLevel"":89}]",0x2525130059ABB40869487061675582003C0E102D000000444F00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500A9BFAE8926010206540033D39E449A1698C252F9EE3F0000014703871252FFFFFF0000140000FFFFFF
2026-01-02 07:53:52.962,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675582"",""SerialNo"":43957,""Mileage"":11124654,""Date"":""2026-01-02T07:54:00Z"",""IopIgnition"":false,""Latitude"":1.8669836521148682,""Longitude"":-76.044143676757813,""Altitude"":1270.5999755859375,""ExternalPowerVoltage"":12.51,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":17,""Azimuth"":327,""BatteryLevel"":89}]",0x2525130059ABB50869487061675582003C0E102D000000415100000007000020000000FFFFFFFFFFFFFFFFFFFF00D500A9BFAE8926010207540033D39E449A1698C252F9EE3F0000014703871251FFFFFF0000130000FFFFFF
2026-01-02 08:53:59.650,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675582"",""SerialNo"":43958,""Mileage"":11124654,""Date"":""2026-01-02T08:54:00Z"",""IopIgnition"":false,""Latitude"":1.8669836521148682,""Longitude"":-76.044143676757813,""Altitude"":1270.5999755859375,""ExternalPowerVoltage"":12.5,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":327,""BatteryLevel"":89}]",0x2525130059ABB60869487061675582003C0E102D000000485000000007000020000000FFFFFFFFFFFFFFFFFFFF00D500A9BFAE8926010208540033D39E449A1698C252F9EE3F0000014703871250FFFFFF0000130000FFFFFF
2026-01-02 09:53:59.518,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487061675582"",""SerialNo"":43959,""Mileage"":11124654,""Date"":""2026-01-02T09:54:00Z"",""IopIgnition"":false,""Latitude"":1.8669836521148682,""Longitude"":-76.044143676757813,""Altitude"":1270.5999755859375,""ExternalPowerVoltage"":12.5,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":14,""Azimuth"":327,""BatteryLevel"":89}]",0x2525130059ABB70869487061675582003C0E102D000000414E00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500A9BFAE8926010209540033D39E449A1698C252F9EE3F0000014703871250FFFFFF0000120000FFFFFF
