"Unit","Time/Date (COT)","Address","Distance (mi)","Total Distance (mi)","Odometer","Driver"
"CGQ270","02/07/2026 8:46 AM","10373-101 45HLC, Pitalito, Huila, 417037","0.54","0.54","8031.63",
"CGQ270","02/07/2026 8:47 AM","2158-2862 45HLC, Pitalito, Huila, 417037","0.28","0.82","8031.91",
"CGQ270","02/07/2026 8:48 AM","231-21 45HLC, Pitalito, Huila, 417037","0.03","0.85","8031.94",
"CGQ270","02/07/2026 8:48 AM","Frente Glorieta del Terminal, Pitalito, Huila, 417030","0.02","0.87","8031.96",
"CGQ270","02/07/2026 8:48 AM","45, Pitalito, Huila, 417030","0.06","0.93","8032.02",
"CGQ270","02/07/2026 8:49 AM","45, Pitalito, Huila, 417030","0.34","1.27","8032.36",
"CGQ270","02/07/2026 8:50 AM","5 45, Pitalito, Huila, 417038","0.11","1.38","8032.47",
"CGQ270","02/07/2026 8:50 AM","5 45, Pitalito, Huila, 417038","0.75","2.13","8033.22",
"CGQ270","02/07/2026 8:52 AM","45, Pitalito, Huila, 417037","0.56","2.69","8033.78",
"CGQ270","02/07/2026 8:53 AM","45, Pitalito, Huila, 417037","0.32","3.01","8034.10",
"CGQ270","02/07/2026 8:54 AM","45, Pitalito, Huila, 417038","0.35","3.35","8034.44",
"CGQ270","02/07/2026 8:54 AM","45, Pitalito, Huila, 417038","0.42","3.77","8034.86",
"CGQ270","02/07/2026 8:55 AM","45, Pitalito, Huila, 417038","0.53","4.30","8035.39",
"CGQ270","02/07/2026 8:56 AM","45, Pitalito, Huila, 417038","0.49","4.79","8035.88",
"CGQ270","02/07/2026 8:57 AM","45, Timana, Huila, 417018","0.55","5.34","8036.43",
"CGQ270","02/07/2026 8:58 AM","45, Timana, Huila, 417018","0.23","5.58","8036.67",
"CGQ270","02/07/2026 8:59 AM","45, Timana, Huila, 417018","0.59","6.16","8037.26",
"CGQ270","02/07/2026 9:01 AM","45, Timana, Huila, 417018","0.32","6.48","8037.57",
"CGQ270","02/07/2026 9:02 AM","45, Timana, Huila, 417018","0.34","6.82","8037.91",
"CGQ270","02/07/2026 9:03 AM","45, Timana, Huila, 417018","0.28","7.10","8038.19",
"CGQ270","02/07/2026 9:03 AM","45, Timana, Huila, 417018","0.11","7.21","8038.30",
"CGQ270","02/07/2026 9:04 AM","45, Timana, Huila, 417018","0.84","8.05","8039.14",
"CGQ270","02/07/2026 9:05 AM","45, Timana, Huila, 417018","0.63","8.68","8039.77",
