Created,Message,Status
2026-05-01 00:03:59.666,"+RESP:GTPDP,500700,868574042848049,,20260501000256,93B3$",0x2B524553503A47545044502C3530303730302C3836383537343034323834383034392C2C32303236303530313030303235362C3933423324
2026-05-01 00:33:03.871,"+RESP:GTFRI,500700,868574042848049,,,10,1,1,0.0,239,2736.8,-77.263238,1.221343,20260501003052,0732,0101,2EEA,936A015,04,12,62752.4,02772:05:08,,,100,110000,,,,20260501003303,93B4$",0x2B524553503A47544652492C3530303730302C3836383537343034323834383034392C2C2C31302C312C312C302E302C3233392C323733362E382C2D37372E3236333233382C312E3232313334332C32303236303530313030333035322C303733322C303130312C324545412C393336413031352C30342C31322C36323735322E342C30323737323A30353A30382C2C2C3130302C3131303030302C2C2C2C32303236303530313030333330332C3933423424
2026-05-01 01:03:35.115,"+RESP:GTPDP,500700,868574042848049,,20260501010306,93B5$",0x2B524553503A47545044502C3530303730302C3836383537343034323834383034392C2C32303236303530313031303330362C3933423524
2026-05-01 01:33:14.949,"+RESP:GTFRI,500700,868574042848049,,,10,1,1,0.0,239,2736.8,-77.263238,1.221343,20260501013138,0732,0101,2EEA,936A015,04,6,62752.4,02772:05:08,,,100,110000,,,,20260501013313,93B6$",0x2B524553503A47544652492C3530303730302C3836383537343034323834383034392C2C2C31302C312C312C302E302C3233392C323733362E382C2D37372E3236333233382C312E3232313334332C32303236303530313031333133382C303733322C303130312C324545412C393336413031352C30342C362C36323735322E342C30323737323A30353A30382C2C2C3130302C3131303030302C2C2C2C32303236303530313031333331332C3933423624
2026-05-01 02:03:22.897,"+RESP:GTPDP,500700,868574042848049,,20260501020318,93B7$",0x2B524553503A47545044502C3530303730302C3836383537343034323834383034392C2C32303236303530313032303331382C3933423724
2026-05-01 02:33:21.807,"+RESP:GTFRI,500700,868574042848049,,,10,1,1,0.0,239,2736.8,-77.263238,1.221343,20260501023058,0732,0101,2EEA,936A015,04,12,62752.4,02772:05:08,,,100,110000,,,,20260501023322,93B8$",0x2B524553503A47544652492C3530303730302C3836383537343034323834383034392C2C2C31302C312C312C302E302C3233392C323733362E382C2D37372E3236333233382C312E3232313334332C32303236303530313032333035382C303733322C303130312C324545412C393336413031352C30342C31322C36323735322E342C30323737323A30353A30382C2C2C3130302C3131303030302C2C2C2C32303236303530313032333332322C3933423824
2026-05-01 03:03:03.605,"+RESP:GTPDP,500700,868574042848049,,20260501030326,93B9$",0x2B524553503A47545044502C3530303730302C3836383537343034323834383034392C2C32303236303530313033303332362C3933423924
2026-05-01 03:33:31.429,"+RESP:GTFRI,500700,868574042848049,,,10,1,1,0.0,239,2736.8,-77.263238,1.221343,20260501033059,0732,0101,2EEA,936A015,04,12,62752.4,02772:05:08,,,100,110000,,,,20260501033332,93BA$",0x2B524553503A47544652492C3530303730302C3836383537343034323834383034392C2C2C31302C312C312C302E302C3233392C323733362E382C2D37372E3236333233382C312E3232313334332C32303236303530313033333035392C303733322C303130312C324545412C393336413031352C30342C31322C36323735322E342C30323737323A30353A30382C2C2C3130302C3131303030302C2C2C2C32303236303530313033333333322C3933424124
2026-05-01 04:04:19.426,"+RESP:GTPDP,500700,868574042848049,,20260501040335,93BB$",0x2B524553503A47545044502C3530303730302C3836383537343034323834383034392C2C32303236303530313034303333352C3933424224
2026-05-01 04:33:42.888,"+RESP:GTFRI,500700,868574042848049,,,10,1,1,0.0,239,2736.8,-77.263238,1.221343,20260501043116,0732,0101,2EEA,936A015,04,12,62752.4,02772:05:08,,,100,110000,,,,20260501043342,93BC$",0x2B524553503A47544652492C3530303730302C3836383537343034323834383034392C2C2C31302C312C312C302E302C3233392C323733362E382C2D37372E3236333233382C312E3232313334332C32303236303530313034333131362C303733322C303130312C324545412C393336413031352C30342C31322C36323735322E342C30323737323A30353A30382C2C2C3130302C3131303030302C2C2C2C32303236303530313034333334322C3933424324
