Created,Message,Status
2026-01-28 00:00:35.093,"+RESP:GTIGN,500700,868574042900006,,970,0,0.0,34,2620.2,-77.267990,1.222610,20260127234428,0732,0101,2EEA,9369D4F,06,220100,12,02806:22:27,52182.1,20260128000035,29F6$",0x2B524553503A475449474E2C3530303730302C3836383537343034323930303030362C2C3937302C302C302E302C33342C323632302E322C2D37372E3236373939302C312E3232323631302C32303236303132373233343432382C303733322C303130312C324545412C393336394434462C30362C3232303130302C31322C30323830363A32323A32372C35323138322E312C32303236303132383030303033352C3239463624
2026-01-28 00:00:35.717,"+RESP:GTSTT,500700,868574042900006,,22,0,0.0,34,2620.2,-77.267990,1.222610,20260127234428,0732,0101,2EEA,9369D4F,06,220100,12,20260128000035,29F7$",0x2B524553503A47545354542C3530303730302C3836383537343034323930303030362C2C32322C302C302E302C33342C323632302E322C2D37372E3236373939302C312E3232323631302C32303236303132373233343432382C303733322C303130312C324545412C393336394434462C30362C3232303130302C31322C32303236303132383030303033352C3239463724
2026-01-28 00:00:41.942,"+RESP:GTIGL,500700,868574042900006,,,01,1,1,0.0,34,2637.9,-77.267956,1.222525,20260128000042,0732,0101,2EEA,9369D4F,04,12,52182.1,20260128000042,29F8$",0x2B524553503A475449474C2C3530303730302C3836383537343034323930303030362C2C2C30312C312C312C302E302C33342C323633372E392C2D37372E3236373935362C312E3232323532352C32303236303132383030303034322C303733322C303130312C324545412C393336394434462C30342C31322C35323138322E312C32303236303132383030303034322C3239463824
2026-01-28 00:00:42.606,"+RESP:GTFRI,500700,868574042900006,,,10,1,1,0.0,34,2637.9,-77.267956,1.222525,20260128000042,0732,0101,2EEA,9369D4F,04,12,52182.1,02806:22:32,,,100,220100,,,,20260128000042,29F9$",0x2B524553503A47544652492C3530303730302C3836383537343034323930303030362C2C2C31302C312C312C302E302C33342C323633372E392C2D37372E3236373935362C312E3232323532352C32303236303132383030303034322C303733322C303130312C324545412C393336394434462C30342C31322C35323138322E312C30323830363A32323A33322C2C2C3130302C3232303130302C2C2C2C32303236303132383030303034322C3239463924
2026-01-28 00:01:05.946,"+RESP:GTFRI,500700,868574042900006,,,11,1,1,17.2,293,2621.9,-77.268481,1.222330,20260128000106,0732,0101,2EEA,9369D4F,04,12,52182.2,02806:22:57,,,100,220100,,,,20260128000106,29FA$",0x2B524553503A47544652492C3530303730302C3836383537343034323930303030362C2C2C31312C312C312C31372E322C3239332C323632312E392C2D37372E3236383438312C312E3232323333302C32303236303132383030303130362C303733322C303130312C324545412C393336394434462C30342C31322C35323138322E322C30323830363A32323A35372C2C2C3130302C3232303130302C2C2C2C32303236303132383030303130362C3239464124
2026-01-28 00:01:39.176,"+RESP:GTFRI,500700,868574042900006,,,10,1,1,0.0,317,2616.6,-77.268791,1.222665,20260128000136,0732,0101,2EEA,9369D4F,04,12,52182.2,02806:23:27,,,100,220100,,,,20260128000139,29FB$",0x2B524553503A47544652492C3530303730302C3836383537343034323930303030362C2C2C31302C312C312C302E302C3331372C323631362E362C2D37372E3236383739312C312E3232323636352C32303236303132383030303133362C303733322C303130312C324545412C393336394434462C30342C31322C35323138322E322C30323830363A32333A32372C2C2C3130302C3232303130302C2C2C2C32303236303132383030303133392C3239464224
2026-01-28 00:02:19.180,"+RESP:GTSTT,500700,868574042900006,,21,0,0.0,317,2616.6,-77.268791,1.222665,20260128000218,0732,0101,2EEA,9369D4F,06,210100,12,20260128000220,29FC$",0x2B524553503A47545354542C3530303730302C3836383537343034323930303030362C2C32312C302C302E302C3331372C323631362E362C2D37372E3236383739312C312E3232323636352C32303236303132383030303231382C303733322C303130312C324545412C393336394434462C30362C3231303130302C31322C32303236303132383030303232302C3239464324
2026-01-28 00:02:39.127,"+RESP:GTFRI,500700,868574042900006,,,10,1,1,0.0,317,2616.6,-77.268791,1.222665,20260128000236,0732,0101,2EEA,9369D4F,04,12,52182.2,02806:24:27,,,100,210100,,,,20260128000239,29FD$",0x2B524553503A47544652492C3530303730302C3836383537343034323930303030362C2C2C31302C312C312C302E302C3331372C323631362E362C2D37372E3236383739312C312E3232323636352C32303236303132383030303233362C303733322C303130312C324545412C393336394434462C30342C31322C35323138322E322C30323830363A32343A32372C2C2C3130302C3231303130302C2C2C2C32303236303132383030303233392C3239464424
2026-01-28 00:03:39.543,"+RESP:GTFRI,500700,868574042900006,,,10,1,1,0.0,317,2616.6,-77.268791,1.222665,20260128000336,0732,0101,2EEA,9369D4F,04,12,52182.2,02806:25:27,,,100,210100,,,,20260128000339,29FE$",0x2B524553503A47544652492C3530303730302C3836383537343034323930303030362C2C2C31302C312C312C302E302C3331372C323631362E362C2D37372E3236383739312C312E3232323636352C32303236303132383030303333362C303733322C303130312C324545412C393336394434462C30342C31322C35323138322E322C30323830363A32353A32372C2C2C3130302C3231303130302C2C2C2C32303236303132383030303333392C3239464524
2026-01-28 00:04:39.173,"+RESP:GTFRI,500700,868574042900006,,,10,1,1,0.0,317,2616.6,-77.268791,1.222665,20260128000436,0732,0101,2EEA,9369D4F,04,12,52182.2,02806:26:27,,,100,210100,,,,20260128000439,29FF$",0x2B524553503A47544652492C3530303730302C3836383537343034323930303030362C2C2C31302C312C312C302E302C3331372C323631362E362C2D37372E3236383739312C312E3232323636352C32303236303132383030303433362C303733322C303130312C324545412C393336394434462C30342C31322C35323138322E322C30323830363A32363A32372C2C2C3130302C3231303130302C2C2C2C32303236303132383030303433392C3239464624
