"Unit","Time/Date (COT)","Address","Distance (mi)","Total Distance (mi)","Odometer","Driver"
"EQZ329","01/28/2026 7:06 AM","Cra. 1 Este, Pasto, Nariño, 520010","0.12","0.12","32430.12",
"EQZ329","01/28/2026 7:07 AM","Cra. 3a, Pasto, Nariño, 520010","0.06","0.19","32430.18",
"EQZ329","01/28/2026 7:07 AM","Dg. 11 B, Pasto, Nariño, 520010","0.06","0.25","32430.24",
"EQZ329","01/28/2026 7:07 AM","3152 Dg. 11 B, Pasto, Nariño, 520010","0.06","0.31","32430.31",
"EQZ329","01/28/2026 7:07 AM","12 Cra. 3ª C, Pasto, Nariño, 520010","0.06","0.37","32430.37",
"EQZ329","01/28/2026 7:07 AM","379-31 Cl. 12c, Pasto, Nariño, 520010","0.37","0.75","32430.74",
"EQZ329","01/28/2026 7:10 AM","12b2-12b92 Cra. 8, Pasto, Nariño, 520010","0.06","0.81","32430.80",
"EQZ329","01/28/2026 7:10 AM","92-920 Cl. 12b, Pasto, Nariño, 520003","0.25","1.06","32431.05",
"EQZ329","01/28/2026 7:11 AM","10, Pasto, Nariño, 520003","0.31","1.37","32431.36",
"EQZ329","01/28/2026 7:12 AM","16b2-16b62 25, Pasto, Nariño, 520003","0.06","1.43","32431.43",
"EQZ329","01/28/2026 7:13 AM","1841-183 25, Pasto, Nariño, 520003","0.50","1.93","32431.92",
"EQZ329","01/28/2026 7:16 AM","25, Pasto, Nariño, 520003","0.31","2.24","32432.23",
"EQZ329","01/28/2026 7:18 AM","Av. Panamericana, Pasto, Nariño, 520002","0.06","2.30","32432.30",
"EQZ329","01/28/2026 7:19 AM","3382-33136 25, Pasto, Nariño, 520002","0.06","2.36","32432.36",
"EQZ329","01/28/2026 7:19 AM","1b2-1b40 25, Pasto, Nariño, 520002","0.43","2.80","32432.79",
"EQZ329","01/28/2026 7:21 AM","11138-11280 25, Pasto, Nariño, 520002","0.12","2.92","32432.92",
"EQZ329","01/28/2026 7:22 AM","14146-14162 25, Pasto, Nariño, 520002","0.37","3.29","32433.29",
"EQZ329","01/28/2026 7:23 AM","17b2-17b14 25, Pasto, Nariño, 520002","0.50","3.79","32433.79",
"EQZ329","01/28/2026 7:24 AM","4245-421 25, Pasto, Nariño, 520002","0.19","3.98","32433.97",
"EQZ329","01/28/2026 7:24 AM","25, Pasto, Nariño, 520002","0.06","4.04","32434.04",
"EQZ329","01/28/2026 7:25 AM","25, Pasto, Nariño, 520004","0.25","4.29","32434.28",
"EQZ329","01/28/2026 7:26 AM","25, Pasto, Nariño, 520004","0.06","4.35","32434.35",
"EQZ329","01/28/2026 7:26 AM","25, Pasto, Nariño, 520004","0.06","4.41","32434.41",
"EQZ329","01/28/2026 7:26 AM","25, Pasto, Nariño, 520004","0.25","4.66","32434.66",
"EQZ329","01/28/2026 7:26 AM","Cra. 51#19, Pasto, Nariño, 520002","0.12","4.78","32434.78",
"EQZ329","01/28/2026 7:27 AM","25, Pasto, Nariño, 520007","0.12","4.91","32434.91",
"EQZ329","01/28/2026 7:27 AM","25, Pasto, Nariño, 520007","0.43","5.34","32435.34",
"EQZ329","01/28/2026 7:28 AM","25, Pasto, Nariño, 520007","0.19","5.53","32435.53",
"EQZ329","01/28/2026 7:28 AM","25, Pasto, Nariño, 520007","0.19","5.72","32435.71",
"EQZ329","01/28/2026 7:28 AM","25, Pasto, Nariño, 520007","0.12","5.84","32435.84",
"EQZ329","01/28/2026 7:29 AM","25, Pasto, Nariño, 520007","0.06","5.90","32435.90",
"EQZ329","01/28/2026 7:29 AM","25, Pasto, Nariño, 520007","0.06","5.97","32435.96",
"EQZ329","01/28/2026 7:29 AM","25, Pasto, Nariño, 520007","0.25","6.21","32436.21",
"EQZ329","01/28/2026 7:29 AM","25, Pasto, Nariño, 520007","0.31","6.52","32436.52",
"EQZ329","01/28/2026 7:30 AM","25, Pasto, Nariño, 520007","0.06","6.59","32436.58",
"EQZ329","01/28/2026 7:30 AM","25, Pasto, Nariño, 520007","0.19","6.77","32436.77",
"EQZ329","01/28/2026 7:30 AM","25, Pasto, Nariño, 520007","0.19","6.96","32436.96",
"EQZ329","01/28/2026 7:31 AM","25, Pasto, Nariño, 520007","0.19","7.15","32437.14",
"EQZ329","01/28/2026 7:31 AM","25, Pasto, Nariño, 520007","0.12","7.27","32437.27",
"EQZ329","01/28/2026 7:31 AM","25, Pasto, Nariño, 520007","0.19","7.46","32437.45",
"EQZ329","01/28/2026 7:32 AM","25, Pasto, Nariño, 520007","0.06","7.52","32437.51",
"EQZ329","01/28/2026 7:32 AM","25, Pasto, Nariño, 520007","0.06","7.58","32437.58",
"EQZ329","01/28/2026 7:32 AM","25, Pasto, Nariño, 520007","0.12","7.71","32437.70",
"EQZ329","01/28/2026 8:01 AM","25, Pasto, Nariño, 520007","0.06","7.77","32437.76",
"EQZ329","01/28/2026 8:02 AM","25, Pasto, Nariño, 520007","0.06","7.83","32437.83",
"EQZ329","01/28/2026 8:02 AM","25, Pasto, Nariño, 520007","0.06","7.89","32437.89",
"EQZ329","01/28/2026 8:02 AM","25, Pasto, Nariño, 520007","0.37","8.26","32438.26",
"EQZ329","01/28/2026 8:03 AM","25, Pasto, Nariño, 520008","0.12","8.39","32438.38",
"EQZ329","01/28/2026 8:04 AM","25, Pasto, Nariño, 520008","0.06","8.45","32438.45",
"EQZ329","01/28/2026 8:04 AM","25, Pasto, Nariño, 520008","0.19","8.64","32438.63",
"EQZ329","01/28/2026 8:04 AM","25, Pasto, Nariño, 520008","0.06","8.70","32438.70",
"EQZ329","01/28/2026 8:04 AM","25, Pasto, Nariño, 520008","0.06","8.76","32438.76",
"EQZ329","01/28/2026 8:04 AM","25, Pasto, Nariño, 520008","0.12","8.89","32438.88",
"EQZ329","01/28/2026 8:05 AM","25, Pasto, Nariño, 520008","0.06","8.95","32438.94",
"EQZ329","01/28/2026 8:05 AM","25, Pasto, Nariño, 520008","0.19","9.13","32439.13",
"EQZ329","01/28/2026 8:05 AM","25, Pasto, Nariño, 520008","0.06","9.20","32439.19",
"EQZ329","01/28/2026 8:05 AM","25, Pasto, Nariño, 520008","0.06","9.26","32439.25",
"EQZ329","01/28/2026 8:05 AM","25, Pasto, Nariño, 520008","0.06","9.32","32439.32",
"EQZ329","01/28/2026 8:05 AM","25, Pasto, Nariño, 520008","0.19","9.51","32439.50",
"EQZ329","01/28/2026 8:06 AM","25NRD, Pasto, Nariño, 520008","0.12","9.63","32439.63",
"EQZ329","01/28/2026 8:06 AM","25NRD, Pasto, Nariño, 520008","0.31","9.94","32439.94",
"EQZ329","01/28/2026 8:07 AM","25NRD, Pasto, Nariño, 520008","1.30","11.25","32441.24",
"EQZ329","01/28/2026 8:09 AM","25NRD, Pasto, Nariño, 520007","0.43","11.68","32441.68",
"EQZ329","01/28/2026 8:10 AM","25NRD, Pasto, Nariño","0.75","12.43","32442.42",
"EQZ329","01/28/2026 8:11 AM","25NRD, Pasto, Nariño, 520004","0.56","12.99","32442.98",
"EQZ329","01/28/2026 8:12 AM","25NRD, Pasto, Nariño, 520008","0.19","13.17","32443.17",
"EQZ329","01/28/2026 8:12 AM","25NRD, Pasto, Nariño, 520008","0.12","13.30","32443.29",
"EQZ329","01/28/2026 8:12 AM","25NRD, Pasto, Nariño, 520008","0.19","13.48","32443.48",
"EQZ329","01/28/2026 8:12 AM","km 15, Pasto, Nariño, 520008","0.25","13.73","32443.73",
"EQZ329","01/28/2026 8:13 AM","25NRD, Pasto, Nariño, 520008","0.12","13.86","32443.85",
"EQZ329","01/28/2026 8:13 AM","25NRD, Pasto, Nariño, 520008","0.81","14.67","32444.66",
"EQZ329","01/28/2026 8:14 AM","25NRD, Pasto, Nariño, 520008","0.19","14.85","32444.85",
"EQZ329","01/28/2026 8:15 AM","25NRD, Pasto, Nariño, 520008","0.56","15.41","32445.41",
"EQZ329","01/28/2026 8:16 AM","25NRD, Buesaquillo, Nariño, 520008","0.62","16.03","32446.03",
"EQZ329","01/28/2026 8:17 AM","25NRD, Pasto, Nariño, 520008","0.31","16.34","32446.34",
"EQZ329","01/28/2026 8:17 AM","25NRD, Pasto, Nariño, 520008","0.12","16.47","32446.46",
"EQZ329","01/28/2026 8:17 AM","25NRD, Pasto, Nariño, 520008","0.06","16.53","32446.53",
"EQZ329","01/28/2026 8:17 AM","10, Pasto, Nariño, 520017","0.75","17.27","32447.27",
"EQZ329","01/28/2026 8:19 AM","10, Pasto, Nariño, 520006","0.25","17.52","32447.52",
"EQZ329","01/28/2026 8:20 AM","13 Este228-13 Este184 Cl. 21j, Pasto, Nariño, 520006","0.25","17.77","32447.77",
"EQZ329","01/28/2026 8:21 AM","Cl. 21j #11 Este-1 a 11 Este-105, Pasto, Nariño, 520006","0.19","17.96","32447.95",
"EQZ329","01/28/2026 8:22 AM","9a Este1-9a Este37 Cl. 21j, Pasto, Nariño, 520006","0.12","18.08","32448.08",
"EQZ329","01/28/2026 8:22 AM","21d86-21d98 Cra. 6 Este, Pasto, Nariño, 520006","0.12","18.21","32448.20",
"EQZ329","01/28/2026 8:23 AM","5 Este56-5 Este2 Cl. 21c, Pasto, Nariño, 520006","0.25","18.46","32448.45",
"EQZ329","01/28/2026 8:24 AM","156-1108 Cl. 21c, Pasto, Nariño, 520006","0.31","18.77","32448.76",
