Created,Message,Status
2026-06-01 00:13:21.163,"+RESP:GTPDP,500700,868574042788351,,20260601001350,2BC4$",0x2B524553503A47545044502C3530303730302C3836383537343034323738383335312C2C32303236303630313030313335302C3242433424
2026-06-01 00:43:56.342,"+RESP:GTFRI,500700,868574042788351,,,10,1,1,0.0,87,1264.4,-75.784827,4.812443,20260601004125,0732,0101,36BB,A8F09EF,04,12,120886.1,06583:45:27,,,87,110000,,,,20260601004356,2BC5$",0x2B524553503A47544652492C3530303730302C3836383537343034323738383335312C2C2C31302C312C312C302E302C38372C313236342E342C2D37352E3738343832372C342E3831323434332C32303236303630313030343132352C303733322C303130312C333642422C413846303945462C30342C31322C3132303838362E312C30363538333A34353A32372C2C2C38372C3131303030302C2C2C2C32303236303630313030343335362C3242433524
2026-06-01 01:14:08.584,"+RESP:GTPDP,500700,868574042788351,,20260601011359,2BC6$",0x2B524553503A47545044502C3530303730302C3836383537343034323738383335312C2C32303236303630313031313335392C3242433624
2026-06-01 01:42:51.893,"+RESP:GTFRI,500700,868574042788351,,,10,1,1,0.0,87,1264.4,-75.784827,4.812443,20260601014142,0732,0101,36BB,A8F09EF,04,12,120886.1,06583:45:27,,,87,110000,,,,20260601014406,2BC7$",0x2B524553503A47544652492C3530303730302C3836383537343034323738383335312C2C2C31302C312C312C302E302C38372C313236342E342C2D37352E3738343832372C342E3831323434332C32303236303630313031343134322C303733322C303130312C333642422C413846303945462C30342C31322C3132303838362E312C30363538333A34353A32372C2C2C38372C3131303030302C2C2C2C32303236303630313031343430362C3242433724
2026-06-01 02:13:30.468,"+RESP:GTPDP,500700,868574042788351,,20260601021409,2BC8$",0x2B524553503A47545044502C3530303730302C3836383537343034323738383335312C2C32303236303630313032313430392C3242433824
2026-06-01 02:43:01.420,"+RESP:GTFRI,500700,868574042788351,,,10,1,1,0.0,87,1264.4,-75.784827,4.812443,20260601024145,0732,0101,36BB,A8F09EF,04,11,120886.1,06583:45:27,,,87,110000,,,,20260601024415,2BC9$",0x2B524553503A47544652492C3530303730302C3836383537343034323738383335312C2C2C31302C312C312C302E302C38372C313236342E342C2D37352E3738343832372C342E3831323434332C32303236303630313032343134352C303733322C303130312C333642422C413846303945462C30342C31312C3132303838362E312C30363538333A34353A32372C2C2C38372C3131303030302C2C2C2C32303236303630313032343431352C3242433924
2026-06-01 03:14:09.835,"+RESP:GTPDP,500700,868574042788351,,20260601031419,2BCA$",0x2B524553503A47545044502C3530303730302C3836383537343034323738383335312C2C32303236303630313033313431392C3242434124
2026-06-01 03:43:11.074,"+RESP:GTFRI,500700,868574042788351,,,10,1,1,0.0,87,1264.4,-75.784827,4.812443,20260601034154,0732,0101,36BB,A8F09EF,04,12,120886.1,06583:45:27,,,87,110000,,,,20260601034425,2BCB$",0x2B524553503A47544652492C3530303730302C3836383537343034323738383335312C2C2C31302C312C312C302E302C38372C313236342E342C2D37352E3738343832372C342E3831323434332C32303236303630313033343135342C303733322C303130312C333642422C413846303945462C30342C31322C3132303838362E312C30363538333A34353A32372C2C2C38372C3131303030302C2C2C2C32303236303630313033343432352C3242434224
2026-06-01 04:13:44.976,"+RESP:GTPDP,500700,868574042788351,,20260601041428,2BCC$",0x2B524553503A47545044502C3530303730302C3836383537343034323738383335312C2C32303236303630313034313432382C3242434324
2026-06-01 04:43:20.600,"+RESP:GTFRI,500700,868574042788351,,,10,1,1,0.0,87,1264.4,-75.784827,4.812443,20260601044210,0732,0101,36BB,A8F09EF,04,12,120886.1,06583:45:27,,,87,110000,,,,20260601044435,2BCD$",0x2B524553503A47544652492C3530303730302C3836383537343034323738383335312C2C2C31302C312C312C302E302C38372C313236342E342C2D37352E3738343832372C342E3831323434332C32303236303630313034343231302C303733322C303130312C333642422C413846303945462C30342C31322C3132303838362E312C30363538333A34353A32372C2C2C38372C3131303030302C2C2C2C32303236303630313034343433352C3242434424
2026-06-01 05:14:16.135,"+RESP:GTPDP,500700,868574042788351,,20260601051437,2BCE$",0x2B524553503A47545044502C3530303730302C3836383537343034323738383335312C2C32303236303630313035313433372C3242434524
2026-06-01 05:43:34.074,"+RESP:GTFRI,500700,868574042788351,,,10,1,1,0.0,87,1264.4,-75.784827,4.812443,20260601054213,0732,0101,36BB,A8F09EF,04,12,120886.1,06583:45:27,,,87,110000,,,,20260601054444,2BCF$",0x2B524553503A47544652492C3530303730302C3836383537343034323738383335312C2C2C31302C312C312C302E302C38372C313236342E342C2D37352E3738343832372C342E3831323434332C32303236303630313035343231332C303733322C303130312C333642422C413846303945462C30342C31322C3132303838362E312C30363538333A34353A32372C2C2C38372C3131303030302C2C2C2C32303236303630313035343434342C3242434624
2026-06-01 06:13:55.110,"+RESP:GTPDP,500700,868574042788351,,20260601061447,2BD0$",0x2B524553503A47545044502C3530303730302C3836383537343034323738383335312C2C32303236303630313036313434372C3242443024
2026-06-01 06:43:39.659,"+RESP:GTFRI,500700,868574042788351,,,10,1,1,0.0,87,1264.4,-75.784827,4.812443,20260601064228,0732,0101,36BB,A8F09EF,04,12,120886.1,06583:45:27,,,87,110000,,,,20260601064454,2BD1$",0x2B524553503A47544652492C3530303730302C3836383537343034323738383335312C2C2C31302C312C312C302E302C38372C313236342E342C2D37352E3738343832372C342E3831323434332C32303236303630313036343232382C303733322C303130312C333642422C413846303945462C30342C31322C3132303838362E312C30363538333A34353A32372C2C2C38372C3131303030302C2C2C2C32303236303630313036343435342C3242443124
2026-06-01 07:14:30.748,"+RESP:GTPDP,500700,868574042788351,,20260601071457,2BD2$",0x2B524553503A47545044502C3530303730302C3836383537343034323738383335312C2C32303236303630313037313435372C3242443224
2026-06-01 07:43:49.223,"+RESP:GTFRI,500700,868574042788351,,,10,1,1,0.0,87,1264.4,-75.784827,4.812443,20260601074232,0732,0101,36BB,A8F09EF,04,12,120886.1,06583:45:27,,,87,110000,,,,20260601074503,2BD3$",0x2B524553503A47544652492C3530303730302C3836383537343034323738383335312C2C2C31302C312C312C302E302C38372C313236342E342C2D37352E3738343832372C342E3831323434332C32303236303630313037343233322C303733322C303130312C333642422C413846303945462C30342C31322C3132303838362E312C30363538333A34353A32372C2C2C38372C3131303030302C2C2C2C32303236303630313037343530332C3242443324
2026-06-01 08:14:01.274,"+RESP:GTPDP,500700,868574042788351,,20260601081506,2BD4$",0x2B524553503A47545044502C3530303730302C3836383537343034323738383335312C2C32303236303630313038313530362C3242443424
2026-06-01 08:43:58.804,"+RESP:GTFRI,500700,868574042788351,,,10,1,1,0.0,87,1264.4,-75.784827,4.812443,20260601084246,0732,0101,36BB,A8F09EF,04,12,120886.1,06583:45:27,,,87,110000,,,,20260601084513,2BD5$",0x2B524553503A47544652492C3530303730302C3836383537343034323738383335312C2C2C31302C312C312C302E302C38372C313236342E342C2D37352E3738343832372C342E3831323434332C32303236303630313038343234362C303733322C303130312C333642422C413846303945462C30342C31322C3132303838362E312C30363538333A34353A32372C2C2C38372C3131303030302C2C2C2C32303236303630313038343531332C3242443524
2026-06-01 09:14:40.822,"+RESP:GTPDP,500700,868574042788351,,20260601091516,2BD6$",0x2B524553503A47545044502C3530303730302C3836383537343034323738383335312C2C32303236303630313039313531362C3242443624
