"Unit","Time/Date (COT)","Address","Distance (km)","Total Distance (km)","Odometer","Driver"
"EQZ355","03/01/2026 8:19 AM","Cra. 14 No 29 - 74 Barrio Belen, Túquerres, Nariño, 525520","0.50","0.50","36753.70",
"EQZ355","03/01/2026 8:20 AM","525520, Túquerres, Nariño, 525520","0.20","0.70","36753.91",
"EQZ355","03/01/2026 11:22 AM","Cl. 24, Túquerres, Nariño, 525520","0.20","0.90","36754.11",
"EQZ355","03/01/2026 11:22 AM","262-26214 Cra. 14, Túquerres, Nariño, 525520","0.40","1.30","36754.51",
"EQZ355","03/01/2026 11:23 AM","29257 Cra. 14, Túquerres, Nariño, 525520","0.10","1.40","36754.61",
"EQZ355","03/01/2026 11:25 AM","29221-29141 Cra. 14, Túquerres, Nariño, 525520","0.40","1.80","36755.01",
"EQZ355","03/01/2026 11:26 AM","14151-1437 Cl. 26, Túquerres, Nariño, 525520","0.30","2.10","36755.31",
"EQZ355","03/01/2026 11:27 AM","3903 Cra. 17, Túquerres, Nariño, 525520","0.10","2.20","36755.41",
"EQZ355","03/01/2026 11:27 AM","Cra. 18, Túquerres, Nariño, 525520","0.10","2.30","36755.51",
"EQZ355","03/01/2026 11:27 AM","25 Cra. 18, Túquerres, Nariño, 525520","0.50","2.80","36756.01",
"EQZ355","03/01/2026 11:28 AM","10, Túquerres, Nariño, 525520","0.10","2.90","36756.12",
"EQZ355","03/01/2026 11:28 AM","10, Túquerres, Nariño, 525520","0.20","3.10","36756.31",
"EQZ355","03/01/2026 11:29 AM","10, Túquerres, Nariño, 525527","0.30","3.40","36756.62",
"EQZ355","03/01/2026 11:29 AM","10, Túquerres, Nariño, 525527","0.30","3.70","36756.91",
"EQZ355","03/01/2026 11:30 AM","10, Túquerres, Nariño, 525527","0.10","3.80","36757.02",
"EQZ355","03/01/2026 11:30 AM","10, Túquerres, Nariño, 525527","0.40","4.20","36757.41",
"EQZ355","03/01/2026 11:31 AM","10, Túquerres, Nariño, 525527","0.20","4.40","36757.62",
