Created,Message,Status
2026-01-02 00:18:12.899,"+RESP:GTPDP,500700,868574042913991,,20260102001738,00BC$",0x2B524553503A47545044502C3530303730302C3836383537343034323931333939312C2C32303236303130323030313733382C3030424324
2026-01-02 00:47:44.966,"+RESP:GTFRI,500700,868574042913991,,,10,1,1,0.0,23,2577.2,-74.185108,4.591734,20260102004512,0732,0101,138A,60E59E9,04,12,17028.2,01256:08:45,,,100,110000,,,,20260102004745,00BD$",0x2B524553503A47544652492C3530303730302C3836383537343034323931333939312C2C2C31302C312C312C302E302C32332C323537372E322C2D37342E3138353130382C342E3539313733342C32303236303130323030343531322C303733322C303130312C313338412C363045353945392C30342C31322C31373032382E322C30313235363A30383A34352C2C2C3130302C3131303030302C2C2C2C32303236303130323030343734352C3030424424
2026-01-02 01:17:57.178,"+RESP:GTPDP,500700,868574042913991,,20260102011748,00BE$",0x2B524553503A47545044502C3530303730302C3836383537343034323931333939312C2C32303236303130323031313734382C3030424524
2026-01-02 01:47:51.202,"+RESP:GTFRI,500700,868574042913991,,,10,1,1,0.0,23,2577.2,-74.185108,4.591734,20260102014528,0732,0101,138A,60E59E9,04,12,17028.2,01256:08:45,,,100,110000,,,,20260102014754,00BF$",0x2B524553503A47544652492C3530303730302C3836383537343034323931333939312C2C2C31302C312C312C302E302C32332C323537372E322C2D37342E3138353130382C342E3539313733342C32303236303130323031343532382C303733322C303130312C313338412C363045353945392C30342C31322C31373032382E322C30313235363A30383A34352C2C2C3130302C3131303030302C2C2C2C32303236303130323031343735342C3030424624
2026-01-02 02:18:29.882,"+RESP:GTPDP,500700,868574042913991,,20260102021757,00C0$",0x2B524553503A47545044502C3530303730302C3836383537343034323931333939312C2C32303236303130323032313735372C3030433024
2026-01-02 02:47:54.119,"+RESP:GTFRI,500700,868574042913991,,,10,1,1,0.0,23,2577.2,-74.185108,4.591734,20260102024532,0732,0101,138A,60E59E9,04,12,17028.2,01256:08:45,,,100,110000,,,,20260102024804,00C1$",0x2B524553503A47544652492C3530303730302C3836383537343034323931333939312C2C2C31302C312C312C302E302C32332C323537372E322C2D37342E3138353130382C342E3539313733342C32303236303130323032343533322C303733322C303130312C313338412C363045353945392C30342C31322C31373032382E322C30313235363A30383A34352C2C2C3130302C3131303030302C2C2C2C32303236303130323032343830342C3030433124
2026-01-02 03:45:14.160,"+RESP:GTPDP,500700,868574042913991,,20260102034447,00C2$",0x2B524553503A47545044502C3530303730302C3836383537343034323931333939312C2C32303236303130323033343434372C3030433224
2026-01-02 03:48:04.141,"+RESP:GTFRI,500700,868574042913991,,,10,1,1,0.0,23,2577.2,-74.185108,4.591734,20260102034546,0732,0101,138A,60E59E9,04,12,17028.2,01256:08:45,,,100,110000,,,,20260102034813,00C3$",0x2B524553503A47544652492C3530303730302C3836383537343034323931333939312C2C2C31302C312C312C302E302C32332C323537372E322C2D37342E3138353130382C342E3539313733342C32303236303130323033343534362C303733322C303130312C313338412C363045353945392C30342C31322C31373032382E322C30313235363A30383A34352C2C2C3130302C3131303030302C2C2C2C32303236303130323033343831332C3030433324
2026-01-02 04:48:13.194,"+RESP:GTFRI,500700,868574042913991,,,10,1,1,0.0,23,2577.2,-74.185108,4.591734,20260102044601,0732,0101,138A,60E59E9,04,12,17028.2,01256:08:45,,,100,110000,,,,20260102044823,00C4$",0x2B524553503A47544652492C3530303730302C3836383537343034323931333939312C2C2C31302C312C312C302E302C32332C323537372E322C2D37342E3138353130382C342E3539313733342C32303236303130323034343630312C303733322C303130312C313338412C363045353945392C30342C31322C31373032382E322C30313235363A30383A34352C2C2C3130302C3131303030302C2C2C2C32303236303130323034343832332C3030433424
2026-01-02 05:48:22.786,"+RESP:GTFRI,500700,868574042913991,,,10,1,1,0.0,23,2577.2,-74.185108,4.591734,20260102054612,0732,0101,138A,60E59E9,04,12,17028.2,01256:08:45,,,100,110000,,,,20260102054833,00C5$",0x2B524553503A47544652492C3530303730302C3836383537343034323931333939312C2C2C31302C312C312C302E302C32332C323537372E322C2D37342E3138353130382C342E3539313733342C32303236303130323035343631322C303733322C303130312C313338412C363045353945392C30342C31322C31373032382E322C30313235363A30383A34352C2C2C3130302C3131303030302C2C2C2C32303236303130323035343833332C3030433524
