Created,Message,Status
2026-06-01 00:09:09.876,"+RESP:GTPDP,500700,868574042784426,,20260601000921,CFC5$",0x2B524553503A47545044502C3530303730302C3836383537343034323738343432362C2C32303236303630313030303932312C4346433524
2026-06-01 00:38:13.328,"+RESP:GTFRI,500700,868574042784426,,,10,1,1,0.0,190,1004.0,-74.596205,5.070665,20260601003704,0732,0101,1A93,6108BFD,04,11,34393.0,03271:00:33,,,95,110000,,,,20260601003927,CFC6$",0x2B524553503A47544652492C3530303730302C3836383537343034323738343432362C2C2C31302C312C312C302E302C3139302C313030342E302C2D37342E3539363230352C352E3037303636352C32303236303630313030333730342C303733322C303130312C314139332C363130384246442C30342C31312C33343339332E302C30333237313A30303A33332C2C2C39352C3131303030302C2C2C2C32303236303630313030333932372C4346433624
2026-06-01 01:08:44.378,"+RESP:GTPDP,500700,868574042784426,,20260601010930,CFC7$",0x2B524553503A47545044502C3530303730302C3836383537343034323738343432362C2C32303236303630313031303933302C4346433724
2026-06-01 01:38:28.616,"+RESP:GTFRI,500700,868574042784426,,,10,1,1,0.0,190,1004.0,-74.596205,5.070665,20260601013721,0732,0101,1A93,6108BFD,04,12,34393.0,03271:00:33,,,95,110000,,,,20260601013937,CFC8$",0x2B524553503A47544652492C3530303730302C3836383537343034323738343432362C2C2C31302C312C312C302E302C3139302C313030342E302C2D37342E3539363230352C352E3037303636352C32303236303630313031333732312C303733322C303130312C314139332C363130384246442C30342C31322C33343339332E302C30333237313A30303A33332C2C2C39352C3131303030302C2C2C2C32303236303630313031333933372C4346433824
2026-06-01 02:09:19.615,"+RESP:GTPDP,500700,868574042784426,,20260601020942,CFC9$",0x2B524553503A47545044502C3530303730302C3836383537343034323738343432362C2C32303236303630313032303934322C4346433924
2026-06-01 02:38:36.049,"+RESP:GTFRI,500700,868574042784426,,,10,1,1,0.0,190,1004.0,-74.596205,5.070665,20260601023759,0732,0101,1A93,6108BFD,04,10,34393.0,03271:00:33,,,95,110000,,,,20260601023946,CFCA$",0x2B524553503A47544652492C3530303730302C3836383537343034323738343432362C2C2C31302C312C312C302E302C3139302C313030342E302C2D37342E3539363230352C352E3037303636352C32303236303630313032333735392C303733322C303130312C314139332C363130384246442C30342C31302C33343339332E302C30333237313A30303A33332C2C2C39352C3131303030302C2C2C2C32303236303630313032333934362C4346434124
2026-06-01 03:18:59.688,"+RESP:GTPDP,500700,868574042784426,,20260601031939,CFCB$",0x2B524553503A47545044502C3530303730302C3836383537343034323738343432362C2C32303236303630313033313933392C4346434224
2026-06-01 03:38:41.943,"+RESP:GTFRI,500700,868574042784426,,,10,1,1,0.0,190,1004.0,-74.596205,5.070665,20260601033735,0732,0101,1A93,6108BFD,04,12,34393.0,03271:00:33,,,95,110000,,,,20260601033956,CFCC$",0x2B524553503A47544652492C3530303730302C3836383537343034323738343432362C2C2C31302C312C312C302E302C3139302C313030342E302C2D37342E3539363230352C352E3037303636352C32303236303630313033333733352C303733322C303130312C314139332C363130384246442C30342C31322C33343339332E302C30333237313A30303A33332C2C2C39352C3131303030302C2C2C2C32303236303630313033333935362C4346434324
2026-06-01 04:09:28.822,"+RESP:GTPDP,500700,868574042784426,,20260601040958,CFCD$",0x2B524553503A47545044502C3530303730302C3836383537343034323738343432362C2C32303236303630313034303935382C4346434424
2026-06-01 04:38:57.464,"+RESP:GTFRI,500700,868574042784426,,,10,1,1,0.0,190,1004.0,-74.596205,5.070665,20260601043750,0732,0101,1A93,6108BFD,04,12,34393.0,03271:00:33,,,95,110000,,,,20260601044006,CFCE$",0x2B524553503A47544652492C3530303730302C3836383537343034323738343432362C2C2C31302C312C312C302E302C3139302C313030342E302C2D37342E3539363230352C352E3037303636352C32303236303630313034333735302C303733322C303130312C314139332C363130384246442C30342C31322C33343339332E302C30333237313A30303A33332C2C2C39352C3131303030302C2C2C2C32303236303630313034343030362C4346434524
2026-06-01 05:09:03.692,"+RESP:GTPDP,500700,868574042784426,,20260601051010,CFCF$",0x2B524553503A47545044502C3530303730302C3836383537343034323738343432362C2C32303236303630313035313031302C4346434624
