ID,Owner,Unit ID,Unit,Peripherals,Billing Period,Reporting Status,Show Until,Billing Group,Last Event Date,Monthly Fee,Bill To,Assigned To,Linked Mode,Paired GPS,Paired Camera,Billable,RMA,Unit Type,IMEI,Serial Number,Phone Number,Carrier,SIM #,VIN,License Plate,Static IP,Event,Last Contact On,Min,Server IP,Server Port,Last Event Address,Modem,Inv #,Status,Last Service Paid Until,Service Paid Until,Assigned to Company,IFTA,History Months,Comments,Warranty Expires,Script,JBOX Profile,Contract Type,Subscription,Firmware
1046712,Client,957K,Z3J-784,,Monthly,,,,5/28/2026,15,,CORPORACION RICO S.A.C.,0,,,Y,N,GenX 656B,359316075740677,000034411916,987660659,CLARO-PE TSO,8951101632045963026,,Z3J-784,,Parked,5/28/2026,0,3.231.161.53,10598,"Unnamed Road, Peru, Arequipa. Arequipa. ",3G,219347,Active,1/7/2017 12:00:00 AM,2/5/2017 12:00:00 AM,1/7/2017 1:41:20 PM,N,3,,10/20/2016 12:00:00 AM,/BasicScripts/PERU/BUZZ_AWS_10800.txt,,,,G603.07.04KX 11:57:20 APR 26 2016
1098129,Client,0Y61,VFW-970,,Monthly,,,,5/28/2026,15,,CORPORACION RICO S.A.C.,0,,,Y,N,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,354514102550003,4764429262,958984392,CLARO-PE TSO,895110163092075317,,VFW-970,,Parked,5/28/2026,0,3.231.161.53,10530,"South America, Arequipa, . ",LTE,313702,Active,2/25/2025 12:00:00 AM,3/26/2025 12:00:00 AM,2/25/2025 4:37:56 PM,N,3,,6/2/2024 12:00:00 AM,,,,,
1091566,Client,0T3T,VCU-805,"MDVR - 0071025734, ",Monthly,,,INTERNAL U,5/28/2026,45,,CORPORACION RICO S.A.C.,0,,,Y,N,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,354514102545730,4764428537,986154879,CLARO-PE TSO,895110163074623570,,VCU-805,,Parked,5/28/2026,0,3.231.161.53,10612,"Avenida 3 de Octubre, Villa EL Salvador. Provincia . 15058",,--,Active,4/24/2025 12:00:00 AM,5/23/2025 12:00:00 AM,4/24/2025 1:12:28 PM,N,3,,7/20/2023 12:00:00 AM,,,,,
1099065,Client,0YW1,VCU-792,,Monthly,,,,5/28/2026,45,,CORPORACION RICO S.A.C.,0,,,Y,N,GenX 5P,353161075903412,000034406199,947667119,CLARO-PE TSO,8951067022219913316,,VCU-792,,Parked,5/28/2026,0,3.231.161.53,10498,"Av Pe-34 A-57, Cerro Colorado, Arequipa, Arequipa, Perú, . . ",3G,308028,Active,8/31/2019 12:00:00 AM,9/30/2019 12:00:00 AM,11/14/2023 2:51:34 PM,N,3,,7/17/2024 12:00:00 AM,,,,,
1099066,Client,0YW2,VCU-789,,Monthly,,,,5/28/2026,15,,CORPORACION RICO S.A.C.,0,,,Y,N,GenX 5P,359316078672752,000034420181,986089752,CLARO-PE TSO,8951100312213770203,,VCU-789,,Ignition OFF,5/28/2026,0,3.231.161.53,10498,"South America, Arequipa, . ",3G,308028,Active,8/31/2019 12:00:00 AM,9/30/2019 12:00:00 AM,11/14/2023 1:47:16 PM,N,3,,7/17/2024 12:00:00 AM,,,,,
1046726,Client,957Y,VCU-779,,Monthly,,,,5/28/2026,45,,CORPORACION RICO S.A.C.,0,,,Y,N,GenX 656B,359315075304716,000034422243,940510454,CLARO-PE TSO,8951100312213848702F,,VCU-779,,First Fix,5/28/2026,0,3.231.161.53,10498,"Avenida 3 de Octubre, Villa EL Salvador. Provincia . 15058",3G,219347,Active,2/7/2017 12:00:00 AM,3/8/2017 12:00:00 AM,2/7/2017 5:47:06 PM,N,3,,10/20/2016 12:00:00 AM,,A_JBOX_PERU,,,G603.07.04KX 11:57:20 APR 26 2016
1099068,Client,0YW4,VCU-777,,Monthly,,,,5/28/2026,15,,CORPORACION RICO S.A.C.,0,,,Y,N,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,354514102540483,4764429283,969773925,CLARO-PE TSO,895110163074623618,,VCU-777,,Parked,5/28/2026,0,3.231.161.53,10612,"Via de Evitamiento 123, Arequipa, Peru. ",3G,308028,Active,11/15/2023 12:00:00 AM,12/14/2023 12:00:00 AM,11/15/2023 11:51:16 AM,N,3,,7/17/2024 12:00:00 AM,,,,,
1099063,Client,0YVZ,VCU-776,"MDVR - 0071025755, ",Monthly,,,,5/28/2026,45,,CORPORACION RICO S.A.C.,0,,,Y,N,GenX 5P,359316071607102,000034410383,953808794,CLARO-PE TSO,8951101432007305989,,VCU-776,,Drive,5/28/2026,0,3.231.161.53,10496,"Av Pe-34 A-80, Cerro Colorado, Arequipa, Arequipa, . ",3G,308028,Active,8/31/2019 12:00:00 AM,9/30/2019 12:00:00 AM,11/16/2023 1:28:55 PM,N,3,,7/17/2024 12:00:00 AM,,,,,
1083666,Client,0N0D,VAR-713,"MDVR - 006000C511, ",Monthly,,,,5/28/2026,45,,CORPORACION RICO S.A.C.,0,,,Y,N,GenX 5P,357520076408158,000036308970,980719365,,8951101639501200967F,,VAR-713,,Landmark OUT,5/28/2026,1,3.231.161.53,10574,"Pe-34 A, Yura, Arequipa, Arequipa, . ",3G,290131,Active,8/31/2019 1:49:14 PM,9/30/2019 1:49:14 PM,5/24/2021 4:51:13 PM,N,3,,2/9/2022 12:00:00 AM,/BasicScripts/JBOX/PERU/RICO_SAC_A_RP_IBUTT_TEMP_JBOX_10468.txt,,,,G603.07.07KX 16:22:42 MAR 21 2019
1083693,Client,0N14,VAQ-929,,Monthly,,,,5/28/2026,15,,CORPORACION RICO S.A.C.,0,,,Y,N,GenX 5P,358014095237599,000034424330,984940561108,CLARO-PE TSO,8951101630620976835,,VAQ-929,,Drive,5/28/2026,0,3.231.161.53,10497,"Av Pe-1s Km 68, Punta Negra, Lima, Lima [Province], . Lma. ",3G,290131,Active,8/31/2019 12:00:00 AM,9/30/2019 12:00:00 AM,6/14/2021 12:51:01 PM,N,3,,2/9/2022 12:00:00 AM,,,,,G604.08.02KX 10:56:30 FEB  6 2018
