,Unit,Serial Number,Phone,Last contact on,text,status,date
0,0,VFW-970,4764429262,958984392,5/28/2026,"!RP,257,1,2222",Delivered
1,1,VCU-805,4764428537,986154879,5/28/2026,"!RP,257,1,2222",Delivered
2,2,VCU-777,4764429283,969773925,5/28/2026,"!RP,257,1,2222",Delivered
3,3,VAQ-836,4764385808,987865324,5/28/2026,"!RP,257,1,2222",Delivered
4,4,V9W-893,4764428829,997373161,5/28/2026,"!RP,257,1,2222",Delivered
5,5,V9J-708,4764385242,982015608,5/28/2026,"!RP,257,1,2222",Delivered
6,6,V9E-862,4764322169,982916737,5/28/2026,"!RP,257,1,2222",Delivered
7,7,V7U-837,4764428536,982917864,5/28/2026,"!RP,257,1,2222",Delivered
8,8,V7P-704,4764385803,982906102,5/28/2026,"!RP,257,1,2222",Delivered
9,9,V6W-862,4764400264,961851749,5/28/2026,"!RP,257,1,2222",Delivered
10,10,V6V-821,4764429290,987844693,5/28/2026,"!RP,257,1,2222",Delivered
11,11,V6N-779,4764383373,982916535,4/22/2026,"!RP,257,1,2222",Delivered
12,12,V6F-701,4764412379,982908928,5/28/2026,"!RP,257,1,2222",Delivered
13,13,V5E-922,4764428756,961763573,5/28/2026,"!RP,257,1,2222",Delivered
14,14,V4F-934,4864055025,987660823,5/28/2026,"!RP,257,1,2222",Delivered
15,15,V4E-904,4764385784,993428410,5/28/2026,"!RP,257,1,2222",Delivered
16,16,V4E-901,4764347618,99999999,5/28/2026,"!RP,257,1,2222",Rejected
17,17,V4E-899,4764428477,987105326,5/28/2026,"!RP,257,1,2222",Delivered
18,18,V4E-898,4764400682,983368003,5/28/2026,"!RP,257,1,2222",Delivered
19,19,V4D-836,4764417669,982908448,5/28/2026,"!RP,257,1,2222",Delivered
20,20,V4D-804,4764428399,961444436,5/28/2026,"!RP,257,1,2222",Delivered
21,21,V4D-801,4764358825,993426614,5/28/2026,"!RP,257,1,2222",Delivered
22,22,V4C-771,4764400261,994343125,5/28/2026,"!RP,257,1,2222",Delivered
23,23,V4C-771,4764400261,994343125,5/28/2026,"!RP,257,1,2222",Delivered
24,24,V3Y-786,4764358984,997538749,5/28/2026,"!RP,257,1,2222",Delivered
25,25,V3Y-786,4764358984,997538749,5/28/2026,"!RP,257,1,2222",Delivered
26,26,V2I-712,4764429027,993197837,5/28/2026,"!RP,257,1,2222",Delivered
27,27,V2I-712,4764429027,993197837,5/28/2026,"!RP,257,1,2222",Delivered
28,28,V1X-820,4764417133,982908578,5/28/2026,"!RP,257,1,2222",Delivered
29,29,V1X-820,4764417133,982908578,5/28/2026,"!RP,257,1,2222",Delivered
30,30,V1V-930,4764428483,987862116,5/28/2026,"!RP,257,1,2222",Delivered
31,31,V1V-930,4764428483,987862116,5/28/2026,"!RP,257,1,2222",Delivered
32,32,V1R-890,4764433305,993429278,5/28/2026,"!RP,257,1,2222",Delivered
33,33,V1R-890,4764433305,993429278,5/28/2026,"!RP,257,1,2222",Delivered
34,34,CKG-900,4764383844,997501638,5/28/2026,"!RP,257,1,2222",Delivered
35,35,CKG-900,4764383844,997501638,5/28/2026,"!RP,257,1,2222",Delivered
36,36,CKB-866,4764359034,983363227,5/28/2026,"!RP,257,1,2222",Delivered
37,37,CKB-866,4764359034,983363227,5/28/2026,"!RP,257,1,2222",Delivered
38,38,C7C-862,4764385990,987861495,5/28/2026,"!RP,257,1,2222",Delivered
39,39,C7C-862,4764385990,987861495,5/28/2026,"!RP,257,1,2222",Delivered
