Created,Message,Status
2026-06-01 00:00:25.586,"+RESP:GTFRI,500700,868574042951132,,,10,1,1,0.0,58,1429.9,-75.504228,6.351684,20260601000046,0732,0101,2713,7D391C9,04,12,28802.0,05736:19:50,,,100,210100,,,,20260601000144,2D07$",0x2B524553503A47544652492C3530303730302C3836383537343034323935313133322C2C2C31302C312C312C302E302C35382C313432392E392C2D37352E3530343232382C362E3335313638342C32303236303630313030303034362C303733322C303130312C323731332C374433393143392C30342C31322C32383830322E302C30353733363A31393A35302C2C2C3130302C3231303130302C2C2C2C32303236303630313030303134342C3244303724
2026-06-01 00:01:25.695,"+RESP:GTFRI,500700,868574042951132,,,10,1,1,0.0,58,1429.9,-75.504228,6.351684,20260601000146,0732,0101,2713,7D391C9,04,12,28802.0,05736:20:50,,,100,210100,,,,20260601000244,2D08$",0x2B524553503A47544652492C3530303730302C3836383537343034323935313133322C2C2C31302C312C312C302E302C35382C313432392E392C2D37352E3530343232382C362E3335313638342C32303236303630313030303134362C303733322C303130312C323731332C374433393143392C30342C31322C32383830322E302C30353733363A32303A35302C2C2C3130302C3231303130302C2C2C2C32303236303630313030303234342C3244303824
2026-06-01 00:02:25.611,"+RESP:GTFRI,500700,868574042951132,,,10,1,1,0.0,58,1429.9,-75.504228,6.351684,20260601000246,0732,0101,2713,7D391C9,04,12,28802.0,05736:21:50,,,100,210100,,,,20260601000344,2D09$",0x2B524553503A47544652492C3530303730302C3836383537343034323935313133322C2C2C31302C312C312C302E302C35382C313432392E392C2D37352E3530343232382C362E3335313638342C32303236303630313030303234362C303733322C303130312C323731332C374433393143392C30342C31322C32383830322E302C30353733363A32313A35302C2C2C3130302C3231303130302C2C2C2C32303236303630313030303334342C3244303924
2026-06-01 00:03:25.645,"+RESP:GTFRI,500700,868574042951132,,,10,1,1,0.0,58,1429.9,-75.504228,6.351684,20260601000346,0732,0101,2713,7D391C9,04,12,28802.0,05736:22:50,,,100,210100,,,,20260601000444,2D0A$",0x2B524553503A47544652492C3530303730302C3836383537343034323935313133322C2C2C31302C312C312C302E302C35382C313432392E392C2D37352E3530343232382C362E3335313638342C32303236303630313030303334362C303733322C303130312C323731332C374433393143392C30342C31322C32383830322E302C30353733363A32323A35302C2C2C3130302C3231303130302C2C2C2C32303236303630313030303434342C3244304124
2026-06-01 00:04:25.666,"+RESP:GTFRI,500700,868574042951132,,,10,1,1,0.0,58,1429.9,-75.504228,6.351684,20260601000446,0732,0101,2713,7D391C9,04,12,28802.0,05736:23:50,,,100,210100,,,,20260601000544,2D0B$",0x2B524553503A47544652492C3530303730302C3836383537343034323935313133322C2C2C31302C312C312C302E302C35382C313432392E392C2D37352E3530343232382C362E3335313638342C32303236303630313030303434362C303733322C303130312C323731332C374433393143392C30342C31322C32383830322E302C30353733363A32333A35302C2C2C3130302C3231303130302C2C2C2C32303236303630313030303534342C3244304224
2026-06-01 00:05:25.675,"+RESP:GTFRI,500700,868574042951132,,,10,1,1,0.0,58,1429.9,-75.504228,6.351684,20260601000547,0732,0101,2713,7D391C9,04,12,28802.0,05736:24:50,,,100,210100,,,,20260601000644,2D0C$",0x2B524553503A47544652492C3530303730302C3836383537343034323935313133322C2C2C31302C312C312C302E302C35382C313432392E392C2D37352E3530343232382C362E3335313638342C32303236303630313030303534372C303733322C303130312C323731332C374433393143392C30342C31322C32383830322E302C30353733363A32343A35302C2C2C3130302C3231303130302C2C2C2C32303236303630313030303634342C3244304324
2026-06-01 00:06:25.615,"+RESP:GTFRI,500700,868574042951132,,,10,1,1,0.0,58,1429.9,-75.504228,6.351684,20260601000647,0732,0101,2713,7D391C9,04,12,28802.0,05736:25:50,,,100,210100,,,,20260601000744,2D0D$",0x2B524553503A47544652492C3530303730302C3836383537343034323935313133322C2C2C31302C312C312C302E302C35382C313432392E392C2D37352E3530343232382C362E3335313638342C32303236303630313030303634372C303733322C303130312C323731332C374433393143392C30342C31322C32383830322E302C30353733363A32353A35302C2C2C3130302C3231303130302C2C2C2C32303236303630313030303734342C3244304424
2026-06-01 00:07:25.649,"+RESP:GTFRI,500700,868574042951132,,,10,1,1,0.0,58,1429.9,-75.504228,6.351684,20260601000747,0732,0101,2713,7D391C9,04,12,28802.0,05736:26:50,,,100,210100,,,,20260601000844,2D0E$",0x2B524553503A47544652492C3530303730302C3836383537343034323935313133322C2C2C31302C312C312C302E302C35382C313432392E392C2D37352E3530343232382C362E3335313638342C32303236303630313030303734372C303733322C303130312C323731332C374433393143392C30342C31322C32383830322E302C30353733363A32363A35302C2C2C3130302C3231303130302C2C2C2C32303236303630313030303834342C3244304524
2026-06-01 00:08:25.645,"+RESP:GTFRI,500700,868574042951132,,,10,1,1,0.0,58,1429.9,-75.504228,6.351684,20260601000847,0732,0101,2713,7D391C9,04,12,28802.0,05736:27:50,,,100,210100,,,,20260601000944,2D0F$",0x2B524553503A47544652492C3530303730302C3836383537343034323935313133322C2C2C31302C312C312C302E302C35382C313432392E392C2D37352E3530343232382C362E3335313638342C32303236303630313030303834372C303733322C303130312C323731332C374433393143392C30342C31322C32383830322E302C30353733363A32373A35302C2C2C3130302C3231303130302C2C2C2C32303236303630313030303934342C3244304624
2026-06-01 00:09:25.676,"+RESP:GTFRI,500700,868574042951132,,,10,1,1,0.0,58,1429.9,-75.504228,6.351684,20260601000947,0732,0101,2713,7D391C9,04,12,28802.0,05736:28:50,,,100,210100,,,,20260601001044,2D10$",0x2B524553503A47544652492C3530303730302C3836383537343034323935313133322C2C2C31302C312C312C302E302C35382C313432392E392C2D37352E3530343232382C362E3335313638342C32303236303630313030303934372C303733322C303130312C323731332C374433393143392C30342C31322C32383830322E302C30353733363A32383A35302C2C2C3130302C3231303130302C2C2C2C32303236303630313030313034342C3244313024
2026-06-01 00:10:25.692,"+RESP:GTFRI,500700,868574042951132,,,10,1,1,0.0,58,1429.9,-75.504228,6.351684,20260601001047,0732,0101,2713,7D391C9,04,12,28802.0,05736:29:50,,,100,210100,,,,20260601001144,2D11$",0x2B524553503A47544652492C3530303730302C3836383537343034323935313133322C2C2C31302C312C312C302E302C35382C313432392E392C2D37352E3530343232382C362E3335313638342C32303236303630313030313034372C303733322C303130312C323731332C374433393143392C30342C31322C32383830322E302C30353733363A32393A35302C2C2C3130302C3231303130302C2C2C2C32303236303630313030313134342C3244313124
2026-06-01 00:11:25.659,"+RESP:GTFRI,500700,868574042951132,,,10,1,1,0.0,58,1429.9,-75.504228,6.351684,20260601001147,0732,0101,2713,7D391C9,04,12,28802.0,05736:30:50,,,100,210100,,,,20260601001244,2D12$",0x2B524553503A47544652492C3530303730302C3836383537343034323935313133322C2C2C31302C312C312C302E302C35382C313432392E392C2D37352E3530343232382C362E3335313638342C32303236303630313030313134372C303733322C303130312C323731332C374433393143392C30342C31322C32383830322E302C30353733363A33303A35302C2C2C3130302C3231303130302C2C2C2C32303236303630313030313234342C3244313224
