Created,Message,Status
2026-03-02 02:03:58.871,"[{""Protocol"":""0x2525"",""MessageType"":""SignInMessage"",""ProtocolHeadType"":0,""Imei"":""869487064468670"",""SerialNo"":1,""Firmware"":""V1.0.1.8"",""Model"":0,""ObdBootVersion"":null,""ObdDataVersion"":null,""ObdHareware"":null,""ObdSoftware"":null,""Platform"":null,""Software"":""V0.0.0""}]",0x2525010017000108694870644686700000030502101812
2026-03-02 02:03:58.981,"[{""Protocol"":""0x2525"",""MessageType"":""NetworkInfoMessage"",""ProtocolHeadType"":0,""Imei"":""869487064468670"",""SerialNo"":1,""AccessTechnology"":""CAT-1"",""Band"":""CAT-1 2"",""Date"":""2026-03-02T02:04:19Z"",""Iccid"":""89571017025023250782"",""Imsi"":""732101725325076"",""NetworkOperator"":""CLARO""}]",0x2525110053000108694870644686702603020204190A43004C00410052004F00054341542D31074341542D3120320F373332313031373235333235303736143839353731303137303235303233323530373832
2026-03-02 02:03:59.118,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064468670"",""SerialNo"":1288,""Mileage"":658549,""Date"":""2026-02-28T06:35:01Z"",""IopIgnition"":true,""Latitude"":4.62972354888916,""Longitude"":-74.111709594726563,""Altitude"":2573.39990234375,""ExternalPowerVoltage"":14.0,""Rpm"":-999,""Speed"":15.0,""SatelliteNumber"":4,""Azimuth"":309,""BatteryLevel"":79}]",0x252513005905080869487064468670003C38402D00000000C400000007000061000000FFFFFFFFFFFFFFFFFFFF0080000A0C757926022806350166D62045323994C2B22694400150013503841400FFFFFF000025FFFFFFFFFF
2026-03-02 02:03:59.231,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064468670"",""SerialNo"":1289,""Mileage"":658549,""Date"":""2000-01-02T19:19:49Z"",""IopIgnition"":true,""Latitude"":4.62972354888916,""Longitude"":-74.111709594726563,""Altitude"":2573.39990234375,""ExternalPowerVoltage"":14.11,""Rpm"":-999,""Speed"":15.0,""SatelliteNumber"":4,""Azimuth"":309,""BatteryLevel"":76}]",0x252513005905090869487064468670003C38402D00000000C400000007000061000000FFFFFFFFFFFFFFFFFFFF0080000A0C757600010219194966D62045323994C2B22694400150013503831411FFFFFF000018FFFFFFFFFF
2026-03-02 02:03:59.396,"[{""Protocol"":""0x2525"",""MessageType"":""LocationAlarmMessage"",""ProtocolHeadType"":20,""Imei"":""869487064468670"",""SerialNo"":92,""Mileage"":658549,""Date"":""2026-02-28T06:35:52Z"",""IopIgnition"":false,""Latitude"":0.0,""Longitude"":0.0,""Altitude"":0.0,""ExternalPowerVoltage"":13.82,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":0,""Azimuth"":0,""OriginalAlarmCode"":23}]",0x2525140059005C0869487064468670003C38402D000000008000000007000020000000FFFFFFFFFFFFFFFFFFFF1780000A0C757926022806355282DC006500000000000000000000000003841382FFFFFF000025FFFFFFFFFF
2026-03-02 02:03:59.511,"[{""Protocol"":""0x2525"",""MessageType"":""LocationAlarmMessage"",""ProtocolHeadType"":20,""Imei"":""869487064468670"",""SerialNo"":93,""Mileage"":658549,""Date"":""2000-01-02T19:18:41Z"",""IopIgnition"":true,""Latitude"":4.62972354888916,""Longitude"":-74.111709594726563,""Altitude"":2573.39990234375,""ExternalPowerVoltage"":12.0,""Rpm"":-999,""Speed"":15.0,""SatelliteNumber"":4,""Azimuth"":309,""OriginalAlarmCode"":22}]",0x2525140059005D0869487064468670003C38402D00000000C400000007000061000000FFFFFFFFFFFFFFFFFFFF1600000A0C757600010219184166D62045323994C2B22694400150013503831200FFFFFF000026FFFFFFFFFF
2026-03-02 02:04:32.920,"[{""Protocol"":""0x2525"",""MessageType"":""LocationAlarmMessage"",""ProtocolHeadType"":20,""Imei"":""869487064468670"",""SerialNo"":94,""Mileage"":658549,""Date"":""2026-03-02T02:04:53Z"",""IopIgnition"":false,""Latitude"":0.0,""Longitude"":0.0,""Altitude"":0.0,""ExternalPowerVoltage"":14.01,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":0,""Azimuth"":0,""OriginalAlarmCode"":23}]",0x2525140059005E0869487064468670003C38402D000000560000000007000020000000FFFFFFFFFFFFFFFFFFFF17D5000A0C757526030202045382DC00650009A6CA4E2901EB011C000003831401FFFFFF000019FFFFFFFFFF
2026-03-02 02:14:57.257,"[{""Protocol"":""0x2525"",""MessageType"":""LocationAlarmMessage"",""ProtocolHeadType"":20,""Imei"":""869487064468670"",""SerialNo"":95,""Mileage"":658623,""Date"":""2026-03-02T02:15:57Z"",""IopIgnition"":true,""Latitude"":4.6293210983276367,""Longitude"":-74.111175537109375,""Altitude"":2557.89990234375,""ExternalPowerVoltage"":12.62,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":14,""Azimuth"":0,""OriginalAlarmCode"":22}]",0x2525140059005F0869487064468670003C38402D0000004B4E00000007000061000000FFFFFFFFFFFFFFFFFFFF16D5000A0CBF7626030202155766DE1F45EC3894C2662394400000000003831262FFFFFF0000160000FFFFFF
2026-03-02 02:15:58.037,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064468670"",""SerialNo"":1290,""Mileage"":658623,""Date"":""2026-03-02T02:16:58Z"",""IopIgnition"":true,""Latitude"":4.6293210983276367,""Longitude"":-74.111175537109375,""Altitude"":2557.89990234375,""ExternalPowerVoltage"":14.09,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":0,""BatteryLevel"":76}]",0x2525130059050A0869487064468670003C38402D0000004F5000000007000061000000FFFFFFFFFFFFFFFFFFFF00D5000A0CBF7626030202165866DE1F45EC3894C2662394400000000003831409FFFFFF0000160000FFFFFF
2026-03-02 02:16:57.904,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064468670"",""SerialNo"":1291,""Mileage"":658623,""Date"":""2026-03-02T02:17:58Z"",""IopIgnition"":true,""Latitude"":4.6293210983276367,""Longitude"":-74.111175537109375,""Altitude"":2557.89990234375,""ExternalPowerVoltage"":14.11,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":0,""BatteryLevel"":76}]",0x2525130059050B0869487064468670003C38402D0000004F4F00000007000061000000FFFFFFFFFFFFFFFFFFFF00D5000A0CBF7626030202175866DE1F45EC3894C2662394400000000003831411FFFFFF0000170000FFFFFF
