Created,Message,Status
2026-03-01 00:05:10.618,"[{""Protocol"":""0x2525"",""MessageType"":""LocationAlarmMessage"",""ProtocolHeadType"":20,""Imei"":""869487063263668"",""SerialNo"":828,""Mileage"":20334681,""Date"":""2026-03-01T00:06:08Z"",""IopIgnition"":true,""Latitude"":-5.0638670921325684,""Longitude"":-81.05908203125,""Altitude"":88.800003051757813,""ExternalPowerVoltage"":25.63,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":14,""Azimuth"":30,""OriginalAlarmCode"":22}]",0x2525140059033C0869487063263668003C38402D0000002C4E00000007000061000000FFFFFFFFFFFFFFFFFFFF16D501364859002603010006089A99B142401EA2C2330BA2C00000001E03902563FFFFFF0000240000FFFFFF
2026-03-01 00:06:11.374,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487063263668"",""SerialNo"":30468,""Mileage"":20334681,""Date"":""2026-03-01T00:07:09Z"",""IopIgnition"":true,""Latitude"":-5.0638670921325684,""Longitude"":-81.05908203125,""Altitude"":88.800003051757813,""ExternalPowerVoltage"":27.95,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":30,""BatteryLevel"":100}]",0x252513005977040869487063263668003C38402D000000335000000007000061000000FFFFFFFFFFFFFFFFFFFF00D501364859002603010007099A99B142401EA2C2330BA2C00000001E03902795FFFFFF0000260000FFFFFF
2026-03-01 00:07:12.269,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487063263668"",""SerialNo"":30469,""Mileage"":20334681,""Date"":""2026-03-01T00:08:09Z"",""IopIgnition"":true,""Latitude"":-5.0638670921325684,""Longitude"":-81.05908203125,""Altitude"":88.800003051757813,""ExternalPowerVoltage"":28.02,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":30,""BatteryLevel"":100}]",0x252513005977050869487063263668003C38402D000000374F00000007000061000000FFFFFFFFFFFFFFFFFFFF00D501364859002603010008099A99B142401EA2C2330BA2C00000001E03902802FFFFFF0000250000FFFFFF
2026-03-01 00:08:12.078,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487063263668"",""SerialNo"":30470,""Mileage"":20334681,""Date"":""2026-03-01T00:09:09Z"",""IopIgnition"":true,""Latitude"":-5.0638670921325684,""Longitude"":-81.05908203125,""Altitude"":88.800003051757813,""ExternalPowerVoltage"":28.03,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":30,""BatteryLevel"":100}]",0x252513005977060869487063263668003C38402D000000305000000007000061000000FFFFFFFFFFFFFFFFFFFF00D501364859002603010009099A99B142401EA2C2330BA2C00000001E03902803FFFFFF0000250000FFFFFF
2026-03-01 00:09:11.972,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487063263668"",""SerialNo"":30471,""Mileage"":20334681,""Date"":""2026-03-01T00:10:09Z"",""IopIgnition"":true,""Latitude"":-5.0638670921325684,""Longitude"":-81.05908203125,""Altitude"":88.800003051757813,""ExternalPowerVoltage"":28.02,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":13,""Azimuth"":30,""BatteryLevel"":100}]",0x252513005977070869487063263668003C38402D000000304D00000007000061000000FFFFFFFFFFFFFFFFFFFF00D501364859002603010010099A99B142401EA2C2330BA2C00000001E03902802FFFFFF0000250000FFFFFF
2026-03-01 00:09:53.358,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487063263668"",""SerialNo"":30472,""Mileage"":20334760,""Date"":""2026-03-01T00:10:51Z"",""IopIgnition"":true,""Latitude"":-5.0631914138793945,""Longitude"":-81.059288024902344,""Altitude"":89.0999984741211,""ExternalPowerVoltage"":28.06,""Rpm"":-999,""Speed"":5.0,""SatelliteNumber"":18,""Azimuth"":295,""BatteryLevel"":100}]",0x252513005977080869487063263668003C38402D000000295200000007000061000000FFFFFFFFFFFFFFFFFFFF00D5013648A8002603010010513333B2425B1EA2C2AA05A2C00050012703902806FFFFFF0000250000FFFFFF
2026-03-01 00:11:12.273,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487063263668"",""SerialNo"":30473,""Mileage"":20334760,""Date"":""2026-03-01T00:12:09Z"",""IopIgnition"":true,""Latitude"":-5.0631914138793945,""Longitude"":-81.059288024902344,""Altitude"":89.0999984741211,""ExternalPowerVoltage"":28.03,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":14,""Azimuth"":295,""BatteryLevel"":100}]",0x252513005977090869487063263668003C38402D000000374E00000007000061000000FFFFFFFFFFFFFFFFFFFF00D5013648A8002603010012093333B2425B1EA2C2AA05A2C00000012703902803FFFFFF0000240000FFFFFF
2026-03-01 00:12:12.106,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487063263668"",""SerialNo"":30474,""Mileage"":20334760,""Date"":""2026-03-01T00:13:09Z"",""IopIgnition"":true,""Latitude"":-5.0631914138793945,""Longitude"":-81.059288024902344,""Altitude"":89.0999984741211,""ExternalPowerVoltage"":28.03,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":19,""Azimuth"":295,""BatteryLevel"":100}]",0x2525130059770A0869487063263668003C38402D0000003A5300000007000061000000FFFFFFFFFFFFFFFFFFFF00D5013648A8002603010013093333B2425B1EA2C2AA05A2C00000012703902803FFFFFF0000240000FFFFFF
2026-03-01 00:13:11.986,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487063263668"",""SerialNo"":30475,""Mileage"":20334760,""Date"":""2026-03-01T00:14:09Z"",""IopIgnition"":true,""Latitude"":-5.0631914138793945,""Longitude"":-81.059288024902344,""Altitude"":89.0999984741211,""ExternalPowerVoltage"":28.11,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":12,""Azimuth"":295,""BatteryLevel"":100}]",0x2525130059770B0869487063263668003C38402D000000414C00000007000061000000FFFFFFFFFFFFFFFFFFFF00D5013648A8002603010014093333B2425B1EA2C2AA05A2C00000012703902811FFFFFF0000230000FFFFFF
2026-03-01 00:13:59.304,"[{""Protocol"":""0x2525"",""MessageType"":""LocationAlarmMessage"",""ProtocolHeadType"":20,""Imei"":""869487063263668"",""SerialNo"":829,""Mileage"":20334760,""Date"":""2026-03-01T00:14:56Z"",""IopIgnition"":false,""Latitude"":-5.0631914138793945,""Longitude"":-81.059288024902344,""Altitude"":89.0999984741211,""ExternalPowerVoltage"":28.14,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":13,""Azimuth"":295,""OriginalAlarmCode"":23}]",0x2525140059033D0869487063263668003C38402D0000003A4D00000007000020000000FFFFFFFFFFFFFFFFFFFF17D5013648A8992603010014563333B2425B1EA2C2AA05A2C00000012703892814FFFFFF0000230001FFFFFF
