textbox12,textbox16,EventTime,Address,EndLandmark,textbox25,Driver,textbox20
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 12:35:00 a.m.,Vía Palmira-Candelaría ,BOMBA TERPEL,00:00:15, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 1:26:53 a.m.,Vía Palmira-Candelaría ,BOMBA TERPEL,00:01:09, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 1:30:59 a.m.,"South America, Valle del Cauca",,00:04:24, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 1:42:05 a.m.,"Kr12, Candelaria, Valle Cauca",,00:01:00, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 1:45:18 a.m.,"Kr8-18, Candelaria, Valle Cauca",,00:00:48, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 1:48:06 a.m.,"Cl6-20, Candelaria, Valle Cauca",,00:00:03, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 2:05:06 a.m.,"Florida, Candelaria, Valle Cauca",,00:01:00, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 2:10:36 a.m.,"Unnamed Road, Pradera, Valle Del Cauca, Colombia",INGENIO CASTILLA,00:01:15, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 2:59:52 a.m.,"9PC6+44 Pradera, Valle del Cauca, Colombia",INGENIO CASTILLA,00:02:25, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 3:08:58 a.m.,"Km 26 de la vía Cali - Florida, , Valle del Cauca",,00:01:00, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 3:14:59 a.m.,"Km 29 de la vía Cali - Florida, , Valle del Cauca",LA INDUSTRIA 40K,00:00:54, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 3:18:00 a.m.,"Km 29 de la vía Cali - Florida, , Valle del Cauca",LA INDUSTRIA 40K,00:04:07, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 3:26:05 a.m.,"Km 26 de la vía Cali - Florida, , Valle del Cauca",,00:01:00, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 3:44:05 a.m.,"Av 25a, Candelaria, Valle Cauca",,00:00:54, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 3:50:20 a.m.,"Av 25a, Candelaria, Valle Cauca",,00:03:17, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 4:34:31 a.m.,"Km 1 de la vía Florida - Miranda, , Valle del Cauca, Colombia",,00:01:00, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 4:51:32 a.m.,"Km 27 de la vía Cali - Florida, , Valle del Cauca",,00:01:00, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 5:00:24 a.m.,"Florida, Candelaria, Valle Cauca",INGENIO CASTILLA,00:03:27, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 5:07:54 a.m.,"9PC6+34 Pradera, Valle del Cauca, Colombia",INGENIO CASTILLA,00:01:09, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 5:13:10 a.m.,"Florida, Candelaria, Valle Cauca",,00:00:13, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 5:14:23 a.m.,"Km 25 de la vía Cali - Florida, , Valle del Cauca",,00:00:41, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
CASTILLA,Unidad: KBY321 CASTIL CAMION,16/02/2026 5:36:26 a.m.,"Av 25a-77, Candelaria, Valle Cauca, Colombia",SECCION CASTILLA 3,00:00:03, ,# Stops: 87 - Max: 00:18:00 - Min: 00:00:01 - Total Stops: 02:43:07
