GroupName,UnitName,StartTime,MovingTimeSecs,MilesDriven,MaxSpeed,StopTime,textbox43,StopLengthSecs,ContactName,textbox45,textbox54,textbox28,textbox29,textbox30,textbox32,MovingTimeSecs_1,MilesDriven_1,MaxSpeed_1,StopLengthSecs_1
,Unit: FSQ694,2/07/2026 12:00 a.m.,00h:00m:00s,"0,00",0,2/07/2026 6:06:1.m.,Parked/Idle,06h:10m:59s,"Cra. 145 #145 - 10, Bogotá, Colombia",Bogotá,111151,05h:17m:58s,"105,69",39,59h:17m:32s,19h:40m:54s,"460,47",49,156h:06m:50s
,Unit: FSQ694,2/07/2026 6:12 a.m.,00h:01m:19s,"0,08",4,2/07/2026 6:13:1.m.,Idle,00h:06m:40s,"Kr145 145-32, Bogota, Cundinamarca, Colombia",Bogotá,111151,05h:17m:58s,"105,69",39,59h:17m:32s,19h:40m:54s,"460,47",49,156h:06m:50s
,Unit: FSQ694,2/07/2026 6:19 a.m.,00h:02m:20s,"0,34",8,2/07/2026 6:22:1.m.,Idle/Ign Off,00h:33m:14s,"Cl144c 141b-70, Bogota, Cundinamarca, Colombia",Cun,111151,05h:17m:58s,"105,69",39,59h:17m:32s,19h:40m:54s,"460,47",49,156h:06m:50s
,Unit: FSQ694,2/07/2026 6:52 a.m.,00h:00m:00s,"0,00",0,2/07/2026 6:52:0.m.,Parked/Idle,00h:01m:48s,"Cl. 144c #141b-5 a 141b-97, Bogotá, Bogotá, Colombia",Bogotá,111151,05h:17m:58s,"105,69",39,59h:17m:32s,19h:40m:54s,"460,47",49,156h:06m:50s
,Unit: FSQ694,2/07/2026 6:54 a.m.,00h:06m:12s,"1,75",17,2/07/2026 7:01:1.m.,Idle/Ign Off,00h:25m:22s,"Cl138 149c-54, Bogota, Cundinamarca",Cun,111151,05h:17m:58s,"105,69",39,59h:17m:32s,19h:40m:54s,"460,47",49,156h:06m:50s
,Unit: FSQ694,2/07/2026 7:25 a.m.,00h:00m:00s,"0,00",0,2/07/2026 7:25:5.m.,Parked/Idle,00h:02m:00s,"Cl138 149c-54, Bogota, Cundinamarca",Cun,111151,05h:17m:58s,"105,69",39,59h:17m:32s,19h:40m:54s,"460,47",49,156h:06m:50s
,Unit: FSQ694,2/07/2026 7:28 a.m.,00h:02m:00s,"0,82",19,2/07/2026 7:30:5.m.,Idle,00h:03m:27s,"Cl138 157-28, Bogota, Cundinamarca",Cun,111151,05h:17m:58s,"105,69",39,59h:17m:32s,19h:40m:54s,"460,47",49,156h:06m:50s
,Unit: FSQ694,2/07/2026 7:34 a.m.,00h:03m:33s,"1,24",7,2/07/2026 7:37:5.m.,Idle,00h:02m:59s,"Cl132d 154b-35, Bogota, Cundinamarca",Cun,111151,05h:17m:58s,"105,69",39,59h:17m:32s,19h:40m:54s,"460,47",49,156h:06m:50s
,Unit: FSQ694,2/07/2026 7:40 a.m.,00h:01m:01s,"0,42",11,2/07/2026 7:41:5.m.,Idle,00h:01m:00s,"Cl132d 151a-5, Bogota, Cundinamarca",Cun,111151,05h:17m:58s,"105,69",39,59h:17m:32s,19h:40m:54s,"460,47",49,156h:06m:50s
,Unit: FSQ694,2/07/2026 7:42 a.m.,00h:10m:00s,"3,23",20,2/07/2026 7:52:5.m.,Idle,00h:01m:00s,"Entrada A La Kr104-26, Bogota, Cundinamarca",Cun,111151,05h:17m:58s,"105,69",39,59h:17m:32s,19h:40m:54s,"460,47",49,156h:06m:50s
