GroupName,UnitName,StartTime,MovingTimeSecs,MilesDriven,MaxSpeed,StopTime,textbox43,StopLengthSecs,ContactName,textbox28,textbox29,textbox30,textbox32,MovingTimeSecs_1,MilesDriven_1,MaxSpeed_1,StopLengthSecs_1
,Unidad: FSQ694,19/04/2026 12:00 a.m.,00h:00m:00s,"0,00",0,20/04/2026 4:27:1.m.,Denido/Ralenti,28h:33m:31s,"Kr145 145-20, Bogota, Cundinamarca, Colombia",20h:51m:19s,"446,98",45,103h:24m:45s,53h:02m:32s,"1.348,78",49,323h:14m:26s
,Unidad: FSQ694,20/04/2026 4:34 a.m.,00h:05m:41s,"1,11",10,20/04/2026 4:40:1.m.,Ralenti,00h:04m:49s,"Cl142bis 140a-85, Bogota, Cundinamarca",20h:51m:19s,"446,98",45,103h:24m:45s,53h:02m:32s,"1.348,78",49,323h:14m:26s
,Unidad: FSQ694,20/04/2026 4:45 a.m.,00h:05m:11s,"1,35",17,20/04/2026 4:50:1.m.,Ralenti,00h:01m:59s,"Cl138 153a-7, Bogota, Cundinamarca",20h:51m:19s,"446,98",45,103h:24m:45s,53h:02m:32s,"1.348,78",49,323h:14m:26s
,Unidad: FSQ694,20/04/2026 4:52 a.m.,00h:04m:01s,"0,48",7,20/04/2026 4:56:1.m.,Ralenti,00h:01m:00s,"Carrera 158B # 137A-1 a 137A-99, Bogotá, Cundinamarca, Colombia",20h:51m:19s,"446,98",45,103h:24m:45s,53h:02m:32s,"1.348,78",49,323h:14m:26s
,Unidad: FSQ694,20/04/2026 4:57 a.m.,00h:03m:00s,"0,64",16,20/04/2026 5:00:1.m.,Ralenti,00h:04m:00s,"Calle 132D # 159-1 a 159-99, Bogotá, Cundinamarca, Colombia",20h:51m:19s,"446,98",45,103h:24m:45s,53h:02m:32s,"1.348,78",49,323h:14m:26s
,Unidad: FSQ694,20/04/2026 5:04 a.m.,00h:02m:00s,"0,45",13,20/04/2026 5:06:1.m.,Ralenti,00h:00m:50s,"Cl132d 154b-35, Bogota, Cundinamarca",20h:51m:19s,"446,98",45,103h:24m:45s,53h:02m:32s,"1.348,78",49,323h:14m:26s
,Unidad: FSQ694,20/04/2026 5:07 a.m.,00h:01m:10s,"0,23",7,20/04/2026 5:08:1.m.,Ralenti,00h:00m:31s,"Kr154 131b-15, Bogota, Cundinamarca",20h:51m:19s,"446,98",45,103h:24m:45s,53h:02m:32s,"1.348,78",49,323h:14m:26s
,Unidad: FSQ694,20/04/2026 5:08 a.m.,00h:05m:29s,"1,75",21,20/04/2026 5:14:1.m.,Ralenti,00h:00m:47s,"Entrada A La Cl80-91, Bogota, Cundinamarca",20h:51m:19s,"446,98",45,103h:24m:45s,53h:02m:32s,"1.348,78",49,323h:14m:26s
,Unidad: FSQ694,20/04/2026 5:15 a.m.,00h:07m:13s,"2,69",25,20/04/2026 5:22:1.m.,Ralenti,00h:01m:00s,"Cl80 96-52, Bogota, Cundinamarca",20h:51m:19s,"446,98",45,103h:24m:45s,53h:02m:32s,"1.348,78",49,323h:14m:26s
,Unidad: FSQ694,20/04/2026 5:23 a.m.,00h:00m:59s,"0,47",15,20/04/2026 5:24:1.m.,Ralenti,00h:01m:01s,"Cl80 94-14, Bogota, Cundinamarca",20h:51m:19s,"446,98",45,103h:24m:45s,53h:02m:32s,"1.348,78",49,323h:14m:26s
,Unidad: FSQ694,20/04/2026 5:25 a.m.,00h:11m:00s,"5,17",36,20/04/2026 5:36:1.m.,Ralenti/Ign Apagada,00h:19m:28s,"Cl75a 62-94, Bogota, Cundinamarca",20h:51m:19s,"446,98",45,103h:24m:45s,53h:02m:32s,"1.348,78",49,323h:14m:26s
,Unidad: FSQ694,20/04/2026 5:53 a.m.,00h:00m:00s,"0,00",0,20/04/2026 5:53:5.m.,Denido/Ralenti,00h:02m:28s,"Cl75a 62-94, Bogota, Cundinamarca",20h:51m:19s,"446,98",45,103h:24m:45s,53h:02m:32s,"1.348,78",49,323h:14m:26s
,Unidad: FSQ694,20/04/2026 5:57 a.m.,00h:00m:23s,"0,13",6,20/04/2026 5:57:5.m.,Ignición Apagada,00h:14m:49s,"Kr62 75b-7, Bogota, Cundinamarca",20h:51m:19s,"446,98",45,103h:24m:45s,53h:02m:32s,"1.348,78",49,323h:14m:26s
,Unidad: FSQ694,20/04/2026 6:12 a.m.,00h:00m:00s,"0,00",0,20/04/2026 6:12:3.m.,Denido/Ralenti,00h:00m:50s,"Kr62 75b-7, Bogota, Cundinamarca",20h:51m:19s,"446,98",45,103h:24m:45s,53h:02m:32s,"1.348,78",49,323h:14m:26s
,Unidad: FSQ694,20/04/2026 6:14 a.m.,00h:03m:10s,"0,84",12,20/04/2026 6:17:4.m.,Ralenti,00h:01m:00s,"Kr58 79b-62, Bogota, Cundinamarca",20h:51m:19s,"446,98",45,103h:24m:45s,53h:02m:32s,"1.348,78",49,323h:14m:26s
,Unidad: FSQ694,20/04/2026 6:18 a.m.,00h:07m:00s,"3,38",20,20/04/2026 6:25:4.m.,Ralenti,00h:01m:13s,"Kr70 114a-29, Bogota, Cundinamarca",20h:51m:19s,"446,98",45,103h:24m:45s,53h:02m:32s,"1.348,78",49,323h:14m:26s
,Unidad: FSQ694,20/04/2026 6:26 a.m.,00h:01m:47s,"0,90",11,20/04/2026 6:28:4.m.,Ralenti,00h:01m:00s,"Av Suba 120-72, Bogota, Cundinamarca",20h:51m:19s,"446,98",45,103h:24m:45s,53h:02m:32s,"1.348,78",49,323h:14m:26s
,Unidad: FSQ694,20/04/2026 6:29 a.m.,00h:07m:00s,"5,04",35,20/04/2026 6:36:4.m.,Ralenti,00h:00m:59s,"Av Suba 98b-35, Bogota, Cundinamarca",20h:51m:19s,"446,98",45,103h:24m:45s,53h:02m:32s,"1.348,78",49,323h:14m:26s
