Created,Message,Status
2026-03-25 00:18:13.033,"[{""Protocol"":""0x2525"",""MessageType"":""SignInMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":10,""Firmware"":""V1.0.1.8"",""Model"":0,""ObdBootVersion"":null,""ObdDataVersion"":null,""ObdHareware"":null,""ObdSoftware"":null,""Platform"":null,""Software"":""V0.0.0""}]",0x2525010017000A08694870644691570000030502101812
2026-03-25 00:18:13.243,"[{""Protocol"":""0x2525"",""MessageType"":""NetworkInfoMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":9,""AccessTechnology"":""CAT-1"",""Band"":""CAT-1 28"",""Date"":""2026-03-25T00:18:41Z"",""Iccid"":""89571017025023250444"",""Imsi"":""732101725325042"",""NetworkOperator"":""LaSeleNosLlama""}]",0x2525110066000908694870644691572603250018411C4C006100530065006C0065004E006F0073004C006C0061006D006100054341542D31084341542D312032380F373332313031373235333235303432143839353731303137303235303233323530343434
2026-03-25 00:50:02.485,"[{""Protocol"":""0x2525"",""MessageType"":""SignInMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":11,""Firmware"":""V1.0.1.8"",""Model"":0,""ObdBootVersion"":null,""ObdDataVersion"":null,""ObdHareware"":null,""ObdSoftware"":null,""Platform"":null,""Software"":""V0.0.0""}]",0x2525010017000B08694870644691570000030502101812
2026-03-25 00:50:02.776,"[{""Protocol"":""0x2525"",""MessageType"":""NetworkInfoMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":10,""AccessTechnology"":""CAT-1"",""Band"":""CAT-1 2"",""Date"":""2026-03-25T00:50:14Z"",""Iccid"":""89571017025023250444"",""Imsi"":""732101725325042"",""NetworkOperator"":""LaSeleNosLlama""}]",0x2525110065000A08694870644691572603250050141C4C006100530065006C0065004E006F0073004C006C0061006D006100054341542D31074341542D3120320F373332313031373235333235303432143839353731303137303235303233323530343434
2026-03-25 01:20:58.901,"[{""Protocol"":""0x2525"",""MessageType"":""SignInMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":12,""Firmware"":""V1.0.1.8"",""Model"":0,""ObdBootVersion"":null,""ObdDataVersion"":null,""ObdHareware"":null,""ObdSoftware"":null,""Platform"":null,""Software"":""V0.0.0""}]",0x2525010017000C08694870644691570000030502101812
2026-03-25 01:20:59.020,"[{""Protocol"":""0x2525"",""MessageType"":""NetworkInfoMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":11,""AccessTechnology"":""CAT-1"",""Band"":""CAT-1 7"",""Date"":""2026-03-25T01:21:27Z"",""Iccid"":""89571017025023250444"",""Imsi"":""732101725325042"",""NetworkOperator"":""LaSeleNosLlama""}]",0x2525110065000B08694870644691572603250121271C4C006100530065006C0065004E006F0073004C006C0061006D006100054341542D31074341542D3120370F373332313031373235333235303432143839353731303137303235303233323530343434
2026-03-25 01:52:37.982,"[{""Protocol"":""0x2525"",""MessageType"":""SignInMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":13,""Firmware"":""V1.0.1.8"",""Model"":0,""ObdBootVersion"":null,""ObdDataVersion"":null,""ObdHareware"":null,""ObdSoftware"":null,""Platform"":null,""Software"":""V0.0.0""}]",0x2525010017000D08694870644691570000030502101812
2026-03-25 01:52:38.113,"[{""Protocol"":""0x2525"",""MessageType"":""NetworkInfoMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":12,""AccessTechnology"":""CAT-1"",""Band"":""CAT-1 5"",""Date"":""2026-03-25T01:52:50Z"",""Iccid"":""89571017025023250444"",""Imsi"":""732101725325042"",""NetworkOperator"":""LaSeleNosLlama""}]",0x2525110065000C08694870644691572603250152501C4C006100530065006C0065004E006F0073004C006C0061006D006100054341542D31074341542D3120350F373332313031373235333235303432143839353731303137303235303233323530343434
2026-03-25 02:24:18.845,"[{""Protocol"":""0x2525"",""MessageType"":""SignInMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":14,""Firmware"":""V1.0.1.8"",""Model"":0,""ObdBootVersion"":null,""ObdDataVersion"":null,""ObdHareware"":null,""ObdSoftware"":null,""Platform"":null,""Software"":""V0.0.0""}]",0x2525010017000E08694870644691570000030502101812
2026-03-25 02:24:19.012,"[{""Protocol"":""0x2525"",""MessageType"":""NetworkInfoMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":13,""AccessTechnology"":""CAT-1"",""Band"":""CAT-1 2"",""Date"":""2026-03-25T02:24:31Z"",""Iccid"":""89571017025023250444"",""Imsi"":""732101725325042"",""NetworkOperator"":""LaSeleNosLlama""}]",0x2525110065000D08694870644691572603250224311C4C006100530065006C0065004E006F0073004C006C0061006D006100054341542D31074341542D3120320F373332313031373235333235303432143839353731303137303235303233323530343434
2026-03-25 03:22:20.403,"[{""Protocol"":""0x2525"",""MessageType"":""SignInMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":15,""Firmware"":""V1.0.1.8"",""Model"":0,""ObdBootVersion"":null,""ObdDataVersion"":null,""ObdHareware"":null,""ObdSoftware"":null,""Platform"":null,""Software"":""V0.0.0""}]",0x2525010017000F08694870644691570000030502101812
2026-03-25 03:22:20.512,"[{""Protocol"":""0x2525"",""MessageType"":""NetworkInfoMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":14,""AccessTechnology"":""CAT-1"",""Band"":""CAT-1 2"",""Date"":""2026-03-25T03:22:32Z"",""Iccid"":""89571017025023250444"",""Imsi"":""732101725325042"",""NetworkOperator"":""LaSeleNosLlama""}]",0x2525110065000E08694870644691572603250322321C4C006100530065006C0065004E006F0073004C006C0061006D006100054341542D31074341542D3120320F373332313031373235333235303432143839353731303137303235303233323530343434
2026-03-25 03:47:30.329,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064469157"",""SerialNo"":14509,""Mileage"":2791128,""Date"":""2026-03-25T03:47:42Z"",""IopIgnition"":false,""Latitude"":4.5534706115722656,""Longitude"":-74.115036010742188,""Altitude"":2598.800048828125,""ExternalPowerVoltage"":12.84,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":11,""Azimuth"":238,""BatteryLevel"":100}]",0x252513005938AD0869487064469157003C38402D000000594B00000007000020000000FFFFFFFFFFFFFFFFFFFF00D5002A96D800260325034742CD6C2245E63A94C208B69140000000EE03941284FFFFFF0000170000FFFFFF
2026-03-25 04:18:48.670,"[{""Protocol"":""0x2525"",""MessageType"":""SignInMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":16,""Firmware"":""V1.0.1.8"",""Model"":0,""ObdBootVersion"":null,""ObdDataVersion"":null,""ObdHareware"":null,""ObdSoftware"":null,""Platform"":null,""Software"":""V0.0.0""}]",0x2525010017001008694870644691570000030502101812
2026-03-25 04:18:48.772,"[{""Protocol"":""0x2525"",""MessageType"":""NetworkInfoMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":15,""AccessTechnology"":""CAT-1"",""Band"":""CAT-1 2"",""Date"":""2026-03-25T04:19:01Z"",""Iccid"":""89571017025023250444"",""Imsi"":""732101725325042"",""NetworkOperator"":""LaSeleNosLlama""}]",0x2525110065000F08694870644691572603250419011C4C006100530065006C0065004E006F0073004C006C0061006D006100054341542D31074341542D3120320F373332313031373235333235303432143839353731303137303235303233323530343434
2026-03-25 04:50:06.626,"[{""Protocol"":""0x2525"",""MessageType"":""SignInMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":17,""Firmware"":""V1.0.1.8"",""Model"":0,""ObdBootVersion"":null,""ObdDataVersion"":null,""ObdHareware"":null,""ObdSoftware"":null,""Platform"":null,""Software"":""V0.0.0""}]",0x2525010017001108694870644691570000030502101812
2026-03-25 04:50:06.737,"[{""Protocol"":""0x2525"",""MessageType"":""NetworkInfoMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":16,""AccessTechnology"":""CAT-1"",""Band"":""CAT-1 2"",""Date"":""2026-03-25T04:50:35Z"",""Iccid"":""89571017025023250444"",""Imsi"":""732101725325042"",""NetworkOperator"":""LaSeleNosLlama""}]",0x2525110065001008694870644691572603250450351C4C006100530065006C0065004E006F0073004C006C0061006D006100054341542D31074341542D3120320F373332313031373235333235303432143839353731303137303235303233323530343434
2026-03-25 05:21:37.613,"[{""Protocol"":""0x2525"",""MessageType"":""SignInMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":18,""Firmware"":""V1.0.1.8"",""Model"":0,""ObdBootVersion"":null,""ObdDataVersion"":null,""ObdHareware"":null,""ObdSoftware"":null,""Platform"":null,""Software"":""V0.0.0""}]",0x2525010017001208694870644691570000030502101812
2026-03-25 05:21:37.723,"[{""Protocol"":""0x2525"",""MessageType"":""NetworkInfoMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":17,""AccessTechnology"":""CAT-1"",""Band"":""CAT-1 2"",""Date"":""2026-03-25T05:22:06Z"",""Iccid"":""89571017025023250444"",""Imsi"":""732101725325042"",""NetworkOperator"":""LaSeleNosLlama""}]",0x2525110065001108694870644691572603250522061C4C006100530065006C0065004E006F0073004C006C0061006D006100054341542D31074341542D3120320F373332313031373235333235303432143839353731303137303235303233323530343434
2026-03-25 05:53:02.192,"[{""Protocol"":""0x2525"",""MessageType"":""SignInMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":19,""Firmware"":""V1.0.1.8"",""Model"":0,""ObdBootVersion"":null,""ObdDataVersion"":null,""ObdHareware"":null,""ObdSoftware"":null,""Platform"":null,""Software"":""V0.0.0""}]",0x2525010017001308694870644691570000030502101812
2026-03-25 05:53:02.308,"[{""Protocol"":""0x2525"",""MessageType"":""NetworkInfoMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":18,""AccessTechnology"":""CAT-1"",""Band"":""CAT-1 2"",""Date"":""2026-03-25T05:53:14Z"",""Iccid"":""89571017025023250444"",""Imsi"":""732101725325042"",""NetworkOperator"":""LaSeleNosLlama""}]",0x2525110065001208694870644691572603250553141C4C006100530065006C0065004E006F0073004C006C0061006D006100054341542D31074341542D3120320F373332313031373235333235303432143839353731303137303235303233323530343434
2026-03-25 06:24:26.569,"[{""Protocol"":""0x2525"",""MessageType"":""SignInMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":20,""Firmware"":""V1.0.1.8"",""Model"":0,""ObdBootVersion"":null,""ObdDataVersion"":null,""ObdHareware"":null,""ObdSoftware"":null,""Platform"":null,""Software"":""V0.0.0""}]",0x2525010017001408694870644691570000030502101812
2026-03-25 06:24:26.688,"[{""Protocol"":""0x2525"",""MessageType"":""NetworkInfoMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":19,""AccessTechnology"":""CAT-1"",""Band"":""CAT-1 2"",""Date"":""2026-03-25T06:24:39Z"",""Iccid"":""89571017025023250444"",""Imsi"":""732101725325042"",""NetworkOperator"":""LaSeleNosLlama""}]",0x2525110065001308694870644691572603250624391C4C006100530065006C0065004E006F0073004C006C0061006D006100054341542D31074341542D3120320F373332313031373235333235303432143839353731303137303235303233323530343434
2026-03-25 06:55:49.696,"[{""Protocol"":""0x2525"",""MessageType"":""SignInMessage"",""ProtocolHeadType"":0,""Imei"":""869487064469157"",""SerialNo"":21,""Firmware"":""V1.0.1.8"",""Model"":0,""ObdBootVersion"":null,""ObdDataVersion"":null,""ObdHareware"":null,""ObdSoftware"":null,""Platform"":null,""Software"":""V0.0.0""}]",0x2525010017001508694870644691570000030502101812
