Created,Message,Status
2026-04-21 02:49:00.314,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27883,""Mileage"":5559281,""Date"":""2026-04-21T02:49:36Z"",""IopIgnition"":false,""Latitude"":4.75508975982666,""Longitude"":-74.115776062011719,""Altitude"":2563.5,""ExternalPowerVoltage"":25.77,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":300,""BatteryLevel"":100}]",0x25251300596CEB0869487064485674003C38402D0000004F5000000007000020000000FFFFFFFFFFFFFFFFFFFF00D50054D3F10026042102493600382045473B94C2B22998400000012C03912577FFFFFF0000170000FFFFFF
2026-04-21 06:49:00.079,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27884,""Mileage"":5559281,""Date"":""2026-04-21T06:49:36Z"",""IopIgnition"":false,""Latitude"":4.75508975982666,""Longitude"":-74.115776062011719,""Altitude"":2563.5,""ExternalPowerVoltage"":25.68,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":17,""Azimuth"":300,""BatteryLevel"":100}]",0x25251300596CEC0869487064485674003C38402D000000415100000007000020000000FFFFFFFFFFFFFFFFFFFF00D50054D3F10026042106493600382045473B94C2B22998400000012C03902568FFFFFF0000130000FFFFFF
2026-04-21 09:24:34.412,"[{""Protocol"":""0x2525"",""MessageType"":""LocationAlarmMessage"",""ProtocolHeadType"":20,""Imei"":""869487064485674"",""SerialNo"":1050,""Mileage"":5559281,""Date"":""2026-04-21T09:25:10Z"",""IopIgnition"":true,""Latitude"":4.75508975982666,""Longitude"":-74.115776062011719,""Altitude"":2563.5,""ExternalPowerVoltage"":25.52,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":17,""Azimuth"":300,""OriginalAlarmCode"":22}]",0x2525140059041A0869487064485674003C38402D0000004B5100000007000061000000FFFFFFFFFFFFFFFFFFFF16D50054D3F10026042109251000382045473B94C2B22998400000012C03902552FFFFFF0000110000FFFFFF
2026-04-21 09:25:35.165,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27885,""Mileage"":5559281,""Date"":""2026-04-21T09:26:11Z"",""IopIgnition"":true,""Latitude"":4.75508975982666,""Longitude"":-74.115776062011719,""Altitude"":2563.5,""ExternalPowerVoltage"":28.17,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":14,""Azimuth"":300,""BatteryLevel"":100}]",0x25251300596CED0869487064485674003C38402D0000004F4E00000007000061000000FFFFFFFFFFFFFFFFFFFF00D50054D3F10026042109261100382045473B94C2B22998400000012C03902817FFFFFF0000110000FFFFFF
2026-04-21 09:26:35.112,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27886,""Mileage"":5559281,""Date"":""2026-04-21T09:27:11Z"",""IopIgnition"":true,""Latitude"":4.75508975982666,""Longitude"":-74.115776062011719,""Altitude"":2563.5,""ExternalPowerVoltage"":28.19,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":300,""BatteryLevel"":100}]",0x25251300596CEE0869487064485674003C38402D0000004F5000000007000061000000FFFFFFFFFFFFFFFFFFFF00D50054D3F10026042109271100382045473B94C2B22998400000012C03902819FFFFFF0000110000FFFFFF
2026-04-21 09:27:34.920,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27887,""Mileage"":5559281,""Date"":""2026-04-21T09:28:11Z"",""IopIgnition"":true,""Latitude"":4.75508975982666,""Longitude"":-74.115776062011719,""Altitude"":2563.5,""ExternalPowerVoltage"":28.16,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":300,""BatteryLevel"":100}]",0x25251300596CEF0869487064485674003C38402D0000004B5000000007000061000000FFFFFFFFFFFFFFFFFFFF00D50054D3F10026042109281100382045473B94C2B22998400000012C03902816FFFFFF0000120000FFFFFF
2026-04-21 09:28:34.809,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27888,""Mileage"":5559281,""Date"":""2026-04-21T09:29:11Z"",""IopIgnition"":true,""Latitude"":4.75508975982666,""Longitude"":-74.115776062011719,""Altitude"":2563.5,""ExternalPowerVoltage"":28.17,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":17,""Azimuth"":300,""BatteryLevel"":100}]",0x25251300596CF00869487064485674003C38402D0000004F5100000007000061000000FFFFFFFFFFFFFFFFFFFF00D50054D3F10026042109291100382045473B94C2B22998400000012C03902817FFFFFF0000110000FFFFFF
2026-04-21 09:29:34.615,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27889,""Mileage"":5559281,""Date"":""2026-04-21T09:30:11Z"",""IopIgnition"":true,""Latitude"":4.75508975982666,""Longitude"":-74.115776062011719,""Altitude"":2563.5,""ExternalPowerVoltage"":28.16,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":300,""BatteryLevel"":100}]",0x25251300596CF10869487064485674003C38402D000000525000000007000061000000FFFFFFFFFFFFFFFFFFFF00D50054D3F10026042109301100382045473B94C2B22998400000012C03902816FFFFFF0000110000FFFFFF
2026-04-21 09:30:34.520,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27890,""Mileage"":5559281,""Date"":""2026-04-21T09:31:10Z"",""IopIgnition"":true,""Latitude"":4.75508975982666,""Longitude"":-74.115776062011719,""Altitude"":2563.5,""ExternalPowerVoltage"":28.13,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":300,""BatteryLevel"":100}]",0x25251300596CF20869487064485674003C38402D0000004B5000000007000061000000FFFFFFFFFFFFFFFFFFFF00D50054D3F10026042109311000382045473B94C2B22998400000012C03902813FFFFFF0000110000FFFFFF
2026-04-21 09:31:34.321,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27891,""Mileage"":5559281,""Date"":""2026-04-21T09:32:10Z"",""IopIgnition"":true,""Latitude"":4.75508975982666,""Longitude"":-74.115776062011719,""Altitude"":2563.5,""ExternalPowerVoltage"":28.17,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":17,""Azimuth"":300,""BatteryLevel"":100}]",0x25251300596CF30869487064485674003C38402D0000004B5100000007000061000000FFFFFFFFFFFFFFFFFFFF00D50054D3F10026042109321000382045473B94C2B22998400000012C03902817FFFFFF0000110000FFFFFF
2026-04-21 09:32:18.502,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27892,""Mileage"":5559315,""Date"":""2026-04-21T09:32:54Z"",""IopIgnition"":true,""Latitude"":4.7551913261413574,""Longitude"":-74.1160659790039,""Altitude"":2561.89990234375,""ExternalPowerVoltage"":28.15,""Rpm"":-999,""Speed"":5.0,""SatelliteNumber"":17,""Azimuth"":91,""BatteryLevel"":100}]",0x25251300596CF40869487064485674003C38402D000000525100000007000061000000FFFFFFFFFFFFFFFFFFFF00D50054D41300260421093254661E20456D3B94C2872A98400050005B03902815FFFFFF0000120000FFFFFF
2026-04-21 09:33:34.320,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27893,""Mileage"":5559341,""Date"":""2026-04-21T09:34:10Z"",""IopIgnition"":true,""Latitude"":4.755159854888916,""Longitude"":-74.115837097167969,""Altitude"":2563.60009765625,""ExternalPowerVoltage"":28.2,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":110,""BatteryLevel"":100}]",0x25251300596CF50869487064485674003C38402D0000004B5000000007000061000000FFFFFFFFFFFFFFFFFFFF00D50054D42D002604210934109A3920454F3B94C2452A98400000006E03902820FFFFFF0000110000FFFFFF
2026-04-21 09:34:35.252,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27894,""Mileage"":5559341,""Date"":""2026-04-21T09:35:11Z"",""IopIgnition"":true,""Latitude"":4.755159854888916,""Longitude"":-74.115837097167969,""Altitude"":2563.60009765625,""ExternalPowerVoltage"":28.21,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":17,""Azimuth"":110,""BatteryLevel"":100}]",0x25251300596CF60869487064485674003C38402D000000485100000007000061000000FFFFFFFFFFFFFFFFFFFF00D50054D42D002604210935119A3920454F3B94C2452A98400000006E03902821FFFFFF0000120000FFFFFF
