,Created,Message,Status
0,2026-04-20 01:16:24.693,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27396,""Mileage"":5464316,""Date"":""2026-04-20T01:17:01Z"",""IopIgnition"":false,""Latitude"":4.7550487518310547,""Longitude"":-74.1157455444336,""Altitude"":2553.89990234375,""ExternalPowerVoltage"":25.2,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":178,""BatteryLevel"":100}]",0x25251300596B040869487064485674003C38402D0000004B5000000007000020000000FFFFFFFFFFFFFFFFFFFF00D5005360FC00260420011701669E1F45433B94C25C299840000000B203902520FFFFFF0000140000FFFFFF
1,2026-04-20 05:16:24.438,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27397,""Mileage"":5464316,""Date"":""2026-04-20T05:17:00Z"",""IopIgnition"":false,""Latitude"":4.7550487518310547,""Longitude"":-74.1157455444336,""Altitude"":2553.89990234375,""ExternalPowerVoltage"":25.18,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":18,""Azimuth"":178,""BatteryLevel"":100}]",0x25251300596B050869487064485674003C38402D000000445200000007000020000000FFFFFFFFFFFFFFFFFFFF00D5005360FC00260420051700669E1F45433B94C25C299840000000B203902518FFFFFF0000110000FFFFFF
2,2026-04-20 09:16:25.220,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27398,""Mileage"":5464316,""Date"":""2026-04-20T09:17:01Z"",""IopIgnition"":false,""Latitude"":4.7550487518310547,""Longitude"":-74.1157455444336,""Altitude"":2553.89990234375,""ExternalPowerVoltage"":25.15,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":13,""Azimuth"":178,""BatteryLevel"":100}]",0x25251300596B060869487064485674003C38402D000000444D00000007000020000000FFFFFFFFFFFFFFFFFFFF00D5005360FC00260420091701669E1F45433B94C25C299840000000B203902515FFFFFF00000F0000FFFFFF
3,2026-04-20 09:26:36.474,"[{""Protocol"":""0x2525"",""MessageType"":""LocationAlarmMessage"",""ProtocolHeadType"":20,""Imei"":""869487064485674"",""SerialNo"":1036,""Mileage"":5464316,""Date"":""2026-04-20T09:27:12Z"",""IopIgnition"":true,""Latitude"":4.7550487518310547,""Longitude"":-74.1157455444336,""Altitude"":2553.89990234375,""ExternalPowerVoltage"":25.08,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":14,""Azimuth"":178,""OriginalAlarmCode"":22}]",0x2525140059040C0869487064485674003C38402D000000444E00000007000061000000FFFFFFFFFFFFFFFFFFFF16D5005360FC00260420092712669E1F45433B94C25C299840000000B203902508FFFFFF00000F0000FFFFFF
4,2026-04-20 09:27:37.286,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27399,""Mileage"":5464316,""Date"":""2026-04-20T09:28:13Z"",""IopIgnition"":true,""Latitude"":4.7550487518310547,""Longitude"":-74.1157455444336,""Altitude"":2553.89990234375,""ExternalPowerVoltage"":28.14,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":14,""Azimuth"":178,""BatteryLevel"":100}]",0x25251300596B070869487064485674003C38402D000000414E00000007000061000000FFFFFFFFFFFFFFFFFFFF00D5005360FC00260420092813669E1F45433B94C25C299840000000B203902814FFFFFF00000E0000FFFFFF
5,2026-04-20 09:28:37.115,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27400,""Mileage"":5464316,""Date"":""2026-04-20T09:29:13Z"",""IopIgnition"":true,""Latitude"":4.7550487518310547,""Longitude"":-74.1157455444336,""Altitude"":2553.89990234375,""ExternalPowerVoltage"":28.16,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":178,""BatteryLevel"":100}]",0x25251300596B080869487064485674003C38402D000000484F00000007000061000000FFFFFFFFFFFFFFFFFFFF00D5005360FC00260420092913669E1F45433B94C25C299840000000B203902816FFFFFF00000E0000FFFFFF
6,2026-04-20 09:29:36.937,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27401,""Mileage"":5464316,""Date"":""2026-04-20T09:30:13Z"",""IopIgnition"":true,""Latitude"":4.7550487518310547,""Longitude"":-74.1157455444336,""Altitude"":2553.89990234375,""ExternalPowerVoltage"":28.15,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":178,""BatteryLevel"":100}]",0x25251300596B090869487064485674003C38402D0000004B4F00000007000061000000FFFFFFFFFFFFFFFFFFFF00D5005360FC00260420093013669E1F45433B94C25C299840000000B203902815FFFFFF00000F0000FFFFFF
7,2026-04-20 09:30:36.758,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27402,""Mileage"":5464316,""Date"":""2026-04-20T09:31:13Z"",""IopIgnition"":true,""Latitude"":4.7550487518310547,""Longitude"":-74.1157455444336,""Altitude"":2553.89990234375,""ExternalPowerVoltage"":28.14,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":178,""BatteryLevel"":100}]",0x25251300596B0A0869487064485674003C38402D000000444F00000007000061000000FFFFFFFFFFFFFFFFFFFF00D5005360FC00260420093113669E1F45433B94C25C299840000000B203902814FFFFFF00000F0000FFFFFF
8,2026-04-20 09:31:36.562,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27403,""Mileage"":5464316,""Date"":""2026-04-20T09:32:13Z"",""IopIgnition"":true,""Latitude"":4.7550487518310547,""Longitude"":-74.1157455444336,""Altitude"":2553.89990234375,""ExternalPowerVoltage"":28.12,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":17,""Azimuth"":178,""BatteryLevel"":100}]",0x25251300596B0B0869487064485674003C38402D0000004B5100000007000061000000FFFFFFFFFFFFFFFFFFFF00D5005360FC00260420093213669E1F45433B94C25C299840000000B203902812FFFFFF00000F0000FFFFFF
9,2026-04-20 09:32:36.375,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27404,""Mileage"":5464316,""Date"":""2026-04-20T09:33:12Z"",""IopIgnition"":true,""Latitude"":4.7550487518310547,""Longitude"":-74.1157455444336,""Altitude"":2553.89990234375,""ExternalPowerVoltage"":28.1,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":178,""BatteryLevel"":100}]",0x25251300596B0C0869487064485674003C38402D0000004B4F00000007000061000000FFFFFFFFFFFFFFFFFFFF00D5005360FC00260420093312669E1F45433B94C25C299840000000B203902810FFFFFF00000F0000FFFFFF
10,2026-04-20 09:33:37.210,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27405,""Mileage"":5464316,""Date"":""2026-04-20T09:34:13Z"",""IopIgnition"":true,""Latitude"":4.7550487518310547,""Longitude"":-74.1157455444336,""Altitude"":2553.89990234375,""ExternalPowerVoltage"":28.08,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":178,""BatteryLevel"":100}]",0x25251300596B0D0869487064485674003C38402D000000444F00000007000061000000FFFFFFFFFFFFFFFFFFFF00D5005360FC00260420093413669E1F45433B94C25C299840000000B203902808FFFFFF00000F0000FFFFFF
11,2026-04-20 09:33:56.104,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27406,""Mileage"":5464345,""Date"":""2026-04-20T09:34:32Z"",""IopIgnition"":true,""Latitude"":4.7551784515380859,""Longitude"":-74.115966796875,""Altitude"":2559.699951171875,""ExternalPowerVoltage"":28.04,""Rpm"":-999,""Speed"":5.0,""SatelliteNumber"":15,""Azimuth"":97,""BatteryLevel"":100}]",0x25251300596B0E0869487064485674003C38402D0000004F4F00000007000061000000FFFFFFFFFFFFFFFFFFFF00D5005361190026042009343233FB1F45603B94C26C2A98400050006103902804FFFFFF00000F0000FFFFFF
12,2026-04-20 09:34:58.116,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27407,""Mileage"":5464381,""Date"":""2026-04-20T09:35:34Z"",""IopIgnition"":true,""Latitude"":4.7549934387207031,""Longitude"":-74.115692138671875,""Altitude"":2565.0,""ExternalPowerVoltage"":28.04,""Rpm"":-999,""Speed"":7.0,""SatelliteNumber"":15,""Azimuth"":169,""BatteryLevel"":100}]",0x25251300596B0F0869487064485674003C38402D000000484F00000007000061000000FFFFFFFFFFFFFFFFFFFF00D50053613D00260420093534005020453C3B94C2E8289840007000A903902804FFFFFF00000F0000FFFFFF
13,2026-04-20 09:35:59.109,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27408,""Mileage"":5464540,""Date"":""2026-04-20T09:36:35Z"",""IopIgnition"":true,""Latitude"":4.7535781860351563,""Longitude"":-74.115837097167969,""Altitude"":2563.89990234375,""ExternalPowerVoltage"":28.07,""Rpm"":-999,""Speed"":9.0,""SatelliteNumber"":15,""Azimuth"":219,""BatteryLevel"":100}]",0x25251300596B100869487064485674003C38402D000000594F00000007000061000000FFFFFFFFFFFFFFFFFFFF00D5005361DC00260420093635663E20454F3B94C2501D9840009000DB03902807FFFFFF00000F0000FFFFFF
14,2026-04-20 09:36:55.216,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27409,""Mileage"":5464741,""Date"":""2026-04-20T09:37:31Z"",""IopIgnition"":true,""Latitude"":4.7517881393432617,""Longitude"":-74.115997314453125,""Altitude"":2561.300048828125,""ExternalPowerVoltage"":28.01,""Rpm"":-999,""Speed"":12.0,""SatelliteNumber"":16,""Azimuth"":102,""BatteryLevel"":99}]",0x25251300596B110869487064485674003C38402D000000645000000007000061000000FFFFFFFFFFFFFFFFFFFF00D5005362A599260420093731CD142045643B94C2A60E98400120006603892801FFFFFF0000100000FFFFFF
15,2026-04-20 09:37:45.118,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27410,""Mileage"":5464999,""Date"":""2026-04-20T09:38:21Z"",""IopIgnition"":true,""Latitude"":4.7513394355773926,""Longitude"":-74.1137466430664,""Altitude"":2561.300048828125,""ExternalPowerVoltage"":27.96,""Rpm"":-999,""Speed"":5.0,""SatelliteNumber"":17,""Azimuth"":159,""BatteryLevel"":100}]",0x25251300596B120869487064485674003C38402D000000645100000007000061000000FFFFFFFFFFFFFFFFFFFF00D5005363A700260420093821CD1420453D3A94C2F90A98400050009F03902796FFFFFF0000100000FFFFFF
16,2026-04-20 09:37:47.050,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27411,""Mileage"":5465004,""Date"":""2026-04-20T09:38:23Z"",""IopIgnition"":true,""Latitude"":4.7512936592102051,""Longitude"":-74.113754272460938,""Altitude"":2561.5,""ExternalPowerVoltage"":27.97,""Rpm"":-999,""Speed"":10.0,""SatelliteNumber"":16,""Azimuth"":216,""BatteryLevel"":100}]",0x25251300596B130869487064485674003C38402D000000645000000007000061000000FFFFFFFFFFFFFFFFFFFF00D5005363AC00260420093823001820453E3A94C2990A9840010000D803902797FFFFFF0000100000FFFFFF
17,2026-04-20 09:37:56.137,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27412,""Mileage"":5465038,""Date"":""2026-04-20T09:38:32Z"",""IopIgnition"":true,""Latitude"":4.75103235244751,""Longitude"":-74.113899230957031,""Altitude"":2561.800048828125,""ExternalPowerVoltage"":27.94,""Rpm"":-999,""Speed"":11.0,""SatelliteNumber"":17,""Azimuth"":169,""BatteryLevel"":100}]",0x25251300596B140869487064485674003C38402D000000645100000007000061000000FFFFFFFFFFFFFFFFFFFF00D5005363CE00260420093832CD1C2045513A94C275089840011000A903902794FFFFFF0000120000FFFFFF
18,2026-04-20 09:37:59.039,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27413,""Mileage"":5465050,""Date"":""2026-04-20T09:38:35Z"",""IopIgnition"":true,""Latitude"":4.750953197479248,""Longitude"":-74.113822937011719,""Altitude"":2562.39990234375,""ExternalPowerVoltage"":28.02,""Rpm"":-999,""Speed"":15.0,""SatelliteNumber"":17,""Azimuth"":108,""BatteryLevel"":100}]",0x25251300596B150869487064485674003C38402D000000645100000007000061000000FFFFFFFFFFFFFFFFFFFF00D5005363DA0026042009383566262045473A94C2CF0798400150006C03902802FFFFFF0000120000FFFFFF
19,2026-04-20 09:38:06.037,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27414,""Mileage"":5465080,""Date"":""2026-04-20T09:38:42Z"",""IopIgnition"":true,""Latitude"":4.7508234977722168,""Longitude"":-74.113601684570313,""Altitude"":2561.800048828125,""ExternalPowerVoltage"":27.98,""Rpm"":-999,""Speed"":15.0,""SatelliteNumber"":17,""Azimuth"":165,""BatteryLevel"":100}]",0x25251300596B160869487064485674003C38402D000000645100000007000061000000FFFFFFFFFFFFFFFFFFFF00D5005363F800260420093842CD1C20452A3A94C2BF069840015000A503902798FFFFFF0000120000FFFFFF
20,2026-04-20 09:38:08.045,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27415,""Mileage"":5465089,""Date"":""2026-04-20T09:38:44Z"",""IopIgnition"":true,""Latitude"":4.7507429122924805,""Longitude"":-74.113609313964844,""Altitude"":2562.10009765625,""ExternalPowerVoltage"":27.98,""Rpm"":-999,""Speed"":16.0,""SatelliteNumber"":17,""Azimuth"":212,""BatteryLevel"":100}]",0x25251300596B170869487064485674003C38402D000000645100000007000061000000FFFFFFFFFFFFFFFFFFFF00D500536401002604200938449A2120452B3A94C216069840016000D403902798FFFFFF0000120000FFFFFF
21,2026-04-20 09:39:36.924,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27416,""Mileage"":5465433,""Date"":""2026-04-20T09:40:13Z"",""IopIgnition"":true,""Latitude"":4.7481794357299805,""Longitude"":-74.115310668945313,""Altitude"":2564.800048828125,""ExternalPowerVoltage"":28.04,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":18,""Azimuth"":212,""BatteryLevel"":100}]",0x25251300596B180869487064485674003C38402D0000005D5200000007000061000000FFFFFFFFFFFFFFFFFFFF00D50053655900260420094013CD4C20450A3B94C216F19740000000D403902804FFFFFF00000F0000FFFFFF
22,2026-04-20 09:40:36.731,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27417,""Mileage"":5465433,""Date"":""2026-04-20T09:41:13Z"",""IopIgnition"":true,""Latitude"":4.7481794357299805,""Longitude"":-74.115310668945313,""Altitude"":2564.800048828125,""ExternalPowerVoltage"":28.01,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":18,""Azimuth"":212,""BatteryLevel"":100}]",0x25251300596B190869487064485674003C38402D000000565200000007000061000000FFFFFFFFFFFFFFFFFFFF00D50053655900260420094113CD4C20450A3B94C216F19740000000D403902801FFFFFF00000F0000FFFFFF
23,2026-04-20 09:41:36.528,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27418,""Mileage"":5465433,""Date"":""2026-04-20T09:42:13Z"",""IopIgnition"":true,""Latitude"":4.7481794357299805,""Longitude"":-74.115310668945313,""Altitude"":2564.800048828125,""ExternalPowerVoltage"":27.98,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":17,""Azimuth"":212,""BatteryLevel"":100}]",0x25251300596B1A0869487064485674003C38402D000000595100000007000061000000FFFFFFFFFFFFFFFFFFFF00D50053655900260420094213CD4C20450A3B94C216F19740000000D403902798FFFFFF00000F0000FFFFFF
24,2026-04-20 09:42:36.322,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27419,""Mileage"":5465433,""Date"":""2026-04-20T09:43:12Z"",""IopIgnition"":true,""Latitude"":4.7481794357299805,""Longitude"":-74.115310668945313,""Altitude"":2564.800048828125,""ExternalPowerVoltage"":27.98,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":212,""BatteryLevel"":100}]",0x25251300596B1B0869487064485674003C38402D000000565000000007000061000000FFFFFFFFFFFFFFFFFFFF00D50053655900260420094312CD4C20450A3B94C216F19740000000D403902798FFFFFF00000F0000FFFFFF
25,2026-04-20 09:43:37.123,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064485674"",""SerialNo"":27420,""Mileage"":5465433,""Date"":""2026-04-20T09:44:13Z"",""IopIgnition"":true,""Latitude"":4.7481794357299805,""Longitude"":-74.115310668945313,""Altitude"":2564.800048828125,""ExternalPowerVoltage"":28.01,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":212,""BatteryLevel"":100}]",0x25251300596B1C0869487064485674003C38402D000000565000000007000061000000FFFFFFFFFFFFFFFFFFFF00D50053655900260420094413CD4C20450A3B94C216F19740000000D403902801FFFFFF00000F0000FFFFFF
