"Unidad","Conductor","Evento","Dirección","Fecha","Tiempo (UTC-5)","Duración del Evento","Distancia (km)"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cra. 145 #14591, Bogotá, Colombia","01/06/2026","12:00:00 AM","4 hr, 18 min, 40 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cra. 145 #14591, Bogotá, Colombia","01/06/2026","4:18:40 AM","26 min, 57 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cra. 145 #14591, Bogotá, Colombia","01/06/2026","4:18:40 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Inactivo","Cra. 145 #14591, Bogotá, Colombia","01/06/2026","4:18:40 AM","10 min, 19 seg","0"
"FSQ694","Conductor FSQ694","Inicio de Viaje","Cl. 143b #141a-33 a 141a-1, Bogotá, Colombia","01/06/2026","4:32:57 AM","0 min, 0 seg","0.16"
"FSQ694","Conductor FSQ694","Fin de Viaje","Cl. 132d #159-11, Bogotá, Colombia","01/06/2026","4:45:36 AM","0 min, 0 seg","1.97"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cl. 132d #159-11, Bogotá, Colombia","01/06/2026","4:45:37 AM","15 min, 19 seg","1.97"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 132d #159-11, Bogotá, Colombia","01/06/2026","5:00:56 AM","32 min, 20 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 132d #159-11, Bogotá, Colombia","01/06/2026","5:00:56 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 132d #159-11, Bogotá, Colombia","01/06/2026","5:00:56 AM","3 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Inicio de Viaje","Cl. 132d #156a-99 a 156a-1, Bogotá, Colombia","01/06/2026","5:03:56 AM","0 min, 0 seg","0.17"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 75A #62-99 a 62-1, Bogotá, Colombia","01/06/2026","5:31:57 AM","1 min, 19 seg","6.68"
"FSQ694","Conductor FSQ694","Fin de Viaje","Cl. 75A #62-99 a 62-1, Bogotá, Colombia","01/06/2026","5:33:15 AM","0 min, 0 seg","6.68"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cl. 75A #62-99 a 62-1, Bogotá, Colombia","01/06/2026","5:33:16 AM","0 min, 0 seg","6.68"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 75A #62-99 a 62-1, Bogotá, Colombia","01/06/2026","5:56:37 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 75A #62-99 a 62-1, Bogotá, Colombia","01/06/2026","5:56:37 AM","2 min, 29 seg","0"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 75A #62-99 a 62-1, Bogotá, Colombia","01/06/2026","5:56:37 AM","2 min, 1 seg","0"
"FSQ694","Conductor FSQ694","Inicio de Viaje","Cra. 62 #75a-20 a 75a-60, Bogotá, Colombia","01/06/2026","5:58:44 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Fin de Viaje","Cl. 75b #61-82, Bogotá, Colombia","01/06/2026","5:59:05 AM","0 min, 0 seg","0.02"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cl. 75b #61-82, Bogotá, Colombia","01/06/2026","5:59:06 AM","17 min, 28 seg","0.02"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 75b #61-82, Bogotá, Colombia","01/06/2026","6:16:34 AM","44 min, 6 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 75b #61-82, Bogotá, Colombia","01/06/2026","6:16:34 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 75b #61-82, Bogotá, Colombia","01/06/2026","6:16:34 AM","1 min, 1 seg","0"
"FSQ694","Conductor FSQ694","Inicio de Viaje","Cl. 75b #61-2 a 61-98, Bogotá, Colombia","01/06/2026","6:17:35 AM","0 min, 0 seg","0.01"
"FSQ694","Conductor FSQ694","Inactivo","Tv. 127 #139b-19, Bogotá, Colombia","01/06/2026","6:52:35 AM","2 min, 32 seg","8.35"
"FSQ694","Conductor FSQ694","Fin de Viaje","Cl. 138 # 149C-8, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","01/06/2026","7:00:39 AM","0 min, 0 seg","9.39"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cl. 138 # 149C-8, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","01/06/2026","7:00:40 AM","0 min, 0 seg","9.39"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 138 # 149C-8, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","01/06/2026","7:20:01 AM","1 hr, 26 min, 41 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 138 # 149C-8, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","01/06/2026","7:20:01 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 138 # 149C-8, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","01/06/2026","7:20:01 AM","6 min, 1 seg","0"
"FSQ694","Conductor FSQ694","Inicio de Viaje","Cl. 138 #149c-35 a 149c-1, Bogotá, Colombia","01/06/2026","7:26:02 AM","0 min, 0 seg","0.01"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 138 # 157-18, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","01/06/2026","7:29:02 AM","3 min, 0 seg","0.51"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 132d #154B-5, Bogotá, Colombia","01/06/2026","7:36:02 AM","4 min, 0 seg","1.28"
"FSQ694","Conductor FSQ694","Inactivo","Cra. 104 #129c-6, Bogotá, Colombia","01/06/2026","7:53:01 AM","1 min, 1 seg","3.95"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 127 #95a-19, Bogotá, Colombia","01/06/2026","7:56:02 AM","6 min, 0 seg","4.54"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 127 #93-2 a 93-98, Bogotá, Colombia","01/06/2026","8:03:02 AM","2 min, 0 seg","4.78"
"FSQ694","Conductor FSQ694","Inactivo","17 Calle 79 #77 Bogotá, Engativá, Bogotá, Colombia","01/06/2026","8:13:01 AM","1 min, 1 seg","7.05"
"FSQ694","Conductor FSQ694","Inactivo","Cra 68B #94, Bogotá, Colombia","01/06/2026","8:25:01 AM","9 min, 19 seg","9.15"
"FSQ694","Conductor FSQ694","Fin de Viaje","Cl. 73 #74a-7, Bogotá, Colombia","01/06/2026","8:46:41 AM","0 min, 0 seg","11.97"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cl. 73 #74a-7, Bogotá, Colombia","01/06/2026","8:46:42 AM","1 hr, 26 min, 18 seg","11.97"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 73 #74a-7, Bogotá, Colombia","01/06/2026","10:13:00 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 73 #74a-7, Bogotá, Colombia","01/06/2026","10:13:00 AM","13 min, 2 seg","0"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 73 #74a-7, Bogotá, Colombia","01/06/2026","10:13:00 AM","1 min, 3 seg","0"
"FSQ694","Conductor FSQ694","Inicio de Viaje","Cra. 73a #73-2 a 73-50, Bogotá, Colombia","01/06/2026","10:14:03 AM","0 min, 0 seg","0.09"
"FSQ694","Conductor FSQ694","Fin de Viaje","Cl. 68 #63 30, Bogotá, Colombia","01/06/2026","10:26:01 AM","0 min, 0 seg","2.79"
