"Unidad","Conductor","Evento","Dirección","Fecha","Tiempo (UTC-5)","Duración del Evento","Distancia (km)"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cra. 145 #145, Bogotá, Colombia","21/04/2026","12:00:00 AM","4 hr, 25 min, 10 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cra. 145 #145, Bogotá, Colombia","21/04/2026","4:25:10 AM","1 hr, 7 min, 15 seg","0"
"FSQ694","Conductor FSQ694","Inactivo","Cra. 145 #145, Bogotá, Colombia","21/04/2026","4:25:10 AM","7 min, 44 seg","0"
"FSQ694","Conductor FSQ694","Inactivo","Cra. 145 #145, Bogotá, Colombia","21/04/2026","4:34:10 AM","5 min, 1 seg","0.02"
"FSQ694","Conductor FSQ694","Inicio de Viaje","Cra. 145 #145-37 a 145-1, Bogotá, Colombia","21/04/2026","4:39:23 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 138 #154a-13, Bogotá, Colombia","21/04/2026","4:47:11 AM","6 min, 0 seg","0.4"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 132d #159-5, Bogotá, Colombia","21/04/2026","4:56:11 AM","7 min, 0 seg","0.05"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 132d #156A-9, Bogotá, Colombia","21/04/2026","5:04:11 AM","2 min, 58 seg","0.15"
"FSQ694","Conductor FSQ694","Inactivo","50 #107-68, Bogotá, Colombia","21/04/2026","5:17:10 AM","2 min, 1 seg","0.12"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 75A #62-55, Bogotá, Colombia","21/04/2026","5:31:11 AM","1 min, 14 seg","0.08"
"FSQ694","Conductor FSQ694","Fin de Viaje","Cl. 75A #62-55, Bogotá, Colombia","21/04/2026","5:32:24 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cl. 75A #62-55, Bogotá, Colombia","21/04/2026","5:32:25 AM","23 min, 27 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 75A #62-55, Bogotá, Colombia","21/04/2026","5:55:52 AM","0 min, 27 seg","0"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cl. 75A #62-55, Bogotá, Colombia","21/04/2026","5:56:19 AM","0 min, 11 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 75A #62-55, Bogotá, Colombia","21/04/2026","5:56:30 AM","2 min, 4 seg","0"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 75A #62-55, Bogotá, Colombia","21/04/2026","5:56:30 AM","1 min, 23 seg","0"
