Created,Message,Status
2026-06-13 00:51:07.374,"[{""Protocol"":""0x2525"",""MessageType"":""SignInMessage"",""ProtocolHeadType"":0,""Imei"":""869487064573636"",""SerialNo"":82,""Firmware"":""V1.0.1.9"",""Model"":0,""ObdBootVersion"":null,""ObdDataVersion"":null,""ObdHareware"":null,""ObdSoftware"":null,""Platform"":null,""Software"":""V0.0.0""}]",0x2525010017005208694870645736360000030502101912
2026-06-13 00:51:07.677,"[{""Protocol"":""0x2525"",""MessageType"":""NetworkInfoMessage"",""ProtocolHeadType"":0,""Imei"":""869487064573636"",""SerialNo"":68,""AccessTechnology"":""CAT-1"",""Band"":""CAT-1 2"",""Date"":""2026-06-13T00:52:06Z"",""Iccid"":""89571017025023249230"",""Imsi"":""732101725324921"",""NetworkOperator"":""LaSeleNosLlama""}]",0x2525110065004408694870645736362606130052061C4C006100530065006C0065004E006F0073004C006C0061006D006100054341542D31074341542D3120320F373332313031373235333234393231143839353731303137303235303233323439323330
2026-06-13 01:35:42.696,"[{""Protocol"":""0x2525"",""MessageType"":""SignInMessage"",""ProtocolHeadType"":0,""Imei"":""869487064573636"",""SerialNo"":83,""Firmware"":""V1.0.1.9"",""Model"":0,""ObdBootVersion"":null,""ObdDataVersion"":null,""ObdHareware"":null,""ObdSoftware"":null,""Platform"":null,""Software"":""V0.0.0""}]",0x2525010017005308694870645736360000030502101912
2026-06-13 01:35:42.825,"[{""Protocol"":""0x2525"",""MessageType"":""NetworkInfoMessage"",""ProtocolHeadType"":0,""Imei"":""869487064573636"",""SerialNo"":69,""AccessTechnology"":""CAT-1"",""Band"":""CAT-1 2"",""Date"":""2026-06-13T01:35:42Z"",""Iccid"":""89571017025023249230"",""Imsi"":""732101725324921"",""NetworkOperator"":""LaSeleNosLlama""}]",0x2525110065004508694870645736362606130135421C4C006100530065006C0065004E006F0073004C006C0061006D006100054341542D31074341542D3120320F373332313031373235333234393231143839353731303137303235303233323439323330
2026-06-13 02:17:58.323,"[{""Protocol"":""0x2525"",""MessageType"":""SignInMessage"",""ProtocolHeadType"":0,""Imei"":""869487064573636"",""SerialNo"":84,""Firmware"":""V1.0.1.9"",""Model"":0,""ObdBootVersion"":null,""ObdDataVersion"":null,""ObdHareware"":null,""ObdSoftware"":null,""Platform"":null,""Software"":""V0.0.0""}]",0x2525010017005408694870645736360000030502101912
2026-06-13 02:17:58.449,"[{""Protocol"":""0x2525"",""MessageType"":""NetworkInfoMessage"",""ProtocolHeadType"":0,""Imei"":""869487064573636"",""SerialNo"":70,""AccessTechnology"":""CAT-1"",""Band"":""CAT-1 2"",""Date"":""2026-06-13T02:18:57Z"",""Iccid"":""89571017025023249230"",""Imsi"":""732101725324921"",""NetworkOperator"":""LaSeleNosLlama""}]",0x2525110065004608694870645736362606130218571C4C006100530065006C0065004E006F0073004C006C0061006D006100054341542D31074341542D3120320F373332313031373235333234393231143839353731303137303235303233323439323330
2026-06-13 03:46:34.470,"[{""Protocol"":""0x2525"",""MessageType"":""SignInMessage"",""ProtocolHeadType"":0,""Imei"":""869487064573636"",""SerialNo"":88,""Firmware"":""V1.0.1.9"",""Model"":0,""ObdBootVersion"":null,""ObdDataVersion"":null,""ObdHareware"":null,""ObdSoftware"":null,""Platform"":null,""Software"":""V0.0.0""}]",0x2525010017005808694870645736360000030502101912
2026-06-13 03:46:34.742,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064573636"",""SerialNo"":51521,""Mileage"":14017972,""Date"":""2026-06-13T03:40:45Z"",""IopIgnition"":false,""Latitude"":0.0,""Longitude"":0.0,""Altitude"":0.0,""ExternalPowerVoltage"":12.92,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":0,""Azimuth"":0,""BatteryLevel"":100,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x2525130059C9410869487064573636003C38402D000000258000000007000020000000FFFFFFFFFFFFFFFFFFFF00D500D5E5B40026061303404582DC0065000296344E4A015C0132000003971292FFFFFF00001BFFFFFFFFFF
2026-06-13 07:39:46.741,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064573636"",""SerialNo"":51522,""Mileage"":14017972,""Date"":""2026-06-13T07:40:45Z"",""IopIgnition"":false,""Latitude"":0.0,""Longitude"":0.0,""Altitude"":0.0,""ExternalPowerVoltage"":12.87,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":0,""Azimuth"":0,""BatteryLevel"":100,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x2525130059C9420869487064573636003C38402D000000220000000007000020000000FFFFFFFFFFFFFFFFFFFF00D500D5E5B40026061307404582DC0065000296344E4A015C00D0013203971287FFFFFF000018FFFFFFFFFF
2026-06-13 11:40:45.589,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064573636"",""SerialNo"":51523,""Mileage"":14017972,""Date"":""2026-06-13T11:40:45Z"",""IopIgnition"":false,""Latitude"":0.0,""Longitude"":0.0,""Altitude"":0.0,""ExternalPowerVoltage"":12.84,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":0,""Azimuth"":0,""BatteryLevel"":100,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x2525130059C9430869487064573636003C38402D000000250000000007000020000000FFFFFFFFFFFFFFFFFFFF00D500D5E5B40026061311404582DC006500033BC94E4A0132015C00F503971284FFFFFF000017FFFFFFFFFF
2026-06-13 12:23:22.888,"[{""Protocol"":""0x2525"",""MessageType"":""SignInMessage"",""ProtocolHeadType"":0,""Imei"":""869487064573636"",""SerialNo"":89,""Firmware"":""V1.0.1.9"",""Model"":0,""ObdBootVersion"":null,""ObdDataVersion"":null,""ObdHareware"":null,""ObdSoftware"":null,""Platform"":null,""Software"":""V0.0.0""}]",0x2525010017005908694870645736360000030502101912
2026-06-13 12:23:23.077,"[{""Protocol"":""0x2525"",""MessageType"":""NetworkInfoMessage"",""ProtocolHeadType"":0,""Imei"":""869487064573636"",""SerialNo"":71,""AccessTechnology"":""CAT-1"",""Band"":""CAT-1 28"",""Date"":""2026-06-13T12:24:48Z"",""Iccid"":""89571017025023249230"",""Imsi"":""732101725324921"",""NetworkOperator"":""LaSeleNosLlama""}]",0x2525110066004708694870645736362606131224481C4C006100530065006C0065004E006F0073004C006C0061006D006100054341542D31084341542D312032380F373332313031373235333234393231143839353731303137303235303233323439323330
2026-06-13 12:55:39.995,"[{""Protocol"":""0x2525"",""MessageType"":""SignInMessage"",""ProtocolHeadType"":0,""Imei"":""869487064573636"",""SerialNo"":90,""Firmware"":""V1.0.1.9"",""Model"":0,""ObdBootVersion"":null,""ObdDataVersion"":null,""ObdHareware"":null,""ObdSoftware"":null,""Platform"":null,""Software"":""V0.0.0""}]",0x2525010017005A08694870645736360000030502101912
2026-06-13 12:55:40.191,"[{""Protocol"":""0x2525"",""MessageType"":""NetworkInfoMessage"",""ProtocolHeadType"":0,""Imei"":""869487064573636"",""SerialNo"":72,""AccessTechnology"":""CAT-1"",""Band"":""CAT-1 28"",""Date"":""2026-06-13T12:57:05Z"",""Iccid"":""89571017025023249230"",""Imsi"":""732101725324921"",""NetworkOperator"":""LaSeleNosLlama""}]",0x2525110066004808694870645736362606131257051C4C006100530065006C0065004E006F0073004C006C0061006D006100054341542D31084341542D312032380F373332313031373235333234393231143839353731303137303235303233323439323330
2026-06-13 12:55:55.433,"[{""Protocol"":""0x2525"",""MessageType"":""NetworkInfoMessage"",""ProtocolHeadType"":0,""Imei"":""869487064573636"",""SerialNo"":73,""AccessTechnology"":""CAT-1"",""Band"":""CAT-1 28"",""Date"":""2026-06-13T12:57:20Z"",""Iccid"":""89571017025023249230"",""Imsi"":""732101725324921"",""NetworkOperator"":""LaSeleNosLlama""}]",0x2525110066004908694870645736362606131257201C4C006100530065006C0065004E006F0073004C006C0061006D006100054341542D31084341542D312032380F373332313031373235333234393231143839353731303137303235303233323439323330
