GroupName,UnitID,UnitName1,MaxSpeed,MilesDriven,TravelTimeSecs,Textbox3,IdleTimeSecs,Textbox6,IdleTimeSecs2,Textbox11,Textbox20,Textbox21,Textbox24,Textbox25,Textbox26,Textbox27,Textbox28
,05VF,KUK585,93,"1.388,51",1D:7H:14M:59S,"31,25",2D:6H:46M:23S,"54,77",3D:14H:1M:22S,"86,02","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,05UY,SPK834,134,"7.986,64",7D:9H:46M:15S,"177,77",7D:3H:22M:3S,"171,37",14D:13H:8M:18S,"349,14","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,19U9,SPK836,89,"6.862,95",6D:5H:7M:1S,"149,12",6D:2H:30M:9S,"146,50",12D:7H:37M:10S,"295,62","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,05UW,SSK854,87,"7.115,42",9D:2H:51M:2S,"218,85",20D:2H:34M:42S,"482,58",29D:5H:25M:44S,"701,43","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,05V5,SSK857,92,"2.702,67",3D:20H:34M:38S,"92,58",5D:0H:42M:34S,"120,71",8D:21H:17M:12S,"213,29","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,05VD,SSK913,97,"3.574,16",3D:15H:15M:6S,"87,25",5D:17H:10M:31S,"137,18",9D:8H:25M:37S,"224,43","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,1EJQ,SSL004,93,"0,00",7D:9H:43M:5S,"177,72",6D:17H:58M:22S,"161,97",14D:3H:41M:27S,"339,69","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,05VY,SSL005,84,"3.752,56",3D:10H:40M:0S,"82,67",3D:20H:59M:58S,"93,00",7D:7H:39M:58S,"175,67","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,05VM,SSL045,87,"6.213,05",5D:18H:54M:46S,"138,91",7D:10H:1M:56S,"178,03",13D:4H:56M:42S,"316,95","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,05WQ,SSL050,87,"5.036,60",5D:9H:21M:56S,"129,37",4D:12H:27M:29S,"108,46",9D:21H:49M:25S,"237,82","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,05VC,SSL051,84,"0,00",1H:50M:24S,"1,84",1D:3H:5M:44S,"27,10",1D:4H:56M:8S,"28,94","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,15RH,SSL051 VF,87,"106,22",7D:12H:23M:40S,"180,39",9D:18H:34M:21S,"234,57",17D:6H:58M:1S,"414,97","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,05UO,SSL054,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,05VS,SSL059,92,"71,42",2H:7M:5S,"2,12",5H:27M:34S,"5,46",7H:34M:39S,"7,58","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,05VL,SSL060,82,"7.007,84",8D:15H:31M:19S,"207,52",13D:5H:37M:11S,"317,62",21D:21H:8M:30S,"525,14","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,05VN,SSL121,84,"251,19",5H:50M:56S,"5,85",1D:15H:47M:34S,"39,79",1D:21H:38M:30S,"45,64","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,07TV,SSL182 ,80,"9.389,40",10D:7H:4M:54S,"247,08",11D:14H:33M:46S,"278,56",21D:21H:38M:40S,"525,64","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,05VZ,SSL235,87,"8.603,21",9D:10H:56M:52S,"226,95",12D:16H:41M:42S,"304,70",22D:3H:38M:34S,"531,64","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,0EC6,SSL237,113,"5.325,54",9D:9H:55M:21S,"225,92",6D:2H:43M:40S,"146,73",15D:12H:39M:1S,"372,65","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,12MO,SSL289,89,"0,00",14D:7H:42M:45S,"343,71",6D:19H:20M:11S,"163,34",21D:3H:2M:56S,"507,05","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,0K6C,SSL290,119,"4.415,49",5D:17H:26M:36S,"137,44",3D:11H:22M:8S,"83,37",9D:4H:48M:44S,"220,81","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,1BFY,SSL352,111,"0,00",12D:19H:9M:31S,"307,16",21D:16H:11M:6S,"520,19",34D:11H:20M:37S,"827,34","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,0SJ2,SSL354,161,"7.043,08",15D:15H:54M:31S,"375,91",7D:12H:2M:36S,"180,04",23D:3H:57M:7S,"555,95","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,1CTM,SSL356,122,"16.765,74",12D:12H:31M:21S,"300,52",6D:15H:9M:3S,"159,15",19D:3H:40M:24S,"459,67","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,0SMN,SSL362,100,"0,00",20D:1H:39M:18S,"481,66",7D:0H:29M:20S,"168,49",27D:2H:8M:38S,"650,14","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,0W0I,SSL372,89,"15.847,29",12D:18H:9M:52S,"306,16",8D:6H:46M:29S,"198,77",21D:0H:56M:21S,"504,94","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,0VDQ,SSL373,126,"16.345,54",14D:23H:6M:40S,"359,11",7D:0H:55M:45S,"168,93",22D:0H:2M:25S,"528,04","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,0VLQ,SSL375,103,"0,00",14D:18H:11M:18S,"354,19",6D:21H:15M:5S,"165,25",21D:15H:26M:23S,"519,44","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,11BQ,SSL375 VF,95,"37.241,83",14D:17H:9M:49S,"353,16",18D:7H:2M:8S,"439,04",33D:0H:11M:57S,"792,20","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,0V7U,SSL393,132,"17.277,90",21D:1H:41M:9S,"505,69",7D:16H:12M:36S,"184,21",28D:17H:53M:45S,"689,90","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,0TXP,SSL463,95,"21.207,15",15D:21H:31M:58S,"381,53",6D:11H:54M:38S,"155,91",22D:9H:26M:36S,"537,44","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,14CL,SSL466,111,"0,00",20D:7H:55M:45S,"487,93",8D:13H:27M:40S,"205,46",28D:21H:23M:25S,"693,39","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,17G1,SSL480,134,"0,00",20D:7H:7M:24S,"487,12",9D:6H:12M:6S,"222,20",29D:13H:19M:30S,"709,33","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
