,Unnamed: 5,Unnamed: 3,Date
9,"url:""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/6B3013YP/1221217351643570176/thumbnails/596000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC82QjMwMTNZUC8xMjIxMjE3MzUxNjQzNTcwMTc2L3RodW1ibmFpbHMvNTk2MDAwLmpwZyIsIkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc5NjA4MzcxNn19fV19&Signature=O7yIb6OmZ14T9jNDDVf4Bl4oX4lvGrmzN6NCuKmvlMdLH4FUFLrjFGFg3Pb5nrWDPulArWTVKx7pMkTtSM2OTWLdV2cg6UHuUGJtsTKR1kk7ADIT6Pw6jR24B5VUT5y-nn-5p-XtQn4mFhr~svY7MgNJ4C7Z-mwd84578pcU99qYAx2JGc2M7ILS0izXFd9jAcWLh~MoUmWQ-3c8xVZvSVMrHviZq~rPKbV5CvotHjbfGuwRHLgAIAQBbdvyOpuyfT9ybj2Vg9chJ6QwxmnV3fu0NZtA6LIfITthxjDgj5u~r-hU0ehcaYKXKhlhpjSFLSvLZwovXYkgzQFrE8Fa-Q__&Key-Pair-Id=K1KFJH9S65S6E2""",time:1780272512000,NaN
18,"url:""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/6B3013YP/1221219864392376320/thumbnails/1196000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC82QjMwMTNZUC8xMjIxMjE5ODY0MzkyMzc2MzIwL3RodW1ibmFpbHMvMTE5NjAwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3OTYwODQzMTZ9fX1dfQ__&Signature=iU8YuCIz8OWggIka5P9HNwcCMCtsIw6V0HNWPDa-nkvzJMWH9tXLS5q4NUZLKPndYAKv~41K5SQfoGym91cpmAtytTu9gWqhy9hE4~rMABXCZhnnKZlWIf64g20-4BwUxSVI8Kb~7bUypNxLHhFgqztTHCVJb9lgvKETxUkiyPcIJJMgOlMTbLeKr-OU4~ugRHPJKYoME1h-eRfdJwFEAW13w0ihQR~1X~HDNgJ10M-hlzfvlOvMtlK6L8vSVzYqetsLPQuWJ0EBh3FDj3Tq-I0LtUD4xPRWU57ilZRevdour8GGqt~X0Jzx7y7v5nHH1HfBgD6Mkl74lirR7Qergw__&Key-Pair-Id=K1KFJH9S65S6E2""",time:1780273112000,NaN
27,"url:""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/6B3013YP/1221222379657764864/thumbnails/1795000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC82QjMwMTNZUC8xMjIxMjIyMzc5NjU3NzY0ODY0L3RodW1ibmFpbHMvMTc5NTAwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3OTYwODQ5MTZ9fX1dfQ__&Signature=qKPfMWjmePwPpA39hukfg2gLL-wkGUWgIQCNUFlDtBf~RWWKPF23Vl6oXAX7PpG9aUgGiWJyqezl0EF9I90jKhPfXo2XsO3g~nP~we~44ZsEVuuMbuqSQcLia~E~LbbzSmxODGoGk3vxx8riEUge5ve97woZPvN2xpSxZ3jVPsOsSS5HNN0p8eRzYGKarAKUjDRFtlPvezj584UMa7ufwjdyx6~vSGxAkrsoOcswGcn~elh87PnZUopjYGMgcH~U~trn52Vb2ksTozQdEqKaR7yJb-KXklH~ryMR~2TYyD4RPgowM515BOVrQ5cKXO-DG~RRt~W-SEr1OiioedhppQ__&Key-Pair-Id=K1KFJH9S65S6E2""",time:1780273711000,NaN
40,"url:""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/6B3013YP/1221224895539716096/thumbnails/2395000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC82QjMwMTNZUC8xMjIxMjI0ODk1NTM5NzE2MDk2L3RodW1ibmFpbHMvMjM5NTAwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3OTYwODU1MTZ9fX1dfQ__&Signature=nIMFrQDLidvCml9jblKBd86-ZcBAN0kT8jb4~wbsRAMyVObRG9HipTt3GGRXs3ozDxTWKoYSL4s3ZDh9jZLQt8HUnlshTZ-5IRQYmEj3AXQpE4at-lDkJqYcBJKj-Ko6-ec10rUo-OVjVDJn9HwbENM0WM19Yw2~dDP4NCDoZwsu59VRr7u2zI0jkerV7XQWlvx0CXyU9gK41qLqcIyHOZSqtXd~HFYkr3zInPfy5rCxE0SkMVH-wYidIioxJwF9yvKvl4gYSj7XfaWBhWyJIeofvn8xVyvSqXxX-iLUB68m6SCeDsWQHNgvPt3Y3bpJwrAcLmdIgZ5rE8BQYFgSfQ__&Key-Pair-Id=K1KFJH9S65S6E2""",time:1780274311000,NaN
52,"url:""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/6B3013YP/1221227408670203904/thumbnails/2994000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC82QjMwMTNZUC8xMjIxMjI3NDA4NjcwMjAzOTA0L3RodW1ibmFpbHMvMjk5NDAwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3OTYwODYxMTR9fX1dfQ__&Signature=U7xt4Jj80M0LE5Q9q4KQujhFah-nYV-pYBdgZk8aVGspfzSyjqeP7ePYJU3vxz-wFq6pJaWr1icGmL9qiC-wsRYlHwY8xDByV6wgp~WN~bM0LH~NAaJzaSXdIVPUI9MfjSeAWtgp2dRcY9HSjy73dZI7We20Q0QfMi-ulRZhXOj2nyUECU~HPE4YI36j1YdP~95YiOjO0rWJb4bevTTVMNi~cKD4rTHLiYiFV1upNSBYBY1JomXJDBlmHBwQWYhqKF2Oocu90y~82bE9VydFLYy54cZrVO9OY8LfUJyzomG-nFpVcRYlAUOl01FYlarED0TSrOLz8lFwedIIDxJyjA__&Key-Pair-Id=K1KFJH9S65S6E2""",time:1780274910000,NaN
64,"url:""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/6B3013YP/1221229943632044032/thumbnails/3594000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC82QjMwMTNZUC8xMjIxMjI5OTQzNjMyMDQ0MDMyL3RodW1ibmFpbHMvMzU5NDAwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3OTYwODY3MjR9fX1dfQ__&Signature=APV3xICk2S35iupfsx7jPS2CEwtBpHQJ4K1uK9Z4iGEpL6AwYiztXnIHrcZ-pNiYApGK8PIehSBKoIGeYIfFu2SiJhKwCCZqSNJqMQdCUYB19qmL8HJ09HT-sM0KJXTkQ0zdXjCV6aarFLo5FncE~QA1-WznyX1SUASQg2PEAonXDQQkhCrB5geTTCTbvurJTZUNRSTQvN2CYVTH0z9bN~C5HCm31OXi6CUm-sEGAbzEW8vaDPhbd9epluQPJrubnZ2bg-~u9uE2q~58kTGi9JbDzREHVdFjrGjdd1P4fwGs4Dm~zAlHHRuAbbIZdIMh-4yZIQQZYpVscUtXSG28TQ__&Key-Pair-Id=K1KFJH9S65S6E2""",time:1780275510000,NaN
72,"url:""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/6B3013YP/1221231709471776768/thumbnails/4018000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC82QjMwMTNZUC8xMjIxMjMxNzA5NDcxNzc2NzY4L3RodW1ibmFpbHMvNDAxODAwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3OTYwODcxNDF9fX1dfQ__&Signature=iRrtJuCKaJsofIJ~V77sULXeYgA50NL23hsToEmeVMqg1T30cDg6DK1cqNBXpH2o8z~53mSR0EOaj~Y9STIgkYKnyBqd1qU2pPoPMBEss50WGnJCctoQQqJSONl0VVMIMfBtg-8AzBGeXvGOzWymyYWuSpFlYsGJ9zGtt06KKH7AX8F6QfKAs0VyinV0KaQzPV-kmis6GsvnhH4cq5dqtgBKBgBwHnpHmQNjWiLlWodw222UnaFNiAWlRmkgfG04ka9dXs5LgScRuW7ckzkMVBpL3~aBZ0BWKx8YAZwPFYpkKlTqQsApIzZn804h8flu067~Y0VfL7n44C~ieRuFLw__&Key-Pair-Id=K1KFJH9S65S6E2""",time:1780275934000,NaN
77,"url:""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/6B3013YP/1221374157447634944/thumbnails/16000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC82QjMwMTNZUC8xMjIxMzc0MTU3NDQ3NjM0OTQ0L3RodW1ibmFpbHMvMTYwMDAuanBnIiwiQ29uZGl0aW9uIjp7IkRhdGVMZXNzVGhhbiI6eyJBV1M6RXBvY2hUaW1lIjoxNzk2MTIxMTAzfX19XX0_&Signature=MHzHLcZ2Tcr0SEU0pQRKHZl00g6mcrnE1XK0S5T4LpwiRtCwUjkhc6Cw2RGz4GXLrjmogzj~d9FN8pCi~GFZAqQvyNUfGS7FDzgWjiZ1pBcyMEgfNeWX4BaTxq~OU48OVUBawm-2UV4FTxLrsTH64O4KF33L6orYTIy4XgCevNbSCiDXinUynoGQkl5kmd1hF4NPGDDQEKhIBjKIzgfZ3fd8uGozl7K3bsrzT0Tlw4payA9Xbil8DTkoQXylTWhhgpcyDvFtTCukOFwzPoYS0R73lVCuLSIJ9uxF0RJ5~fk4a~wJOpzdn8UnTabYbsc15UR0d4i1BeJeaWaIZUnMqg__&Key-Pair-Id=K1KFJH9S65S6E2""",time:1780309898000,NaN
87,"url:""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/6B3013YP/1221376670351630336/thumbnails/596000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC82QjMwMTNZUC8xMjIxMzc2NjcwMzUxNjMwMzM2L3RodW1ibmFpbHMvNTk2MDAwLmpwZyIsIkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc5NjEyMTcwN319fV19&Signature=aksBwn~Tt4HPEJEhllkHZ8z7Nw6A2uejRIp~TTgKU4VhvWCODQJzE~VQc8-j6VkBdp9j4Uf-Mpd42qM2NWQlPK~NP1Faehjc8oL5zzxSFLypWlpF4ey3tldfIwlh5bHmO7Nmer~FZnxfFJn1mUMsoNyffbzQmSA-23YOkVE6UT4tdW~v-VtFhclCyAPTFnkYOS3NsUmXL0EwmxAFTmFWZ4K0ZPI9rsEaF0Doy5kHftaBu~AYoLIgcSnNWhKTbEFLYw4QjDjmt0cQQJjj7U3H4oCNUE5J8OxevI6YCBwbLT~Wd8vvflTbpsxMWGN9dqCBUJxqZliZ0P471NSesuQzMw__&Key-Pair-Id=K1KFJH9S65S6E2""",time:1780310497000,NaN
97,"url:""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/6B3013YP/1221378118841933824/thumbnails/940000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC82QjMwMTNZUC8xMjIxMzc4MTE4ODQxOTMzODI0L3RodW1ibmFpbHMvOTQwMDAwLmpwZyIsIkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc5NjEyMjA0N319fV19&Signature=PDEzDn07RZTH1yxYhcikHARme3CTMfpDCyGJWVxs0rWkylbFPW6xL9Xc7QeLJ1xZtkldURbZcxRiMlKVAS6rKtUzjY5NTpZZriKO0yZhwgYo7pm38HGOqb0tbdVptl9lSkdCPokR~cetp7EuexW7fumIMqJgozO9FJnovoZflaA7n9ZGkwRbREMdo-htaQuXSw3iBdFrXz-2-wQD8pPZRrAMUtS65nSJT9XOZsbdviVuMkl5eBWTwXyryPZ9O47-Fgz8Kf7JnNa8RtntZ53qcFWtnFYCpDKXtm3PYNAEgTHeasAitGOHKw07J7Bou34E8ONGm19r7VckbazvXSjSzQ__&Key-Pair-Id=K1KFJH9S65S6E2""",time:1780310841000,NaN
