,Created,Message,Status,Headers
0,2026-07-01 00:40:31.247,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487063253305"",""SerialNo"":4629,""Mileage"":1281327,""Date"":""2026-07-01T00:40:26Z"",""IopIgnition"":false,""Latitude"":4.8068599700927734,""Longitude"":-75.66156005859375,""Altitude"":1533.300048828125,""ExternalPowerVoltage"":13.09,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":116,""BatteryLevel"":100,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x252513005912150869487063253305003C0E102D000000564F00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500138D2F002607010040269AA9BF44B85297C2CCD199400000007403911309FFFFFF0000210000FFFFFF,0x252513
1,2026-07-01 01:39:48.494,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487063253305"",""SerialNo"":4630,""Mileage"":1281327,""Date"":""2026-07-01T01:40:26Z"",""IopIgnition"":false,""Latitude"":4.8068599700927734,""Longitude"":-75.66156005859375,""Altitude"":1533.300048828125,""ExternalPowerVoltage"":13.09,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":116,""BatteryLevel"":100,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x252513005912160869487063253305003C0E102D000000595000000007000020000000FFFFFFFFFFFFFFFFFFFF00D500138D2F002607010140269AA9BF44B85297C2CCD199400000007403901309FFFFFF0000200000FFFFFF,0x252513
2,2026-07-01 02:39:48.268,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487063253305"",""SerialNo"":4631,""Mileage"":1281327,""Date"":""2026-07-01T02:40:26Z"",""IopIgnition"":false,""Latitude"":4.8068599700927734,""Longitude"":-75.66156005859375,""Altitude"":1533.300048828125,""ExternalPowerVoltage"":13.09,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":116,""BatteryLevel"":100,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x252513005912170869487063253305003C0E102D0000005D4F00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500138D2F002607010240269AA9BF44B85297C2CCD199400000007403901309FFFFFF00001E0000FFFFFF,0x252513
3,2026-07-01 03:38:47.376,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487063253305"",""SerialNo"":4632,""Mileage"":1281327,""Date"":""2026-07-01T03:40:25Z"",""IopIgnition"":false,""Latitude"":4.8068599700927734,""Longitude"":-75.66156005859375,""Altitude"":1533.300048828125,""ExternalPowerVoltage"":13.07,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":17,""Azimuth"":116,""BatteryLevel"":100,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x252513005912180869487063253305003C0E102D000000595100000007000020000000FFFFFFFFFFFFFFFFFFFF00D500138D2F002607010340259AA9BF44B85297C2CCD199400000007403901307FFFFFF00001D0000FFFFFF,0x252513
4,2026-07-01 04:38:47.216,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487063253305"",""SerialNo"":4633,""Mileage"":1281327,""Date"":""2026-07-01T04:40:25Z"",""IopIgnition"":false,""Latitude"":4.8068599700927734,""Longitude"":-75.66156005859375,""Altitude"":1533.300048828125,""ExternalPowerVoltage"":13.06,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":14,""Azimuth"":116,""BatteryLevel"":100,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x252513005912190869487063253305003C0E102D000000524E00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500138D2F002607010440259AA9BF44B85297C2CCD199400000007403901306FFFFFF00001C0000FFFFFF,0x252513
5,2026-07-01 05:38:48.180,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487063253305"",""SerialNo"":4634,""Mileage"":1281327,""Date"":""2026-07-01T05:40:26Z"",""IopIgnition"":false,""Latitude"":4.8068599700927734,""Longitude"":-75.66156005859375,""Altitude"":1533.300048828125,""ExternalPowerVoltage"":13.05,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":116,""BatteryLevel"":100,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x2525130059121A0869487063253305003C0E102D000000595000000007000020000000FFFFFFFFFFFFFFFFFFFF00D500138D2F002607010540269AA9BF44B85297C2CCD199400000007403901305FFFFFF00001C0000FFFFFF,0x252513
6,2026-07-01 06:38:48.202,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487063253305"",""SerialNo"":4635,""Mileage"":1281327,""Date"":""2026-07-01T06:40:26Z"",""IopIgnition"":false,""Latitude"":4.8068599700927734,""Longitude"":-75.66156005859375,""Altitude"":1533.300048828125,""ExternalPowerVoltage"":13.03,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":15,""Azimuth"":116,""BatteryLevel"":100,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x2525130059121B0869487063253305003C0E102D0000004B4F00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500138D2F002607010640269AA9BF44B85297C2CCD199400000007403901303FFFFFF00001B0000FFFFFF,0x252513
7,2026-07-01 07:39:48.601,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487063253305"",""SerialNo"":4636,""Mileage"":1281327,""Date"":""2026-07-01T07:40:26Z"",""IopIgnition"":false,""Latitude"":4.8068599700927734,""Longitude"":-75.66156005859375,""Altitude"":1533.300048828125,""ExternalPowerVoltage"":13.03,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":13,""Azimuth"":116,""BatteryLevel"":100,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x2525130059121C0869487063253305003C0E102D000000524D00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500138D2F002607010740269AA9BF44B85297C2CCD199400000007403901303FFFFFF00001B0000FFFFFF,0x252513
8,2026-07-01 08:38:48.007,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487063253305"",""SerialNo"":4637,""Mileage"":1281327,""Date"":""2026-07-01T08:40:26Z"",""IopIgnition"":false,""Latitude"":4.8068599700927734,""Longitude"":-75.66156005859375,""Altitude"":1533.300048828125,""ExternalPowerVoltage"":13.03,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":13,""Azimuth"":116,""BatteryLevel"":100,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x2525130059121D0869487063253305003C0E102D0000004F4D00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500138D2F002607010840269AA9BF44B85297C2CCD199400000007403901303FFFFFF00001A0000FFFFFF,0x252513
9,2026-07-01 09:39:48.236,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487063253305"",""SerialNo"":4638,""Mileage"":1281327,""Date"":""2026-07-01T09:40:26Z"",""IopIgnition"":false,""Latitude"":4.8068599700927734,""Longitude"":-75.66156005859375,""Altitude"":1533.300048828125,""ExternalPowerVoltage"":13.02,""Rpm"":-999,""Speed"":0.0,""SatelliteNumber"":14,""Azimuth"":116,""BatteryLevel"":100,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":0,""AccumulatingFuelConsumption"":0,""ThrottlePosition"":0}]",0x2525130059121E0869487063253305003C0E102D0000004B4E00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500138D2F002607010940269AA9BF44B85297C2CCD199400000007403901302FFFFFF00001A0000FFFFFF,0x252513
