epoch,datetime,speed,autosnapshot
1784905628.0,2026-07-24 10:07:08.000,0.043,"url:""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B52521B/1240650055573184512/thumbnails/6000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUyNTIxQi8xMjQwNjUwMDU1NTczMTg0NTEyL3RodW1ibmFpbHMvNjAwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE4MDA3MTY4NDN9fX1dfQ__&Signature=Dz~vSbCPci8sAv03UAHD~4ySFxBN0Nev3xlIYaOKdk6WjxbOH1cwD5pgcVxkdC4KvCm3dG6F5cx5Ugsae5GkWVuIW8F4V5jR-x5lLo3UyiGmxm0wjp5YsctomTFNkaXZ9l~Dy5hSOdcpqa8IUD9niJjSW8uoRHa3xgSlCY-Nu0s3ddt8txPEp~GU5bzngw7uA4-7-IXhM2VgVp-NBrozejWJdYtBpz859o2fv4l1p9U~gHnEDJnaK1W-Zi9JuFskUPxEKteQYTkshJ2N9AcjeRNCCW9knooJb9NxpBRNkmDokQxiqjKHbmIR4JHRhHJc0duCRNbE2EduooXXvefjFw__&Key-Pair-Id=K1KFJH9S65S6E2"""
1784906226.0,2026-07-24 10:17:06.000,0.033,"url:""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B52521B/1240652568133246976/thumbnails/604000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUyNTIxQi8xMjQwNjUyNTY4MTMzMjQ2OTc2L3RodW1ibmFpbHMvNjA0MDAwLmpwZyIsIkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTgwMDcxNzQzOH19fV19&Signature=dZTOBBQ2baI0FXaq5D5OWzl40pMuaM2kAOjfszE58wR3F44XObmp1l4-MPYqJHNdg2oSf-Hji3Bbyg4Enfvzgh5HRO5n4A4ooDwaEmsbnscOcPqIrmMa0P-2vwVsiuBYo-tNL9H~tovAEGRFN5GuvpLBQ6VUO9Fk7pwZKC8PMxurOLokycLVdKOxGGA-T84tRFg-krgJ4EPSyTPKpffRc6T6NiXYnBoKjIuaP4NI5J4KsjnHRCCgOPxp7LqAJio3CNi2NuXiCpxou9ynTT2d2GidnPCEwQ5H-gz4ML4erxz3RLEDFGC95BX4uLq6x0H-9~ezsV9mDKXysIuOmByTyA__&Key-Pair-Id=K1KFJH9S65S6E2"""
1784906826.266,2026-07-24 10:27:06.266,52.789,"url:""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B52521B/1240655084891807744/thumbnails/1204266.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUyNTIxQi8xMjQwNjU1MDg0ODkxODA3NzQ0L3RodW1ibmFpbHMvMTIwNDI2Ni5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE4MDA3MTgwMzd9fX1dfQ__&Signature=UBEwRq1lwoUbUyl7va83IVej8qdY~zX3nsLgNoHbfqjnpnZkyyOpJwTsc77u1UbloYxj61oKES1FzTK02K6UeA19ArPCrC-26-4uj01wYnK01LtZ5~dGoxQvCHX2FLTioJrIebnSAQzBhilyunDo90WqcUfq68aza1FsXRH1CgXhj3ho6Jf5VP8gDGWTjygn4O~0KCNfPHu-BvR9JEzZXNWjN6HWuslcl3uZUrcQNh0UKPPsJhCDmpKAGv1TIE-QiJr41hSHzDp7XIzMvcEN6Eid9zuxQjeM7dWdkdHAcROSUcOFDx39BGJy6iyU8VFxUDZNvPz4bMFFuLVPJUY6tQ__&Key-Pair-Id=K1KFJH9S65S6E2"""
1784907426.6,2026-07-24 10:37:06.600,1.228,"url:""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B52521B/1240657597762248704/thumbnails/1804600.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUyNTIxQi8xMjQwNjU3NTk3NzYyMjQ4NzA0L3RodW1ibmFpbHMvMTgwNDYwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE4MDA3MTg2MzZ9fX1dfQ__&Signature=fQrnXRW1MTWEORY1n4oCr11F08~8sw0-l8fXzvE5VsVAzyXISyefzMoh02vG~OQMjaBOR3lIA4WrEdshXEgpLjSR73RilIZdjY1ocjfS4GQGEaKkFzPb2SueA8~V7kg6QzPOwVAq6DmuTPwVGdpTleyRnGzieWRk69uLqWbG911kXfODUJQOwohi5K6x0Us3UNYFnhtDab6JhTZ64stPHw~ENxLhIAagbbB6OJj~RU-uX0mUVY9~Ege~-xi99UxjXwqEF17k~hRle18NIFBYL0tH~mlYo6Ezl4DiHwFn43t60F1i3jljnO-MFKlfOs4H8iGqPjQUoGFW89HHTwGHiQ__&Key-Pair-Id=K1KFJH9S65S6E2"""
1784908026.6,2026-07-24 10:47:06.600,0.019,"url:""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B52521B/1240660114856353792/thumbnails/2404600.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUyNTIxQi8xMjQwNjYwMTE0ODU2MzUzNzkyL3RodW1ibmFpbHMvMjQwNDYwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE4MDA3MTkyMzd9fX1dfQ__&Signature=JbpXJO~NRGA3DNvUuGY19xx3vff57obHNczmUbb~~zd1RS~mQwOuPVWp3EebUGesH8MQVVFOs-VZEtn49x1fBPqvRYGVTBsNUuY3IUUhnjFZE6gnTyZ2SAXji26QnzYWsPjjN~3ZU7mZlLro3g0gGxTLx0x5H1XU9ptkm~WaLFR27CMbfzyZ3QVoBBBNwHFkg1EkUsUuQiO0UKItffVshC~LeZuH7en1iVzE0UdL6HRosmLooyK-FaquFMK~swY-0qiGcx3eIiPC5lzMzQFR6mhhZv0s3T2PuzjmBy3wYzL56YmO~WqQ12ooZ6C9T-hWJ9zx0G8leW4FVguAB3oIsQ__&Key-Pair-Id=K1KFJH9S65S6E2"""
1784908626.8,2026-07-24 10:57:06.800,64.153,"url:""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B52521B/1240662631677829120/thumbnails/3004800.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUyNTIxQi8xMjQwNjYyNjMxNjc3ODI5MTIwL3RodW1ibmFpbHMvMzAwNDgwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE4MDA3MTk4Mzd9fX1dfQ__&Signature=TGXmwHiorvXXy6lXWgBEisLpYqiKxpBiNMA0goRWRjiZTKQYuYS4zzXFOqYqR49oZPb~gOdcjl2khwcJ7YU1XeMqYNNHdnXavlGisalaIrltz2s2Gf-NN2C8BtiMwmLR~ENfKxpl1Ls7GsljeZV2tIbC0Ua3DlLIY~PshGGEZwrd2vdqCL~3XylKyfk0JrHUszPODWguJ4cNEieasKs3xqI1eWY3APdJNWBjBcokvn2YAetA56OlHKwa4vNBo8c1crJss2Okh371tNnxlQwcur9yjNAfrYPFd~eh9Sc5AbU4qVMjt-KhsyT1hfDYNrSAxvoXqD97~WU2xwTQ~tiLtg__&Key-Pair-Id=K1KFJH9S65S6E2"""
1784909226.8,2026-07-24 11:07:06.800,45.757,"url:""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B52521B/1240665146276323328/thumbnails/3604800.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUyNTIxQi8xMjQwNjY1MTQ2Mjc2MzIzMzI4L3RodW1ibmFpbHMvMzYwNDgwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE4MDA3MjA0MzZ9fX1dfQ__&Signature=GlXNTktX7dseKd0YoiNqTXCZ1VUYiDswaXGLSZcI02Eew6~YbxenS4vQagUYlnkHyQgV4Ggf74OCniXqQEIJBUg-O5r9n8ohlWZZtPTm~vXkI6aDKGSwsWTFf~9a~CFahqIxJggMP7zt6y9h1eieS5VDZyVUeq~CW7UThP40QisYCQZW3y5HdZeWKwG81fsI9~G2eLURQ6QoW5vgIPMgdTBE8Lm8LIEWYOvbfD2D3I9AEUthWzrWG41dtdAIxdaB-khFVgF4W~CwYt-HySqiKzayVTj-qPl~aY51Tbd~JkuXEXHhtFyzyPpj5xZmf6QZtJ4FlWyYJcRm4-DYJit7Cg__&Key-Pair-Id=K1KFJH9S65S6E2"""
1784909825.0,2026-07-24 11:17:05.000,22.833,"url:""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B52521B/1240667663697584128/thumbnails/4203000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUyNTIxQi8xMjQwNjY3NjYzNjk3NTg0MTI4L3RodW1ibmFpbHMvNDIwMzAwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE4MDA3MjEwMzd9fX1dfQ__&Signature=fnUTIitm31yzSmuP7ycwnHrXMU5FtCKOlX4xaM0ghlQlrwet-e6mJ0uDeEJ0d~N~eQbw-ARUslHsNlLtZumVe5I-GxfmnJx1LqTP1QUu~uIrDU~RHqt6tOX6evJuJVDIMGBNA5atR2qZluEVuOIiGg7cVS9pZsRxwT2gtkAqTrrksd8KdMwd9lGDd26NhQZAYL6Vga4A31Z2StqP5X9-dveneKoFjnXHrUHV5haMdC~PQkNEcgfLYf6fg-srJCFoptR3ZUHyHk29~8c~DRv48PRzVQoOLSAFoSKZ5CERaeNPrrB7Hkdas0Dr4IHW5p9eehr7Tg8ELajF5Z9hXMEZtg__&Key-Pair-Id=K1KFJH9S65S6E2"""
1784910105.0,2026-07-24 11:21:45.000,0.03,"url:""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B52521B/1240668841412009984/thumbnails/4483000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUyNTIxQi8xMjQwNjY4ODQxNDEyMDA5OTg0L3RodW1ibmFpbHMvNDQ4MzAwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE4MDA3MjEzMTd9fX1dfQ__&Signature=PC8A4Re18t-lkhm-gSxYrjYatRnxCo5xgRp-f0MwN0Dz~zQBdgO1TCKEQR3GCxdVjnVKPihFqkWWUpBzm520NhgqTpNCpLgQTYygcc0~Lt4pDxwzBbiJ7v9SnYNDfIp-U3yGcd9npcOFkYDOYnS2FmXxP1cHfLV3KTi11LaOnwkmcn2sNDBsOwV3hUP-immlRNsIfZWGHykYYor6W~4M2~Hx2TcTNZl577vpwyhJ3j45Hz~YWRNiPMx9S2~7CBqLYP~i76lCiPBbznlCEqDH3m9yZP1EBu6IYVCTSI2MYUItnCHMAZYwXyNPDtKR0EAef9Ay3tABOCUu16BKT97Uhw__&Key-Pair-Id=K1KFJH9S65S6E2"""
1784912222.0,2026-07-24 11:57:02.000,0.037,"url:""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/8B52521B/1240677711765184512/thumbnails/6000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC84QjUyNTIxQi8xMjQwNjc3NzExNzY1MTg0NTEyL3RodW1ibmFpbHMvNjAwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE4MDA3MjM0MzJ9fX1dfQ__&Signature=NPJ~VVnHwU-QC~sDv31I0qqAL9lciF9gCYrTD7jj8tngFqXBrp4BHkZX~lvbsgYTVBbVxd0MhCZcr7jTjJxRAXQWczRH9BFpWezI5cfLJ9hSlX7pai9YOD5c1Kk5udbPR7QX2cBkwx8ccgVrX~jFpWJ9YFidsRSqoac-duJcWBO47OfNZN7e48DC5c2UJI~839sS30ddZ9Fy9VFFlyynhlT75E1XmjP6EAEPD5eLvXxxdAyIilz14IwsKQPfJWO3ueITuNCaUMkFy6Wa3CrAmXLbzUxXmnPJmbniPLFGgP3BuGMy02Ay9nWwzjnYHqyeMsB7ffMDSu0Nb5Jic-X0MQ__&Key-Pair-Id=K1KFJH9S65S6E2"""
