,Value fs01,Dates fs01,Sequence fs01
0,997,2026-03-14 00:02:05.495,3C9A
1,997,2026-03-14 00:02:05.495,3C9A
2,997,2026-03-14 00:02:05.495,3C9A
3,997,2026-03-14 00:02:05.495,3C9A
4,997,2026-03-14 00:07:47.962,3C9B
5,997,2026-03-14 00:07:47.962,3C9B
6,997,2026-03-14 00:07:47.962,3C9B
7,997,2026-03-14 00:07:47.962,3C9B
8,997,2026-03-14 00:13:10.331,3C9C
9,997,2026-03-14 00:13:10.331,3C9C
10,997,2026-03-14 00:13:10.331,3C9C
11,997,2026-03-14 00:13:10.331,3C9C
12,998,2026-03-14 00:18:30.564,3C9D
13,998,2026-03-14 00:18:30.564,3C9D
14,998,2026-03-14 00:18:30.564,3C9D
15,998,2026-03-14 00:18:30.564,3C9D
16,998,2026-03-14 00:23:48.065,3C9E
17,998,2026-03-14 00:23:48.065,3C9E
18,998,2026-03-14 00:23:48.065,3C9E
19,998,2026-03-14 00:23:48.065,3C9E
20,998,2026-03-14 00:28:45.698,3C9F
21,998,2026-03-14 00:28:45.698,3C9F
22,998,2026-03-14 00:28:45.698,3C9F
23,998,2026-03-14 00:28:45.698,3C9F
24,999,2026-03-14 00:34:30.750,3CA0
25,999,2026-03-14 00:34:30.750,3CA0
26,999,2026-03-14 00:34:30.750,3CA0
27,999,2026-03-14 00:34:30.750,3CA0
28,999,2026-03-14 00:39:25.764,3CA1
29,999,2026-03-14 00:39:25.764,3CA1
30,999,2026-03-14 00:39:25.764,3CA1
31,999,2026-03-14 00:39:25.764,3CA1
32,999,2026-03-14 00:45:10.434,3CA2
33,999,2026-03-14 00:45:10.434,3CA2
34,999,2026-03-14 00:45:10.434,3CA2
35,999,2026-03-14 00:45:10.434,3CA2
36,999,2026-03-14 00:50:28.165,3CA3
37,999,2026-03-14 00:50:28.165,3CA3
38,999,2026-03-14 00:50:28.165,3CA3
39,999,2026-03-14 00:50:28.165,3CA3
40,1000,2026-03-14 00:55:50.838,3CA4
41,1000,2026-03-14 00:55:50.838,3CA4
42,1000,2026-03-14 00:55:50.838,3CA4
43,1000,2026-03-14 00:55:50.838,3CA4
44,1000,2026-03-14 01:01:08.217,3CA5
45,1000,2026-03-14 01:01:08.217,3CA5
46,1000,2026-03-14 01:01:08.217,3CA5
47,1000,2026-03-14 01:01:08.217,3CA5
48,1000,2026-03-14 01:06:30.916,3CA8
49,1000,2026-03-14 01:06:30.916,3CA8
50,1000,2026-03-14 01:06:30.916,3CA8
51,1000,2026-03-14 01:06:30.916,3CA8
52,1000,2026-03-14 01:11:50.956,3CA9
53,1000,2026-03-14 01:11:50.956,3CA9
54,1000,2026-03-14 01:11:50.956,3CA9
55,1000,2026-03-14 01:11:50.956,3CA9
56,1000,2026-03-14 01:16:45.973,3CAB
57,1000,2026-03-14 01:16:45.973,3CAB
58,1000,2026-03-14 01:16:45.973,3CAB
59,1000,2026-03-14 01:16:45.973,3CAB
60,1001,2026-03-14 01:22:30.999,3CAC
61,1001,2026-03-14 01:22:30.999,3CAC
62,1001,2026-03-14 01:22:30.999,3CAC
63,1001,2026-03-14 01:22:30.999,3CAC
64,1001,2026-03-14 01:27:51.079,3CAD
65,1001,2026-03-14 01:27:51.079,3CAD
66,1001,2026-03-14 01:27:51.079,3CAD
67,1001,2026-03-14 01:27:51.079,3CAD
68,1001,2026-03-14 01:33:23.174,3CAE
69,1001,2026-03-14 01:33:23.174,3CAE
70,1001,2026-03-14 01:33:23.174,3CAE
71,1001,2026-03-14 01:33:23.174,3CAE
72,1001,2026-03-14 01:38:28.428,3CAF
73,1001,2026-03-14 01:38:28.428,3CAF
74,1001,2026-03-14 01:38:28.428,3CAF
75,1001,2026-03-14 01:38:28.428,3CAF
76,1001,2026-03-14 01:43:51.115,3CB0
77,1001,2026-03-14 01:43:51.115,3CB0
78,1001,2026-03-14 01:43:51.115,3CB0
79,1001,2026-03-14 01:43:51.115,3CB0
80,1001,2026-03-14 01:49:11.149,3CB1
81,1001,2026-03-14 01:49:11.149,3CB1
82,1001,2026-03-14 01:49:11.149,3CB1
83,1001,2026-03-14 01:49:11.149,3CB1
84,1001,2026-03-14 01:54:31.208,3CB2
85,1001,2026-03-14 01:54:31.208,3CB2
86,1001,2026-03-14 01:54:31.208,3CB2
87,1001,2026-03-14 01:54:31.208,3CB2
88,1002,2026-03-14 01:59:51.278,3CB3
89,1002,2026-03-14 01:59:51.278,3CB3
90,1002,2026-03-14 01:59:51.278,3CB3
91,1002,2026-03-14 01:59:51.278,3CB3
92,1002,2026-03-14 02:05:08.608,3CB4
93,1002,2026-03-14 02:05:08.608,3CB4
94,1002,2026-03-14 02:05:08.608,3CB4
95,1002,2026-03-14 02:05:08.608,3CB4
96,1002,2026-03-14 02:10:28.627,3CB5
97,1002,2026-03-14 02:10:28.627,3CB5
98,1002,2026-03-14 02:10:28.627,3CB5
99,1002,2026-03-14 02:10:28.627,3CB5
100,1002,2026-03-14 02:15:26.261,3CB6
101,1002,2026-03-14 02:15:26.261,3CB6
