GroupName,UnitName,StartTime,MovingTimeSecs,MilesDriven,MaxSpeed,StopTime,textbox43,StopLengthSecs,ContactName,textbox45,textbox54,textbox28,textbox29,textbox30,textbox32,MovingTimeSecs_1,MilesDriven_1,MaxSpeed_1,StopLengthSecs_1
,Unit: 1EYC,29/05/2026 12:00 a.m.,00h:00m:00s,"0,00",0,29/05/2026 7:51:3.m.,Parked/Idle,07h:56m:20s,"Kr2b 71-8, Cali, Valle Cauca",Vca,760003,11h:50m:44s,"168,17",48,164h:45m:50s,11h:50m:44s,"168,17",48,164h:45m:50s
,Unit: 1EYC,29/05/2026 7:56 a.m.,00h:00m:56s,"0,10",11,29/05/2026 7:57:3.m.,Idle,00h:00m:05s,"Cl73 2a-21, Cali, Valle Cauca",Vca,760003,11h:50m:44s,"168,17",48,164h:45m:50s,11h:50m:44s,"168,17",48,164h:45m:50s
,Unit: 1EYC,29/05/2026 7:57 a.m.,00h:02m:51s,"0,57",25,29/05/2026 8:00:2.m.,Idle,00h:00m:54s,"Kr1b2 73a-41, Cali, Valle Cauca",Vca,760003,11h:50m:44s,"168,17",48,164h:45m:50s,11h:50m:44s,"168,17",48,164h:45m:50s
,Unit: 1EYC,29/05/2026 8:01 a.m.,00h:02m:00s,"0,27",14,29/05/2026 8:03:2.m.,Idle,00h:00m:55s,"Kr1d 73-62, Cali, Valle Cauca",Vca,760003,11h:50m:44s,"168,17",48,164h:45m:50s,11h:50m:44s,"168,17",48,164h:45m:50s
,Unit: 1EYC,29/05/2026 8:04 a.m.,00h:00m:55s,"0,25",22,29/05/2026 8:05:1.m.,Idle,00h:01m:21s,"Kr1d 70bis, Cali, Valle Cauca",Vca,760003,11h:50m:44s,"168,17",48,164h:45m:50s,11h:50m:44s,"168,17",48,164h:45m:50s
,Unit: 1EYC,29/05/2026 8:06 a.m.,00h:00m:54s,"0,42",32,29/05/2026 8:07:2.m.,Idle,00h:01m:45s,"Kr1d 62a-55, Cali, Valle Cauca",Vca,760003,11h:50m:44s,"168,17",48,164h:45m:50s,11h:50m:44s,"168,17",48,164h:45m:50s
,Unit: 1EYC,29/05/2026 8:09 a.m.,00h:00m:50s,"0,43",31,29/05/2026 8:10:0.m.,Idle,00h:00m:50s,"Kr1d 56-32, Cali, Valle Cauca",Vca,760003,11h:50m:44s,"168,17",48,164h:45m:50s,11h:50m:44s,"168,17",48,164h:45m:50s
,Unit: 1EYC,29/05/2026 8:10 a.m.,00h:00m:50s,"0,24",17,29/05/2026 8:11:4.m.,Idle,00h:01m:40s,"Kr1d 52-37, Cali, Valle Cauca",Vca,760003,11h:50m:44s,"168,17",48,164h:45m:50s,11h:50m:44s,"168,17",48,164h:45m:50s
,Unit: 1EYC,29/05/2026 8:13 a.m.,00h:01m:40s,"0,53",29,29/05/2026 8:15:0.m.,Idle,00h:01m:03s,"Cl44 1-47, Cali, Valle Cauca",Vca,760003,11h:50m:44s,"168,17",48,164h:45m:50s,11h:50m:44s,"168,17",48,164h:45m:50s
,Unit: 1EYC,29/05/2026 8:16 a.m.,00h:00m:37s,"0,17",21,29/05/2026 8:16:4.m.,Idle,00h:02m:10s,"Av Colombia 42-50, Cali, Valle Cauca",Vca,760003,11h:50m:44s,"168,17",48,164h:45m:50s,11h:50m:44s,"168,17",48,164h:45m:50s
,Unit: 1EYC,29/05/2026 8:18 a.m.,00h:01m:54s,"0,27",19,29/05/2026 8:20:4.m.,Idle,00h:00m:27s,"Kr5 43an-48, Cali, Valle Cauca",Vca,760003,11h:50m:44s,"168,17",48,164h:45m:50s,11h:50m:44s,"168,17",48,164h:45m:50s
,Unit: 1EYC,29/05/2026 8:21 a.m.,00h:01m:59s,"0,46",19,29/05/2026 8:23:1.m.,Idle,00h:01m:48s,"Cl49n 3-59, Cali, Valle Cauca",Vca,760003,11h:50m:44s,"168,17",48,164h:45m:50s,11h:50m:44s,"168,17",48,164h:45m:50s
,Unit: 1EYC,29/05/2026 8:25 a.m.,00h:00m:27s,"0,07",6,29/05/2026 8:25:2.m.,Idle,00h:00m:21s,"Cl49n 1-53, Cali, Valle Cauca, Colombia",Vca,760003,11h:50m:44s,"168,17",48,164h:45m:50s,11h:50m:44s,"168,17",48,164h:45m:50s
,Unit: 1EYC,29/05/2026 8:25 a.m.,00h:00m:59s,"0,34",25,29/05/2026 8:26:4.m.,Idle,00h:00m:27s,"Av Colombia 44-30, Cali, Valle Cauca",Vca,760003,11h:50m:44s,"168,17",48,164h:45m:50s,11h:50m:44s,"168,17",48,164h:45m:50s
,Unit: 1EYC,29/05/2026 8:27 a.m.,00h:01m:30s,"0,37",26,29/05/2026 8:28:4.m.,Idle,00h:00m:54s,"Av Colombia-65, Cali, Valle Cauca",Vca,760003,11h:50m:44s,"168,17",48,164h:45m:50s,11h:50m:44s,"168,17",48,164h:45m:50s
,Unit: 1EYC,29/05/2026 8:29 a.m.,00h:00m:54s,"0,06",2,29/05/2026 8:30:3.m.,Idle,00h:00m:55s,"Av Colombia 38-31, Cali, Valle Cauca",Vca,760003,11h:50m:44s,"168,17",48,164h:45m:50s,11h:50m:44s,"168,17",48,164h:45m:50s
,Unit: 1EYC,29/05/2026 8:31 a.m.,00h:00m:27s,"0,06",16,29/05/2026 8:31:5.m.,Idle,00h:01m:21s,"Av Colombia 35-65, Cali, Valle Cauca",Vca,760003,11h:50m:44s,"168,17",48,164h:45m:50s,11h:50m:44s,"168,17",48,164h:45m:50s
,Unit: 1EYC,29/05/2026 8:33 a.m.,00h:01m:22s,"0,52",32,29/05/2026 8:34:3.m.,Idle,00h:00m:13s,"test1
Av Colombia-22, Cali, Valle Cauca",Vca,760003,11h:50m:44s,"168,17",48,164h:45m:50s,11h:50m:44s,"168,17",48,164h:45m:50s
,Unit: 1EYC,29/05/2026 8:34 a.m.,00h:01m:19s,"0,18",15,29/05/2026 8:36:0.m.,Idle,00h:00m:54s,Calle 25 Norte,Valle del ,760046,11h:50m:44s,"168,17",48,164h:45m:50s,11h:50m:44s,"168,17",48,164h:45m:50s
,Unit: 1EYC,29/05/2026 8:37 a.m.,00h:01m:16s,"0,34",29,29/05/2026 8:38:1.m.,Idle,00h:00m:27s,"ESTACION DEL CAMBULO SAS
Cl22n 2-41, Cali, Valle Cauca",Vca,760046,11h:50m:44s,"168,17",48,164h:45m:50s,11h:50m:44s,"168,17",48,164h:45m:50s
,Unit: 1EYC,29/05/2026 8:38 a.m.,00h:00m:28s,"0,08",15,29/05/2026 8:39:1.m.,Idle,00h:01m:21s,"ESTACION DEL CAMBULO SAS
Cl22n 3-60, Cali, Valle Cauca",Vca,760046,11h:50m:44s,"168,17",48,164h:45m:50s,11h:50m:44s,"168,17",48,164h:45m:50s
