Dealer,Company1,VIP,FEIN,DNI,Peripherals,ServiceName,IsRenting,UnitID1,ShortName,UnitType,Carrier,MonthlyFee,BillingGroup,BillingPeriod,LastServicePaidUntil,ServicePaidUntil,SerialNumber,PhoneNumber,IMEI,BillTo,Suspended,EventName,AssignedToCompanyOn,LastEventDate,LastContactOn,LastEventAddress
TSO Mobile - Colombia, PAVSAN S.A.S., ,900419739,,"Panic Button, ",PLAN STANDARD,Renting,1INE,ZNZ887,Topfly PioneerX,Claro CO,19.99,,Monthly,7/2/2026 12:00:00 AM,7/31/2026 12:00:00 AM,PioneerX100-1INE,9103578839,869487064378648,,Active,Ignition OFF,7/2/2026 2:24:50 PM,8/19/2026 9:18:17 AM,8/19/2026 9:18:21 AM,"W58W+27 Cereté, Cordoba, Colombia"
TSO Mobile - Colombia, PAVSAN S.A.S., ,900419739,,"Panic Button, ",PLAN STANDARD,Renting,1INF,GDY694,Topfly PioneerX,Claro CO,19.99,,Monthly,7/2/2026 12:00:00 AM,7/31/2026 12:00:00 AM,PioneerX100-1INF,9103578840,869487064347775,,Active,Drive,7/2/2026 12:36:31 PM,8/19/2026 10:34:52 AM,8/19/2026 10:35:17 AM,"Km 8 de la vía Cerete - Lorica, , Córdoba"
TSO Mobile - Colombia, PAVSAN S.A.S., ,900419739,,"Panic Button, ",PLAN STANDARD,Renting,1ING,JPP688,Topfly PioneerX,Claro CO,19.99,,Monthly,7/2/2026 12:00:00 AM,7/31/2026 12:00:00 AM,PioneerX100-1ING,9103578841,869487067493717,,Active,Drive,7/2/2026 1:29:07 PM,8/19/2026 10:34:56 AM,8/19/2026 10:35:17 AM,"Av 74, Monteria, Cordoba, Colombia"
TSO Mobile - Colombia, PAVSAN S.A.S., ,900419739,,"Panic Button, ",PLAN STANDARD,Renting,1INH,SNT107,Topfly PioneerX,Claro CO,19.99,,Monthly,7/2/2026 12:00:00 AM,7/31/2026 12:00:00 AM,PioneerX100-1INH,9103578842,869487067385319,,Active,Parked,7/2/2026 2:58:33 PM,8/19/2026 7:04:00 AM,8/19/2026 7:04:16 AM,"W57W+X8 Cereté, Cordoba, Colombia"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,07Z2,EXO-31 JOEL SALCIDO,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,1363106139,5905901012566555,358077091710877,,Active,Parked,7/15/2026 10:01:03 AM,8/19/2026 8:36:25 AM,8/19/2026 8:36:49 AM,"SR-85D, Nuevo León"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0DY8,DINA 92,GenX 656BV,MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,000003956737,8184665151,354725060629056,,Active,Ignition ON,7/13/2026 2:29:31 PM,7/13/2026 11:08:39 AM,7/13/2026 11:26:47 AM,394 37 118 37 1-81 Manzana Manzana Pera Manzana Manzana 
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0GZY,MIGUEL SOTELO,Queclink GV55W,MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,864802030415115,5901008524338,864802030415115,,Active,Ignition OFF,7/8/2026 6:16:29 AM,7/7/2026 12:14:55 PM,7/7/2026 12:15:05 PM,613 407 618 680-601 Siglo XX Siglo XX San Andrés Siglo XX 
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0I7C,EXO-21 IVAN SALAZAR,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,4764335872,5901008503009,359369090475886,,Active,Parked,7/15/2026 10:02:01 AM,8/19/2026 7:10:25 AM,8/19/2026 7:10:35 AM,"Carretera Monterrey-Allende, Santiago, Nuevo León"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0I7D,EXO-51,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,4764335876,5901008500393,359369090489333,,Active,Parked,7/15/2026 10:00:19 AM,8/19/2026 8:54:05 AM,8/19/2026 8:54:10 AM,"Av 588, Saltillo, Coahuila, Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0I7E,EXO-06 ,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,4764335868,5901008485273,359369090502259,,Active,Parked,7/15/2026 10:03:09 AM,1/24/2024 2:56:51 PM,1/24/2024 3:05:09 PM,"Carretera Federal 9, El Maguey, Abra Abajo, N.L., Mexico"
