,Message
0,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2591.6,-74.185575,4.591526,20260301003735,0732,0101,138A,60E59E9,04,12,118352.5,05693:40:08,,,99,110000,,,,20260301004003,6D54$"
1,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2591.6,-74.185575,4.591526,20260301013753,0732,0101,138A,60E59E9,04,12,118352.5,05693:40:08,,,99,110000,,,,20260301014013,6D55$"
2,"+RESP:GTMPF,500700,868574042784996,,0,0.0,37,2591.6,-74.185575,4.591526,20260301013753,0732,0101,138A,60E59E9,06,110000,12,20260301014054,6D56$"
3,"+RESP:GTMPN,500700,868574042784996,,0,0.0,37,2591.6,-74.185575,4.591526,20260301013753,0732,0101,138A,60E59E9,06,1A0000,12,20260301014151,6D57$"
4,"+RESP:GTIGN,500700,868574042784996,,25384,0,0.0,37,2591.6,-74.185575,4.591526,20260301013753,0732,0101,138A,60E59E9,06,210100,12,05693:40:08,118352.5,20260301014206,6D58$"
5,"+RESP:GTSTT,500700,868574042784996,,21,0,0.0,37,2591.6,-74.185575,4.591526,20260301013753,0732,0101,138A,60E59E9,06,210100,12,20260301014206,6D59$"
6,"+RESP:GTSTT,500700,868574042784996,,22,0,0.0,37,2591.6,-74.185575,4.591526,20260301013753,0732,0101,138A,60E59E9,06,220000,12,20260301014211,6D5A$"
7,"+RESP:GTIGF,500700,868574042784996,,5,0,0.0,37,2591.6,-74.185575,4.591526,20260301013753,0732,0101,138A,60E59E9,06,120000,12,05693:40:13,118352.5,20260301014211,6D5B$"
8,"+RESP:GTSTT,500700,868574042784996,,12,0,0.0,37,2591.6,-74.185575,4.591526,20260301013753,0732,0101,138A,60E59E9,06,120000,12,20260301014211,6D5C$"
9,"+RESP:GTIGN,500700,868574042784996,,2,0,0.0,37,2591.6,-74.185575,4.591526,20260301013753,0732,0101,138A,60E59E9,06,220100,9,05693:40:13,118352.5,20260301014213,6D5D$"
10,"+RESP:GTSTT,500700,868574042784996,,22,0,0.0,37,2591.6,-74.185575,4.591526,20260301013753,0732,0101,138A,60E59E9,06,220100,9,20260301014213,6D5E$"
11,"+RESP:GTIGL,500700,868574042784996,,,01,1,1,0.1,37,2596.2,-74.185502,4.591484,20260301014209,0732,0101,138A,60E59E9,04,11,118352.5,20260301014213,6D5F$"
12,"+RESP:GTIGL,500700,868574042784996,,,00,1,1,0.1,37,2596.2,-74.185502,4.591484,20260301014209,0732,0101,138A,60E59E9,04,11,118352.5,20260301014213,6D60$"
13,"+RESP:GTIGL,500700,868574042784996,,,01,1,1,0.1,37,2596.2,-74.185502,4.591484,20260301014209,0732,0101,138A,60E59E9,04,11,118352.5,20260301014213,6D61$"
14,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.1,37,2596.2,-74.185502,4.591484,20260301014209,0732,0101,138A,60E59E9,04,11,118352.5,05693:40:13,,,99,220100,,,,20260301014213,6D62$"
15,"+RESP:GTSTT,500700,868574042784996,,21,0,0.0,37,2597.6,-74.185558,4.591475,20260301014255,0732,0101,138A,60E59E9,06,210100,12,20260301014300,6D63$"
16,"+RESP:GTSTT,500700,868574042784996,,22,0,0.0,37,2597.6,-74.185558,4.591475,20260301014305,0732,0101,138A,60E59E9,06,220100,12,20260301014311,6D64$"
17,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2597.6,-74.185558,4.591475,20260301014305,0732,0101,138A,60E59E9,04,12,118352.5,05693:41:13,,,99,220100,,,,20260301014313,6D65$"
18,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2592.6,-74.185568,4.591536,20260301014406,0732,0101,13AB,67C3F11,04,12,118352.5,05693:42:13,,,99,220100,,,,20260301014413,6D66$"
19,"+RESP:GTBTC,500700,868574042784996,,0,0.0,37,2592.6,-74.185568,4.591536,20260301014507,0732,0101,13AB,67C3F11,06,220000,12,20260301014513,6D67$"
20,"+RESP:GTIGF,500700,868574042784996,,180,0,0.0,37,2592.6,-74.185568,4.591536,20260301014507,0732,0101,13AB,67C3F11,06,120000,12,05693:43:13,118352.5,20260301014514,6D68$"
21,"+RESP:GTSTT,500700,868574042784996,,12,0,0.0,37,2592.6,-74.185568,4.591536,20260301014507,0732,0101,13AB,67C3F11,06,120000,12,20260301014514,6D69$"
22,"+RESP:GTSTC,500700,868574042784996,,,0,0.0,37,2592.6,-74.185568,4.591536,20260301014507,0732,0101,13AB,67C3F11,06,120000,12,20260301014515,6D6A$"
23,"+RESP:GTIGL,500700,868574042784996,,,00,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301014516,0732,0101,13AB,60E59E9,04,12,118352.5,20260301014520,6D6B$"
24,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301014516,0732,0101,13AB,60E59E9,04,12,118352.5,05693:43:13,,,99,120000,,,,20260301014520,6D6C$"
25,"+RESP:GTSTT,500700,868574042784996,,11,0,0.0,37,2602.8,-74.185529,4.591523,20260301014516,0732,0101,138A,60E59E9,06,110000,12,20260301014557,6D6D$"
26,"+RESP:GTPDP,500700,868574042784996,,20260301021601,6D6E$"
27,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301024246,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301024528,6D6F$"
28,"+RESP:GTPDP,500700,868574042784996,,20260301031532,6D70$"
29,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301034304,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301034538,6D71$"
30,"+RESP:GTPDP,500700,868574042784996,,20260301041541,6D72$"
31,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301044307,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301044547,6D73$"
32,"+RESP:GTPDP,500700,868574042784996,,20260301051551,6D74$"
33,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301054322,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301054557,6D75$"
34,"+RESP:GTPDP,500700,868574042784996,,20260301061600,6D76$"
35,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301064325,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301064607,6D77$"
36,"+RESP:GTPDP,500700,868574042784996,,20260301071610,6D78$"
37,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301074340,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301074616,6D79$"
38,"+RESP:GTPDP,500700,868574042784996,,20260301081619,6D7A$"
39,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301084345,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301084626,6D7B$"
40,"+RESP:GTPDP,500700,868574042784996,,20260301091629,6D7C$"
41,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301094359,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301094635,6D7D$"
42,"+BUFF:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301104404,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301104645,6D7F$"
43,"+RESP:GTPDP,500700,868574042784996,,20260301112513,6D80$"
44,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301114418,0732,0101,13AB,67C3F11,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301114655,6D81$"
45,"+RESP:GTPDP,500700,868574042784996,,20260301121659,6D82$"
46,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301124424,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301124705,6D83$"
47,"+RESP:GTPDP,500700,868574042784996,,20260301131710,6D84$"
48,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301134439,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301134715,6D85$"
49,"+RESP:GTPDP,500700,868574042784996,,20260301143132,6D86$"
50,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301144444,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301144725,6D87$"
51,"+RESP:GTPDP,500700,868574042784996,,20260301151728,6D88$"
52,"+RESP:GTPDP,500700,868574042784996,,20260301154736,6D8A$"
53,"+BUFF:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301154458,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301154734,6D89$"
54,"+RESP:GTPDP,500700,868574042784996,,20260301162044,6D8B$"
55,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301164502,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301164744,6D8C$"
56,"+RESP:GTPDP,500700,868574042784996,,20260301171747,6D8D$"
57,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301174518,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301174754,6D8E$"
58,"+RESP:GTPDP,500700,868574042784996,,20260301181758,6D8F$"
59,"+RESP:GTPDP,500700,868574042784996,,20260301181758,6D8F$"
60,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301184523,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301184804,6D90$"
61,"+RESP:GTPDP,500700,868574042784996,,20260301191807,6D91$"
62,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301194537,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301194814,6D92$"
63,"+RESP:GTPDP,500700,868574042784996,,20260301201817,6D93$"
64,"+RESP:GTPDP,500700,868574042784996,,20260301204825,6D95$"
65,"+BUFF:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301204542,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301204824,6D94$"
66,"+RESP:GTPDP,500700,868574042784996,,20260301212134,6D96$"
67,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301214559,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301214833,6D97$"
68,"+RESP:GTPDP,500700,868574042784996,,20260301221835,6D98$"
69,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301224617,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301224842,6D99$"
70,"+RESP:GTPDP,500700,868574042784996,,20260301231845,6D9A$"
71,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260301234611,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260301234851,6D9B$"
72,"+RESP:GTPDP,500700,868574042784996,,20260302001855,6D9C$"
73,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260302004626,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260302004901,6D9D$"
74,"+RESP:GTPDP,500700,868574042784996,,20260302011904,6D9E$"
75,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260302014645,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260302014911,6D9F$"
76,"+RESP:GTPDP,500700,868574042784996,,20260302021914,6DA0$"
77,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260302024639,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260302024920,6DA1$"
78,"+RESP:GTPDP,500700,868574042784996,,20260302031923,6DA2$"
79,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260302034654,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260302034930,6DA3$"
80,"+RESP:GTPDP,500700,868574042784996,,20260302041933,6DA4$"
81,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260302044658,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260302044940,6DA5$"
82,"+RESP:GTPDP,500700,868574042784996,,20260302051943,6DA6$"
83,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260302054715,0732,0101,13AB,67C3F11,04,12,118352.5,05693:43:13,,,99,110000,,,,20260302054949,6DA7$"
84,"+RESP:GTPDP,500700,868574042784996,,20260302065001,6DAA$"
85,"+BUFF:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260302064718,0732,0101,138A,60E59E9,04,11,118352.5,05693:43:13,,,99,110000,,,,20260302065000,6DA8$"
86,"+RESP:GTPDP,500700,868574042784996,,20260302072308,6DAB$"
87,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260302074733,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260302075009,6DAC$"
88,"+RESP:GTPDP,500700,868574042784996,,20260302082013,6DAD$"
89,"+RESP:GTPDP,500700,868574042784996,,20260302085020,6DAF$"
90,"+BUFF:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260302084738,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260302085019,6DAE$"
91,"+RESP:GTPDP,500700,868574042784996,,20260302092330,6DB0$"
92,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260302094753,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260302095029,6DB1$"
93,"+RESP:GTPDP,500700,868574042784996,,20260302102032,6DB2$"
94,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2602.8,-74.185529,4.591523,20260302104758,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:13,,,99,110000,,,,20260302105039,6DB3$"
95,"+RESP:GTMPF,500700,868574042784996,,0,0.0,37,2602.8,-74.185529,4.591523,20260302104758,0732,0101,138A,60E59E9,06,110000,12,20260302110712,6DB4$"
96,"+RESP:GTMPN,500700,868574042784996,,0,0.0,37,2602.8,-74.185529,4.591523,20260302104758,0732,0101,138A,60E59E9,06,110000,12,20260302110714,6DB5$"
97,"+RESP:GTIGN,500700,868574042784996,,120158,0,0.0,37,2602.8,-74.185529,4.591523,20260302104758,0732,0101,138A,60E59E9,06,220100,12,05693:43:13,118352.5,20260302110751,6DB6$"
98,"+RESP:GTSTT,500700,868574042784996,,22,0,0.0,37,2602.8,-74.185529,4.591523,20260302104758,0732,0101,138A,60E59E9,06,220100,12,20260302110751,6DB7$"
99,"+RESP:GTIGL,500700,868574042784996,,,01,1,1,0.0,37,2533.5,-74.185156,4.591646,20260302110802,0732,0101,138A,60E59E9,04,12,118352.5,20260302110806,6DB8$"
100,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2533.5,-74.185156,4.591646,20260302110802,0732,0101,138A,60E59E9,04,12,118352.5,05693:43:28,,,99,220100,,,,20260302110806,6DB9$"
101,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2533.5,-74.185156,4.591646,20260302110853,0732,0101,138A,60E59E9,04,12,118352.5,05693:44:23,,,99,220100,,,,20260302110901,6DBA$"
102,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2533.5,-74.185156,4.591646,20260302110953,0732,0101,138A,60E59E9,04,12,118352.5,05693:45:23,,,99,220100,,,,20260302111001,6DBB$"
103,"+RESP:GTBTC,500700,868574042784996,,0,0.0,37,2533.5,-74.185156,4.591646,20260302111047,0732,0101,138A,60E59E9,06,220100,12,20260302111052,6DBC$"
104,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2533.5,-74.185156,4.591646,20260302111053,0732,0101,138A,60E59E9,04,12,118352.5,05693:46:23,,,100,220100,,,,20260302111101,6DBD$"
105,"+RESP:GTSTT,500700,868574042784996,,21,0,0.0,37,2533.5,-74.185156,4.591646,20260302111111,0732,0101,138A,60E59E9,06,210100,12,20260302111115,6DBE$"
106,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2533.5,-74.185156,4.591646,20260302111153,0732,0101,138A,60E59E9,04,12,118352.5,05693:47:23,,,100,210100,,,,20260302111201,6DBF$"
