,Serial,Status,Process,Reported_by,Case number,Característica
0,6B301AJS,Rejected,2,Thaylers,TS000176903,Usada
1,6B301KF2,Rejected,3,Thaylers,TS000176903,Usada
2,6B301A8A,Rejected,3,Thaylers,TS000176903,Usada
3,6B301AGW,Rejected,3,Thaylers,TS000176903,Usada
4,6B301A9Z,Rejected,3,Thaylers,TS000176903,Usada
5,6B301AMB,Rejected,3,Thaylers,TS000176903,Usada
6,6B301AV9,Rejected,3,Thaylers,TS000176903,Nueva
7,6B301AYN,Rejected,3,Thaylers,TS000176903,Usada
8,6B301AXM,Rejected,3,Thaylers,TS000176903,Usada
9,6B301A6R,Rejected,3,Thaylers,TS000176903,Usada
10,6B301BLZ,Rejected,3,Thaylers,TS000176903,Usada
11,6B301ALL,Rejected,3,Thaylers,TS000176903,Usada
12,6B301A7W,Rejected,3,Thaylers,TS000176903,Usada
13,6B301AKJ,Rejected,3,Thaylers,TS000176903,Usada
14,6B301BN9,Rejected,3,Thaylers,TS000176903,Usada
15,6B301AJT,Rejected,3,Thaylers,TS000176903,Usada
16,6B301AC1,Rejected,3,Thaylers,TS000176903,Usada
17,6B301AYB,Rejected,3,Thaylers,TS000176903,Nueva
18,6B301ABE,Rejected,3,Thaylers,TS000176903,Usada
19,6B301AM5,Rejected,3,Thaylers,TS000176903,Usada
20,6B301B7A,Rejected,3,Thaylers,TS000176903,Usada
21,6B301BH7,Rejected,3,Thaylers,TS000176903,Usada
22,6B301AG3,Rejected,3,Thaylers,TS000176903,Usada
23,6B301AWP,Rejected,3,Thaylers,TS000176903,Usada
24,6B301AHQ,Rejected,3,Thaylers,TS000176903,Usada
25,6B301AJV,Rejected,3,Thaylers,TS000176903,Usada
26,6B301AZW,Rejected,3,Thaylers,TS000176903,Usada
27,6B301AVA,Rejected,3,Thaylers,TS000176903,Usada
28,6B301ALM,Rejected,3,Thaylers,TS000176903,Nueva
29,6B301GSN,Rejected,3,Thaylers,TS000176903,Usada
30,6B301GPA,Rejected,3,Thaylers,TS000176903,Usada
31,6B301GKZ,Approved,3,Thaylers,TS000176903,Usada
32,6B301GN9,Approved,3,Thaylers,TS000176903,Usada
33,6B301GRV,Approved,3,Thaylers,TS000176903,Usada
34,6B301GRD,Approved,3,Thaylers,TS000176903,Usada
35,6B301GRU,Approved,3,Thaylers,TS000176903,Usada
36,6B301GSH,Approved,3,Thaylers,TS000176903,Usada
37,6B301GQY,Approved,3,Thaylers,TS000176903,Usada
38,6B301KF0,Rejected,4,Thaylers,TS000176903,Nueva
39,6B301AWV,Approved,4,Thaylers,TS000176903,Usada
40,6B301AJF,Approved,4,Thaylers,TS000176903,Usada
41,6B301ALE,Approved,4,Thaylers,TS000176903,Usada
42,6B301ANS,Rejected,4,Thaylers,TS000176903,Usada
43,6B301ASB,Rejected,4,Thaylers,TS000176903,Usada
