,Serial,Reportadas por,Caso,Característica,ACTION
4,6B301GS4,Thaylers,TS000176903,Usada,Keep
6,6B301GQR,Thaylers,TS000176903,Usada,Keep
7,6B301AYR,Thaylers,TS000176903,Usada,Keep
18,6B301B7P,Thaylers,TS000176903,Usada,Keep
19,6B301GRS,Thaylers,TS000176903,Usada,Keep
28,6B301A8F,Thaylers,TS000176903,Usada,Keep
35,6B301KEZ,Thaylers,TS000176903,Usada,Keep
37,6B31111H,Thaylers,TS000176903,Usada,Keep
38,6B301A5G,Thaylers,TS000176903,Usada,Keep
39,6B301GFW,Thaylers,TS000176903,Usada,Keep
41,6B301ARP,Thaylers,TS000176903,Usada,Keep
42,6B3101F5,Thaylers,TS000176903,Usada,Keep
43,6B311152,Thaylers,TS000176903,Usada,Keep
45,6B301GEM,Thaylers,TS000176903,Usada,Keep
47,6B31019V,Thaylers,TS000176903,Usada,Keep
48,6B3101BX,Thaylers,TS000176903,Usada,Keep
49,6B301GQ6,Thaylers,TS000176903,Usada,Keep
50,6B31117S,Thaylers,TS000176903,Usada,Keep
51,6B301B1D,Thaylers,TS000176903,Usada,Keep
53,6B301AF0,Thaylers,TS000176903,Usada,Keep
54,6B301A91,Thaylers,TS000176903,Usada,Keep
55,6B301AHD,Thaylers,TS000176903,Usada,Keep
57,6B31116X,Thaylers,TS000176903,Usada,Keep
58,6B301AYS,Thaylers,TS000176903,Usada,Keep
60,6B301AAX,Thaylers,TS000176903,Usada,Keep
61,6B31115T,Thaylers,TS000176903,Usada,Keep
62,6B3101B9,Thaylers,TS000176903,Usada,Keep
64,6B3101H9,Thaylers,TS000176903,Usada,Keep
65,6B301ARJ,Thaylers,TS000176903,Usada,Keep
66,6B3101H2,Thaylers,TS000176903,Usada,Keep
67,6B31116P,Thaylers,TS000176903,Usada,Keep
68,6B31112H,Thaylers,TS000176903,Usada,Keep
69,6B31114W,Thaylers,TS000176903,Usada,Keep
70,6B31111G,Thaylers,TS000176903,Usada,Keep
71,6B301AYW,Thaylers,TS000176903,Usada,Keep
72,6B31116T,Thaylers,TS000176903,Usada,Keep
73,6B3101F6,Thaylers,TS000176903,Usada,Keep
74,6B301GPV,Thaylers,TS000176903,Usada,Keep
75,6B301GJ9,Thaylers,TS000176903,Usada,Keep
76,6B31115S,Thaylers,TS000176903,Usada,Keep
