UnitID,SerialNumber,IMEI,SimNo,Carrier,AreaCode,PhoneNumber,StaticIP,ModemName,Paired
1IB2,869487063262363,869487063262363,895110113112917423,CLARO-PE,,952446447,LTE,,FALSE
1IBC,869487064339707,869487064339707,895110113112917422,CLARO-PE,,952443816,LTE,,FALSE
1IBS,869487064338899,869487064338899,895110113112917421,CLARO-PE,,952442443,LTE,,FALSE
1IC8,869487063277619,869487063277619,895110113112917424,CLARO-PE,,952480689,LTE,,FALSE
1ICO,869487063237795,869487063237795,895110113112917446,CLARO-PE,,952435682,LTE,,FALSE
1ID4,869487064374076,869487064374076,895110113112917434,CLARO-PE,,961384435,LTE,,FALSE
1IDK,869487063278252,869487063278252,895110113112917433,CLARO-PE,,952412885,LTE,,FALSE
1I8R,869487064508962,869487064508962,895110113112917432,CLARO-PE,,952412830,LTE,,FALSE
1I97,869487063283534,869487063283534,895110113112917431,CLARO-PE,,952412261,LTE,,FALSE
1I9N,869487064341208,869487064341208,895110113112917430,CLARO-PE,,952410967,LTE,,FALSE
1IA3,869487064429821,869487064429821,895110113112917420,CLARO-PE,,952441013,LTE,,FALSE
1IAJ,869487064430787,869487064430787,895110113112917429,CLARO-PE,,952498364,LTE,,FALSE
1IAZ,869487064341224,869487064341224,895110113112917428,CLARO-PE,,952498353,LTE,,FALSE
1IBL,869487064387847,869487064387847,895110113112917427,CLARO-PE,,952497022,LTE,,FALSE
1IC1,869487064491896,869487064491896,895110113112917426,CLARO-PE,,952488879,LTE,,FALSE
1ICH,869487063283187,869487063283187,895110113112917425,CLARO-PE,,952482141,LTE,,FALSE
1ICX,869487064341182,869487064341182,895110113112917457,CLARO-PE,,952484990,LTE,,FALSE
1IDD,869487064492563,869487064492563,895110113112917435,CLARO-PE,,952417639,LTE,,FALSE
1I90,869487064561052,869487064561052,895110113112917419,CLARO-PE,,965408833,LTE,,FALSE
1I9G,869487063241110,869487063241110,895110113112917418,CLARO-PE,,963768166,LTE,,FALSE
1I9W,869487064569626,869487064569626,895110113112917436,CLARO-PE,,952417657,LTE,,FALSE
1IAC,869487063246994,869487063246994,895110113112917440,CLARO-PE,,952403220,LTE,,FALSE
1IAS,869487063301583,869487063301583,895110113112917439,CLARO-PE,,952429991,LTE,,FALSE
1IB8,869487063246242,869487063246242,895110113112917438,CLARO-PE,,952468184,LTE,,FALSE
1IBP,869487064339616,869487064339616,895110113112917437,CLARO-PE,,952417692,LTE,,FALSE
