Created;Message;Status
2026-05-10 00:00:54.665;11000001,5,4764415117,1,1,1,10,10,1778371307,2.924983,-75.2778416,72,0,00010000,11110000,ON,1101000,45,7,0,31,0x0000146600002FBC00000000B66E9B01F4000001|;0x830547644151170101010A000A69FFCAEB01BE5126D3218350004800080F172D47000000000000001F0000146600002FBC00000000B66E9B01F4000001
2026-05-10 00:01:23.189;11000001,5,4764415117,1,1,1,10,11,1778371335,2.9249828,-75.2778453,72,0,00010000,11110000,OFF,1101000,2,7,0,31,0x0000146600002F8000000000B66E9B01F4000001|;0x830547644151170101010A000B69FFCB0701BE5124D321832B004800080F160247000000000000001F0000146600002F8000000000B66E9B01F4000001
2026-05-10 00:01:29.624;11000001,5,4764415117,1,1,1,10,12,1778371344,2.9249833,-75.27784,72,0,11100000,11110000,ON,1101000,1,7,0,31,0x0000146600002FBC00000000B66E9B01F4000001|;0x830547644151170101010A000C69FFCB1001BE5129D3218360004800070F170147000000000000001F0000146600002FBC00000000B66E9B01F4000001
2026-05-10 00:04:30.721;11000001,5,4764415117,1,1,1,10,13,1778371523,2.9249553,-75.2778556,72,0,00010000,11110000,ON,1101000,4,7,0,31,0x0000146600002F8000000000B66E9B01F4000001|;0x830547644151170101010A000D69FFCBC301BE5011D32182C4004800080F170447000000000000001F0000146600002F8000000000B66E9B01F4000001
2026-05-10 00:06:30.678;11000001,5,4764415117,1,1,1,10,14,1778371643,2.9249856,-75.277858,72,0,00010000,11110000,ON,1101000,45,7,0,31,0x0000146600002F8000000000B66E9B01F4000001|;0x830547644151170101010A000E69FFCC3B01BE5140D32182AC004800080F172D47000000000000001F0000146600002F8000000000B66E9B01F4000001
2026-05-10 00:08:42.370;11000001,5,4764415117,1,1,1,10,15,1778371774,2.9249721,-75.27788,326,0,00010000,11110000,OFF,1101000,2,7,0,31,0x0000146600002E8C00000000B66E9B01F4000001|;0x830547644151170101010A000F69FFCCBE01BE50B9D32181D0014600080F160247000000000000001F0000146600002E8C00000000B66E9B01F4000001
2026-05-10 00:09:53.714;11000001,5,4764415117,1,1,1,10,16,1778371846,2.9249836,-75.2778931,326,0,01010000,11110000,ON,1101000,1,7,0,31,0x0000146600002E6E00000000B66E9B01F4000001|;0x830547644151170101010A001069FFCD0601BE512CD321814D0146000A0F170147000000000000001F0000146600002E6E00000000B66E9B01F4000001
2026-05-10 00:12:52.700;11000001,5,4764415117,1,1,1,10,17,1778372025,2.9249898,-75.2778926,326,0,01010000,11110000,ON,1101000,4,7,0,31,0x0000146600002DD600000000B66E9B01F4000001|;0x830547644151170101010A001169FFCDB901BE516AD32181520146000A0F170447000000000000001F0000146600002DD600000000B66E9B01F4000001
2026-05-10 00:13:58.557;11000001,5,4764415117,1,1,1,10,18,1778372091,2.9249838,-75.2778973,326,0,01010000,11110000,OFF,1101000,2,7,0,31,0x000014660000289C00000000B66E9B01F4000001|;0x830547644151170101010A001269FFCDFB01BE512ED32181230146000A0F160247000000000000001F000014660000289C00000000B66E9B01F4000001
2026-05-10 00:14:39.744;11000001,5,4764415117,1,1,1,10,19,1778372132,2.9249783,-75.2779013,326,0,01010000,11110000,ON,1101000,1,7,0,31,0x00001466000028D900000000B66E9B01F4000001|;0x830547644151170101010A001369FFCE2401BE50F7D32180FB0146000A0F170147000000000000001F00001466000028D900000000B66E9B01F4000001
2026-05-10 00:17:39.607;11000001,5,4764415117,1,1,1,10,20,1778372312,2.9249753,-75.2779045,326,0,10010000,11110000,ON,1101000,4,7,0,31,0x000014660000276C00000000B66E9B01F4000001|;0x830547644151170101010A001469FFCED801BE50D9D32180DB014600090F170447000000000000001F000014660000276C00000000B66E9B01F4000001
2026-05-10 00:18:55.693;11000001,5,4764415117,1,1,1,10,21,1778372388,2.9249725,-75.2778986,326,0,10010000,11110000,OFF,1101000,2,7,0,31,0x000014660000271100000000B66E9B01F4000001|;0x830547644151170101010A001569FFCF2401BE50BDD3218116014600090F160247000000000000001F000014660000271100000000B66E9B01F4000001
2026-05-10 00:19:10.029;11000001,5,4764415117,1,1,1,10,22,1778372400,2.9249751,-75.2778953,326,0,10010000,11110000,ON,1101000,1,7,0,31,0x000014660000274E00000000B66E9B01F4000001|;0x830547644151170101010A001669FFCF3001BE50D7D3218137014600090F170147000000000000001F000014660000274E00000000B66E9B01F4000001
2026-05-10 00:22:06.516;11000001,5,4764415117,1,1,1,10,23,1778372579,2.924979,-75.2778925,326,0,10010000,11110000,ON,1101000,4,7,0,31,0x00001466000027A900000000B66E9B01F4000001|;0x830547644151170101010A001769FFCFE301BE50FED3218153014600090F170447000000000000001F00001466000027A900000000B66E9B01F4000001
