,Event Name,Unit Time
172,Motion Stop,2026/03/06 08:47:02 -05
166,Motion Stop,2026/03/06 08:52:56 -05
159,Motion Stop,2026/03/06 09:37:28 -05
154,Motion Start,2026/03/06 09:42:02 -05
459,Motion Stop,2026/03/06 10:02:12
458,Motion Start,2026/03/06 10:08:42
449,Motion Stop,2026/03/06 10:14:04
448,Motion Start,2026/03/06 10:17:56
433,Motion Stop,2026/03/06 10:25:16
428,Motion Stop,2026/03/06 13:13:36
425,Motion Stop,2026/03/06 16:29:22
134,Motion Start,2026/03/06 19:14:13 -05
127,Motion Stop,2026/03/06 19:19:03 -05
126,Motion Start,2026/03/06 19:33:14 -05
373,Motion Stop,2026/03/06 20:26:23
123,Motion Start,2026/03/06 21:31:25 -05
371,Motion Stop,2026/03/06 21:33:30
370,Motion Start,2026/03/07 09:56:41
368,Motion Stop,2026/03/07 09:58:30
115,Motion Start,2026/03/07 11:34:41 -05
365,Motion Stop,2026/03/07 11:37:12
364,Motion Start,2026/03/07 11:51:48
362,Motion Stop,2026/03/07 11:53:59
361,Motion Start,2026/03/07 12:00:51
264,Motion Stop,2026/03/07 13:37:48
263,Motion Start,2026/03/07 14:03:52
261,Motion Stop,2026/03/07 14:06:03
106,Motion Start,2026/03/07 15:47:51 -05
258,Motion Stop,2026/03/07 15:50:33
257,Motion Start,2026/03/07 16:42:49
254,Motion Stop,2026/03/07 16:45:11
253,Motion Start,2026/03/07 17:03:11
251,Motion Stop,2026/03/07 17:05:29
250,Motion Start,2026/03/07 17:39:18
173,Motion Stop,2026/03/07 18:56:37
172,Motion Start,2026/03/07 18:57:12
170,Motion Stop,2026/03/07 18:59:11
98,Motion Start,2026/03/07 18:59:38 -05
134,Motion Stop,2026/03/07 19:35:42
96,Motion Start,2026/03/07 19:36:26 -05
119,Motion Stop,2026/03/07 19:50:45
118,Motion Start,2026/03/07 19:53:11
85,Motion Stop,2026/03/07 20:25:56
84,Motion Start,2026/03/07 21:00:38
81,Motion Stop,2026/03/07 21:03:31
80,Motion Start,2026/03/07 22:01:06
79,Motion Stop,2026/03/07 22:03:05
75,Motion Start,2026/03/09 07:12:59 -05
78,Motion Stop,2026/03/09 07:15:09
77,Motion Start,2026/03/09 07:17:52
75,Motion Stop,2026/03/09 07:20:02
74,Motion Start,2026/03/09 07:37:32
72,Motion Stop,2026/03/09 07:39:44
69,Motion Start,2026/03/09 07:42:28 -05
26,Motion Stop,2026/03/09 08:30:11
14,Motion Stop,2026/03/09 08:52:09
65,Motion Start,2026/03/09 08:58:07 -05
62,Motion Stop,2026/03/09 09:00:30 -05
61,Motion Start,2026/03/09 09:07:07 -05
58,Motion Stop,2026/03/09 09:09:02 -05
57,Motion Start,2026/03/09 09:19:09 -05
11,Motion Stop,2026/03/09 09:21:58
55,Motion Start,2026/03/09 12:18:29 -05
51,Motion Stop,2026/03/09 12:21:13 -05
50,Motion Start,2026/03/09 12:24:15 -05
46,Motion Stop,2026/03/09 12:29:03 -05
45,Motion Start,2026/03/09 12:30:26 -05
9,Motion Stop,2026/03/09 12:48:40
36,Motion Start,2026/03/09 12:57:34 -05
29,Motion Stop,2026/03/09 13:03:58 -05
28,Motion Start,2026/03/09 14:28:27 -05
6,Motion Stop,2026/03/09 14:31:11
23,Motion Start,2026/03/10 10:36:05 -05
0,Motion Stop,2026/03/10 10:52:01
16,Motion Start,2026/03/10 12:48:13 -05
9,Motion Start,2026/03/10 16:32:29 -05
2,Motion Start,2026/03/10 18:43:32 -05
