,Server Time,Unit Time,Latitude,Longitude,Sequence #,Event Name
0,2026/03/06 10:25:17,2026/03/06 10:25:16,3.46504879,-76.52580261,239,Motion Stop
1,2026/03/06 10:25:14,2026/03/06 10:25:13,3.46504879,-76.52580261,2368,Motion
2,2026/03/06 10:24:44,2026/03/06 10:24:43,3.46504879,-76.52580261,2367,Motion
3,2026/03/06 10:24:14,2026/03/06 10:24:13,3.46504879,-76.52580261,2366,Motion
4,2026/03/06 10:23:44,2026/03/06 10:23:43,3.46504879,-76.52580261,2365,Motion
5,2026/03/06 10:22:44,2026/03/06 10:22:44,3.465092182,-76.52585602,2364,Motion
6,2026/03/06 10:22:44,2026/03/06 10:22:43,3.465092182,-76.52585602,2363,Motion
7,2026/03/06 10:22:14,2026/03/06 10:22:13,3.464569092,-76.52593994,2362,Motion
8,2026/03/06 10:21:44,2026/03/06 10:21:43,3.464569092,-76.52593994,2361,Motion
9,2026/03/06 10:21:13,2026/03/06 10:21:12,3.464569092,-76.52593994,2360,Motion
10,2026/03/06 10:20:43,2026/03/06 10:20:43,3.464569092,-76.52593994,2359,Motion
11,2026/03/06 10:20:13,2026/03/06 10:20:13,3.464569092,-76.52593994,2358,Motion
12,2026/03/06 10:19:44,2026/03/06 10:19:43,3.464569092,-76.52593994,2357,Motion
13,2026/03/06 10:19:14,2026/03/06 10:19:13,3.464569092,-76.52593994,2356,Motion
14,2026/03/06 10:18:44,2026/03/06 10:18:43,3.464569092,-76.52593994,2355,Motion
15,2026/03/06 10:18:13,2026/03/06 10:17:56,3.464569092,-76.52593994,238,Motion Start
16,2026/03/06 10:14:05,2026/03/06 10:14:04,3.464569092,-76.52593994,237,Motion Stop
17,2026/03/06 10:13:53,2026/03/06 10:13:51,3.464569092,-76.52593994,2354,Motion
18,2026/03/06 10:13:23,2026/03/06 10:13:22,3.464569092,-76.52593994,2353,Motion
19,2026/03/06 10:12:53,2026/03/06 10:12:52,3.464569092,-76.52593994,2352,Motion
20,2026/03/06 10:12:23,2026/03/06 10:12:22,3.464569092,-76.52593994,2351,Motion
21,2026/03/06 10:11:53,2026/03/06 10:11:52,3.464569092,-76.52593994,2350,Motion
22,2026/03/06 10:11:23,2026/03/06 10:11:22,3.464569092,-76.52593994,2349,Motion
23,2026/03/06 10:10:23,2026/03/06 10:10:22,3.464569092,-76.52593994,2348,Motion
24,2026/03/06 10:09:54,2026/03/06 10:09:52,3.464569092,-76.52593994,2347,Motion
