,sample_number,date,temp,status
0,0,260913000015,78,0x2626020053039F0867284063983169001902581E00000029500000050000004000000000020DDD0026091300001566067244E65B98C225B7844000000026283400000000EBBF0000101E023E0C58764610FFFF
1,1,260913000040,78,0x262602005303A00867284063983169001902581E00000030520000050000004000000000020DFC002609130000409AF97244D15B98C2FAB884400110000B284601200000EBF200003E6F05EE3159764632FFFF
2,2,260913000105,78,0x262602005303A10867284063983169001902581E00000025510000050000004000000000020E4E00260913000105CD8C7244C65B98C2F6BE84400140015D284201400000EC3F0000273103AB1D5B764601FFFF
3,3,260913000130,77,0x262602005303A20867284063983169001902581E00000030510000050000004000000000020EFD00260913000130CD2C7344A25B98C230CB84400260000D284602700000ECAB000040D206EA3159754515FFFF
4,4,260913000150,77,0x262602005303A30867284063983169001902581E0000002C510000050000004000000000020F9B0026091300015033937344755B98C22CD684400200002C282702300000ED020000162B022F0F5975450EFFFF
5,5,260913000157,77,0x262602005303A40867284063983169001902581E00000030500000050000004000000000020FBE00260913000157CDCC7344615B98C207D884400140000C284601500000ED120000258E03D01C5B754528FFFF
6,6,260913000245,78,0x262602005303A50867284063983169001902581E00000041500000050000004000000000020FEC00260913000245000074445C5B98C254D9844000000016283300000000ED5800000FF3023C0C5A76460FFFFF
7,7,260913000309,78,0x262602005303A60867284063983169001902581E00000041500000050000004000000000020FEC00260913000309000074445C5B98C254D9844000000016283600000000ED79000013F802400F5A76460FFFFF
8,8,260913000335,78,0x262602005303A70867284063983169001902581E0000003E4F0000050000004000000000020FEC00260913000335000074445C5B98C254D9844000000016284500000000ED9D000012FC023F0F5A76460EFFFF
9,9,260913000359,78,0x262602005303A80867284063983169001902581E0000003A4F0000050000004000000000020FEC00260913000359000074445C5B98C254D9844000000016284400000000EDBE000011C102410D5976460EFFFF
10,10,260913000418,0,0x2626040053001C0867284063983169001902581E0000003ACF0000050000000000160000020FEC00260913000418000074445C5B98C254D9844000000016267900000000EDC10000000000000000282800FFFF
11,11,260913001425,0,0x262602005303A90867284063983169001902581E00000037500000050000000000000000020FEC00260913001425000074445C5B98C254D9844000000016259100000000EDC10000000000000000282800FFFF
12,12,260913002155,0,0x2626040053001D0867284063983169001902581E00000044500000050000004000150000020FEC00260913002155000074445C5B98C254D9844000000016281900000000EDC10000000000000000282800FFFF
13,13,260913002221,75,0x262602005303AA0867284063983169001902581E0000003051000005000000400000000002105B00260913002221664674440A5B98C271F1844005500016284505800000EDDA0000446C080634FF734659FFFF
14,14,260913002246,77,0x262602005303AB0867284063983169001902581E000000305100000500000040000000000211D900260913002246CD4C7444305A98C2B60B85400480001D284205400000EE2E0000258E05B61C597546001DFF
15,15,260913002254,77,0x262602005303AC0867284063983169001902581E0000003350000005000000400000000002123500260913002254004074440C5A98C24B12854004400167284305200000EE4300002D69055C225B7546001DFF
16,16,260913002259,77,0x262602005303AD0867284063983169001902581E0000003350000005000000400000000002129600260913002259CDEC7344195A98C2BB15854002300138283902600000EE5B0000159B02A81058754600FFFF
17,17,260913002302,77,0x262602005303AE0867284063983169001902581E000000375100000500000040000000000212A700260913002302CDCC73442D5A98C2D6158540020000EF283802200000EE610000258E041A1C59754600FFFF
18,18,260913002304,78,0x262602005303AF0867284063983169001902581E000000375000000500000040000000000212BC00260913002304CD0C74443A5A98C2A9148540026000C6283802800000EE680000268904F81D5D76465AFFFF
19,19,260913002308,78,0x262602005303B00867284063983169001902581E000000374F00000500000040000000000212E100260913002308CD0C7444425A98C2DD128540033000C5284303600000EE7D000042F105CD336776465AFFFF
20,20,260913002334,79,0x262602005303B10867284063983169001902581E0000004451000005000000400000000002145D002609130023349AD97444E45A98C2BBF88440060000CC285006400000EF130000554606844174774641FFFF
21,21,260913002400,80,0x262602005303B20867284063983169001902581E0000003E5100000500000040000000000216500026091300240033D37444985B98C2BBD68440063000BF285006700000EFA00000495506E2385D784603FFFF
22,22,260913002427,82,0x262602005303B30867284063983169001902581E0000003E51000005000000400000000002187B00260913002427CD8C73441A5C98C214B18440069000BF285207400000F0580000460F078E35577A4636FFFF
23,23,260913002453,83,0x262602005303B40867284063983169001902581E0000004F510000050000004000000000021AB200260913002453006073447A5C98C2478A8440065000B6284807000000F10500005751073442687B4624FFFF
24,24,260913002520,83,0x262602005303B50867284063983169001902581E0000003A4F0000050000004000000000021C9E0026091300252066867444575C98C24A678440068000AD284807100000F19B00006053074C497F7B4553FFFF
