"Unit Time","Data Center","Voltage","Latitude","Longitude","Raw Event","Event Name","Heading","Sequence #","GPS Speed","Address","Unit Type","Raw Data"
"2026/03/06 10:18:12 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603061518120a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/06 10:08:52 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603061508520a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/06 09:44:21 -05","AWS",,0,0,"04-3","User Update",0,224,"0.00",,"Topfly","272704004900e00869487062724710000326030614442182dc0065095699676981018e012300e180180080900019ff41000003ff970564001e000054600000000010f280000000ffd5"
"2026/03/06 09:44:05 -05","AWS",,0,0,"02-M","Motion",0,2315,"0.00",,"Topfly","2727020049090b0869487062724710000026030614440582dc0065095699996981018e012300e180180080900019ff41000003ff970644001e000054600000000010f280000000ffd5"
"2026/03/06 09:43:35 -05","AWS",,0,0,"02-M","Motion",0,2314,"0.00",,"Topfly","2727020049090a0869487062724710000026030614433582dc0065095699996981018e012300e180000180700019ff41000003ff970594001e000054600000000010f280000000ffd5"
"2026/03/06 09:43:04 -05","AWS",,0,0,"02-M","Motion",0,2313,"0.00",,"Topfly","272702004909090869487062724710000026030614430482dc0065095d70c869810124012300e280000180700019ff41000003ff9705d4001e000054600000000010f280000000ffd5"
"2026/03/06 09:42:33 -05","AWS",,0,0,"02-M","Motion",0,2312,"0.00",,"Topfly","272702004909080869487062724710000026030614423382dc0065095d70c869810124012300e280300280100019ff41000003ff970334001e000054600000000010f280000000ffd5"
"2026/03/06 09:42:02 -05","AWS",,,,"01","Device Info",,2,"NaN",,"Topfly","2727010017000208694870627247100112030502101214"
"2026/03/06 09:42:02 -05","AWS",,0,0,"04-22","Motion Start",0,223,"0.00",,"Topfly","272704004900df0869487062724710a01626030614420282dc0065095d70c869810124012300e180100280200019ff41000003ff970604001e000054600000000010f280000000ffd0"
"2026/03/06 09:41:12 -05","AWS",,0,0,"02-M","Motion",0,2310,"0.00",,"Topfly","272702004909060869487062724710000026030614411282dc0065095d70c869810124012300e100080080900019ff41000003ff970604001e000054600000000010f280000000ffd5"
"2026/03/06 09:40:12 -05","AWS",,0,0,"02-M","Motion",0,2308,"0.00",,"Topfly","272702004909040869487062724710000026030614401282dc0065095d70c869810124012300e100080980600018ff41000003ff970644001e000054600000000010f280000000ffd5"
"2026/03/06 09:39:41 -05","AWS",,0,0,"02-M","Motion",0,2307,"0.00",,"Topfly","272702004909030869487062724710000026030614394182dc006509569900698101230124018e00080980600018ff41000003ff9704b4001e000054600000000010f280000000ffd5"
"2026/03/06 09:39:11 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050054000108694870627247102603061439110a43004c00410052004f00054341542d31084341542d312032380f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/06 09:37:28 -05","AWS",,0,0,"04-23","Motion Stop",0,220,"0.00",,"Topfly","272704004900dc0869487062724710001726030614372882dc0065095699006981012300e1012400080080900018ff41000003ff970640001e000054600000000010f280000000ffd5"
