"Unit Time","Data Center","Voltage","Latitude","Longitude","Raw Event","Event Name","Heading","Sequence #","GPS Speed","Address","Unit Type","Raw Data"
"2026/03/10 18:44:18 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603102344180a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/10 18:44:17 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/10 18:43:32 -05","AWS",,0,0,"04-22","Motion Start",0,322,"0.00",,"Topfly","272704004901420869487062724710001626031023433282dc0065095665c969840099000000008138028000951aff40000005acfe0294003c000054600000000010f280000000ffd5"
"2026/03/10 16:38:45 -05","AWS",,,,"05","Comm Acquired",,2,"NaN",,"Topfly","2727050054000208694870627247102603102138450a43004c00410052004f00054341542d31084341542d312032380f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/10 16:38:44 -05","AWS",,,,"01","Device Info",,2,"NaN",,"Topfly","2727010017000208694870627247100112030502101214"
"2026/03/10 16:37:49 -05","AWS",,0,0,"02-M","Motion",0,2843,"0.00",,"Topfly","27270200490b1b0869487062724710000026031021374982dc006509569932698100e10123018e80880680109619ff40000005587e0484003c000054600000000010f280000000ffd5"
"2026/03/10 16:36:49 -05","AWS",,0,0,"02-M","Motion",0,2842,"0.00",,"Topfly","27270200490b1a0869487062724710000026031021364982dc0065095d70c869810124012300e180680380609619ff40000005587e0644003c000054600000000010f280000000ffd5"
"2026/03/10 16:34:49 -05","AWS",,0,0,"02-M","Motion",0,2840,"0.00",,"Topfly","27270200490b180869487062724710000026031021344982dc0065095d70c869810124012300e180880500209619ff40000005587e0644003c000054600000000010f280000000ffd5"
"2026/03/10 16:32:45 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603102132450a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/10 16:32:29 -05","AWS",,0,0,"04-22","Motion Start",0,320,"0.00",,"Topfly","272704004901400869487062724710001626031021322982dc0065095d70c869810124018c000080380880409719ff40000005587e0644003c000054600000000010f280000000ffd5"
"2026/03/10 13:10:31 -05","AWS",,0,0,"02-M","Motion",0,2836,"0.00",,"Topfly","27270200490b140869487062724710000026031018103182dc006509569903698101b2012400e180480381509620ff40000005587e0644003c000054600000000010f280000000ffd5"
"2026/03/10 12:53:31 -05","AWS",,0,0,"02-M","Motion",0,2819,"0.00",,"Topfly","27270200490b030869487062724710000026031017533182dc0065095699676981018e016900e18070048030961cff4000000557bb0524003c000054600000000010f280000000ffd5"
"2026/03/10 12:52:31 -05","AWS",,0,0,"02-M","Motion",0,2818,"0.00",,"Topfly","27270200490b020869487062724710000026031017523182dc0065095910646981010201b201e80070088010961cff4000000557bb0594003c000054600000000010f280000000ffd5"
"2026/03/10 12:49:30 -05","AWS",,0,0,"02-M","Motion",0,2815,"0.00",,"Topfly","27270200490aff0869487062724710000026031017493082dc0065095699996981018e018e012380080280509618ff4000000557bb0564003c000054600000000010f280000000ffd5"
"2026/03/10 12:48:30 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603101748300a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/10 12:48:29 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/10 12:48:13 -05","AWS",,0,0,"04-22","Motion Start",0,318,"0.00",,"Topfly","2727040049013e0869487062724710001626031017481382dc0065095910c8698100ff01ee008700080180509718ff4000000557bb0594003c000054600000000010f280000000ffd5"
"2026/03/10 10:50:23 -05","AWS",,0,0,"02-M","Motion",0,2813,"0.00",,"Topfly","27270200490afd0869487062724710000026031015502382dc0065095d70c869810124012300e100080080909520ff4000000557bb0644003c000054600000000010f280000000ffd5"
"2026/03/10 10:39:13 -05","AWS",,0,0,"04-3","User Update",0,309,"0.00",,"Topfly","272704004901350869487062724710000326031015391382dc0065095699676981018e00e1018c8040088000961eff4000000554c804f4003c000054600000000010f280000000ffd5"
"2026/03/10 10:38:23 -05","AWS",,0,0,"02-M","Motion",0,2808,"0.00",,"Topfly","27270200490af80869487062724710000026031015382382dc0065095699676981018e00e1018c8040088000961eff4000000554c80444003c000054600000000010f280000000ffd5"
"2026/03/10 10:37:23 -05","AWS",,0,0,"02-M","Motion",0,2807,"0.00",,"Topfly","27270200490af70869487062724710000026031015372382dc0065095663646981015900e1018e0020100010971eff4000000554c80334003c000054600000000010f280000000ffd5"
"2026/03/10 10:36:22 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/10 10:36:21 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050054000108694870627247102603101536210a43004c00410052004f00054341542d31084341542d312032380f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/10 10:36:05 -05","AWS",,0,0,"04-22","Motion Start",0,308,"0.00",,"Topfly","272704004901340869487062724710001626031015360582dc006509569900698101230087018c8050080000971eff4000000554c80644003c000054600000000010f280000000ffd5"
"2026/03/10 02:30:41 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
